Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : DD7B570	1AA915C0	8EFC4F0	
DEC 56 : 461502656.000000	93036.000000	288836864.000000	
HEX 57 : 3FD0A5C	16B6C	75CEA98	
DEC 57 : 66914908.000000	93036.000000	123529880.000000	
HEX 58 : 1E1AF800	11B58040	175CE6A0	
DEC 58 : 505083904.000000	297107520.000000	391964320.000000	
HEX 59 : 138CEB40	9222D90	ECCF6D0	
DEC 59 : 328002368.000000	153234832.000000	248313552.000000	
HEX 60 : 94A98F0	169F1	1F88ABC0	
DEC 60 : 155883760.000000	92657.000000	529050560.000000	
HEX 61 : C05E0B0	1FAD39E0	1D755880	
DEC 61 : 201711792.000000	531446240.000000	494229632.000000	
HEX 62 : 11E10B4	85228B0	14841E60	
DEC 62 : 18747572.000000	139602096.000000	344202848.000000	
HEX 63 : 16905520	1AF4AAE0	1C862960	
DEC 63 : 378557728.000000	452242144.000000	478554464.000000	
HEX 64 : 1D6489E0	18851800	1A7E41A0	
DEC 64 : 493128160.000000	411375616.000000	444481952.000000	
HEX 65 : 141A93C0	108DE6E0	11BC8C00	
DEC 65 : 337286080.000000	277735136.000000	297569280.000000	
HEX 66 : F7D0D30	17D90020	1E206F00	
DEC 66 : 259853616.000000	400097312.000000	505442048.000000	
HEX 67 : 7419348	7A25BD0	9E33AD0	
DEC 67 : 121738056.000000	128080848.000000	165886672.000000	
HEX 68 : 1E634F00	1F68DD00	1DED5080	
DEC 68 : 509824768.000000	526966016.000000	502091904.000000	
HEX 69 : 19DED5A0	13FB05A0	AEF41A0	
DEC 69 : 434034080.000000	335218080.000000	183452064.000000	
HEX 70 : 7A89A58	1EF4AE20	8F579A0	
DEC 70 : 128490072.000000	519351840.000000	150305184.000000	
HEX 71 : 199185A0	1F86D4C0	17599D60	
DEC 71 : 428967328.000000	528929984.000000	391748960.000000	
HEX 72 : 1A2C56E0	15A07800	12468D00	
DEC 72 : 439113440.000000	362838016.000000	306613504.000000	
HEX 73 : 1389B220	184072C0	F04C530	
DEC 73 : 327791136.000000	406876864.000000	251970864.000000	
HEX 74 : F078350	66AA638	91590B0	
DEC 74 : 252150608.000000	107652664.000000	152408240.000000	
HEX 75 : C5B74B	13BD3E40	D5B6040	
DEC 75 : 12957515.000000	331169344.000000	224092224.000000	
HEX 76 : 3415220	44F7560	1E3889E0	
DEC 76 : 54612512.000000	72316256.000000	507021792.000000	
HEX 77 : 16C12F00	16B6C	1A2A3C80	
DEC 77 : 381759232.000000	93036.000000	438975616.000000	
HEX 78 : 1DD35E20	72AFD20	111397C0	
DEC 78 : 500391456.000000	120257824.000000	286496704.000000	
HEX 79 : D9E5620	DF916C0	580F568	
DEC 79 : 228480544.000000	234428096.000000	92337512.000000	
HEX 80 : 1CA9DAE0	16BAB	99F8F80	
DEC 80 : 480893664.000000	93099.000000	161451904.000000	
HEX 81 : 8624B5	117086C0	1E050620	
DEC 81 : 8791221.000000	292587200.000000	503645728.000000	
HEX 82 : 77FC658	19A97400	1F2FDD20	
DEC 82 : 125814360.000000	430535680.000000	523230496.000000	
HEX 83 : 52C60B8	D0F74F0	EBFE380	
DEC 83 : 86794424.000000	219116784.000000	247456640.000000	
HEX 84 : 14F70040	15398300	17E8F2E0	
DEC 84 : 351731776.000000	356090624.000000	401142496.000000	
HEX 85 : 10ED8CC0	96591B0	16CBA2A0	
DEC 85 : 284003520.000000	157651376.000000	382444192.000000	
HEX 86 : 19C8D880	6F67438	9AA0170	
DEC 86 : 432593024.000000	116814904.000000	162136432.000000	
HEX 87 : 18999DE0	B47D8C0	1540D9E0	
DEC 87 : 412720608.000000	189257920.000000	356571616.000000	
HEX 88 : B8CA5A0	8BBB1B0	1CE03620	
DEC 88 : 193766816.000000	146518448.000000	484455968.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
