Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 5F6BA	DDCA97	1ED8E5A0	
DEC 56 : 278241696.000000	320570080.000000	130744560.000000	
HEX 57 : 152BA740	5520478	6B3A968	
DEC 57 : 355182400.000000	89261176.000000	112437608.000000	
HEX 58 : 16137EC0	F4FFFC0	44F5878	
DEC 58 : 370376384.000000	256901056.000000	72308856.000000	
HEX 59 : 1E061060	1C53D9E0	16111E2	
DEC 59 : 503713888.000000	475257312.000000	23138786.000000	
HEX 60 : 5F777	910CF80	1AC882E0	
DEC 60 : 391031.000000	152096640.000000	449348320.000000	
HEX 61 : 6931DE0	9609480	1715DD20	
DEC 61 : 110304736.000000	157324416.000000	387308832.000000	
HEX 62 : 1BEC38C0	6B08400	111D9000	
DEC 62 : 468465856.000000	112231424.000000	287150080.000000	
HEX 63 : 1BDD4100	A1DF620	91CD2D0	
DEC 63 : 467484928.000000	169735712.000000	152883920.000000	
HEX 64 : 5F6F9	196BC7C0	FEFA4B0	
DEC 64 : 390905.000000	426493888.000000	267363504.000000	
HEX 65 : C7CD1F0	10384880	12E3000	
DEC 65 : 209506800.000000	272124032.000000	19804160.000000	
HEX 66 : 19E4D620	107A7E20	CE764B0	
DEC 66 : 434427424.000000	276463136.000000	216491184.000000	
HEX 67 : 17584EA0	1646ED20	8C3FF10	
DEC 67 : 391663264.000000	373746976.000000	147062544.000000	
HEX 68 : 18B1DF80	14CE1DE0	13E655A0	
DEC 68 : 414310272.000000	349052384.000000	333862304.000000	
HEX 69 : D875730	F71F840	15DB2880	
DEC 69 : 226973488.000000	259127360.000000	366684288.000000	
HEX 70 : 63DF368	B35D1E0	AF020F0	
DEC 70 : 104723304.000000	188076512.000000	183509232.000000	
HEX 71 : C4B7B70	3B1E5A	113B6C40	
DEC 71 : 206273392.000000	3874394.000000	289107008.000000	
HEX 72 : 182DF220	15381960	1D4CC780	
DEC 72 : 405664288.000000	355998048.000000	491571072.000000	
HEX 73 : 1CDF0AE0	175228C0	DE86970	
DEC 73 : 484379360.000000	391260352.000000	233335152.000000	
HEX 74 : 16945920	ED358B0	19A8C4C0	
DEC 74 : 378820896.000000	248731824.000000	430490816.000000	
HEX 75 : 5FA2E	1FFD8EA0	139D63C0	
DEC 75 : 391726.000000	536710816.000000	329081792.000000	
HEX 76 : 7745DE8	1DB88700	107D1F00	
DEC 76 : 125066728.000000	498632448.000000	276635392.000000	
HEX 77 : 6126C60	1B2398C0	1A06A100	
DEC 77 : 101870688.000000	455317696.000000	436642048.000000	
HEX 78 : A1CEE30	11A798C0	B5B5780	
DEC 78 : 169668144.000000	296196288.000000	190535552.000000	
HEX 79 : 14C950A0	B22A350	B785F10	
DEC 79 : 348737696.000000	186819408.000000	192438032.000000	
HEX 80 : 5FA6D	CF78840	11191A60	
DEC 80 : 391789.000000	217548864.000000	286857824.000000	
HEX 81 : D84C860	1AAEA1E0	190374C0	
