Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
HEX 57 : 11AEC2E0	18D36FC0	5E22778	
DEC 57 : 296665824.000000	416509888.000000	98707320.000000	
HEX 58 : 6FB1E20	1C8E0AE0	1B9E022	
DEC 58 : 117120544.000000	479070944.000000	28958754.000000	
HEX 59 : 73F1A58	1B5F5D20	E0820E0	
DEC 59 : 121576024.000000	459234592.000000	235413728.000000	
HEX 60 : D7DE970	18B73400	1B6E3BC0	
DEC 60 : 226355568.000000	414659584.000000	460209088.000000	
HEX 61 : ACAFD30	1FDA3AE0	8F04930	
DEC 61 : 181075248.000000	534395616.000000	149965104.000000	
HEX 62 : 154455A0	15C61780	1038D	
DEC 62 : 356799904.000000	365303680.000000	66445.000000	
HEX 63 : 187E0000	769D0F0	103DAF40	
DEC 63 : 410910720.000000	124375280.000000	272478016.000000	
HEX 64 : 50FE788	154CB120	2558604	
DEC 64 : 84928392.000000	357347616.000000	39159300.000000	
HEX 65 : 4BDA788	10DE3300	1F8BA2A0	
DEC 65 : 79538056.000000	282997504.000000	529244832.000000	
HEX 66 : 15D722E0	159F9E20	F19AE40	
DEC 66 : 366420704.000000	362782240.000000	253341248.000000	
HEX 67 : 2FC6E20	158C6440	9913AD0	
DEC 67 : 50097696.000000	361522240.000000	160512720.000000	
HEX 68 : 187E7100	49BECB8	181E9580	
DEC 68 : 410939648.000000	77327544.000000	404657536.000000	
HEX 69 : 42C55A8	48AD710	55E43C8	
DEC 69 : 70014376.000000	76207888.000000	90063816.000000	
HEX 70 : 5D66A58	15AC6FC0	19009840	
DEC 70 : 97938008.000000	363622336.000000	419469376.000000	
HEX 71 : F4E0F1	F0F1840	5903EE8	
DEC 71 : 16048369.000000	252647488.000000	93339368.000000	
HEX 72 : EBCA2D0	1AD939A0	D74F4A0	
DEC 72 : 247243472.000000	450443680.000000	225768608.000000	
HEX 73 : 187D8880	1A46C780	9CE98B0	
DEC 73 : 410880128.000000	440846208.000000	164534448.000000	
HEX 74 : 64481E0	37A7DE0	14F2DF20	
DEC 74 : 105152992.000000	58359264.000000	351461152.000000	
HEX 75 : 1A142D2	7809AD0	FF45860	
DEC 75 : 27345618.000000	125868752.000000	267671648.000000	
HEX 76 : 118F1A60	1F490260	1C875A20	
DEC 76 : 294591072.000000	524878432.000000	478632480.000000	
HEX 77 : 7CCD788	92BE260	1FBB6920	
DEC 77 : 130865032.000000	153870944.000000	532375840.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
