Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 21011E0	17BDFDA0	1D1576A0	
HEX 56 : C581000	9C1D8F0	1D060D20	
DEC 56 : 207097856.000000	163698928.000000	486935840.000000	
HEX 57 : 7CA8000	1A4E7960	ED214B0	
DEC 57 : 130711552.000000	441350496.000000	248648880.000000	
HEX 58 : 12A72D2	1DB6FB40	DBBA440	
DEC 58 : 19559122.000000	498531136.000000	230401088.000000	
HEX 59 : 4473B48	1DA41F00	1496DE20	
DEC 59 : 71777096.000000	497295104.000000	345431584.000000	
HEX 60 : 114212E0	1C7F61E0	5657258	
DEC 60 : 289542880.000000	478110176.000000	90534488.000000	
HEX 61 : 6DAC3C0	8B352D	D3569E0	
DEC 61 : 115000256.000000	9123117.000000	221604320.000000	
HEX 62 : 76AB4B	155BBF80	25DBF10	
DEC 62 : 7777099.000000	358334336.000000	39698192.000000	
HEX 63 : F1C02D0	17DFA5A0	1C33BA60	
DEC 63 : 253493968.000000	400532896.000000	473152096.000000	
HEX 64 : 1A7B696	10B7A6A0	1A63BBC0	
DEC 64 : 27768470.000000	280471200.000000	442743744.000000	
HEX 65 : 6E004B8	1F0CE960	1D5F9620	
DEC 65 : 115344568.000000	520939872.000000	492803616.000000	
HEX 66 : 14982A60	1635BF00	2F1052C	
DEC 66 : 345516640.000000	372621056.000000	49349932.000000	
HEX 67 : 187234C0	1F1A8E20	10D72AE0	
DEC 67 : 410137792.000000	521834016.000000	282536672.000000	
HEX 68 : 107AAA60	101D5C40	1DB394C0	
DEC 68 : 276474464.000000	270359616.000000	498308288.000000	
HEX 69 : 1A331000	4E66AD0	9E59E90	
DEC 69 : 439554048.000000	82209488.000000	166043280.000000	
HEX 70 : 1602CE20	4284258	11F1E5A0	
DEC 70 : 369282592.000000	69747288.000000	301065632.000000	
HEX 71 : 1C68B6A0	36FE968	1EF60F00	
DEC 71 : 476624544.000000	57665896.000000	519442176.000000	
HEX 72 : BBF8A60	1ED66880	9F695A0	
DEC 72 : 197102176.000000	517367936.000000	167155104.000000	
HEX 73 : BB543C0	1CC24000	15767260	
DEC 73 : 196428736.000000	482492416.000000	360084064.000000	
HEX 74 : B4A0690	680FE20	A2B81E0	
DEC 74 : 189400720.000000	109116960.000000	170623456.000000	
HEX 75 : 1BD27880	135E0960	B8950F0	
DEC 75 : 466778240.000000	324929888.000000	193548528.000000	
HEX 76 : 83C9000	1A67FC40	4FDADA8	
DEC 76 : 138186752.000000	443022400.000000	83733928.000000	
HEX 77 : 12754000	5BEA698	7FD81E0	
DEC 77 : 309673984.000000	96380568.000000	134054368.000000	
HEX 78 : BA92C40	E91B970	16B54C40	
DEC 78 : 195636288.000000	244431216.000000	380980288.000000	
HEX 79 : 11CAA5A	7AD1F10	21FB2D4	
DEC 79 : 18655834.000000	128786192.000000	35631828.000000	
HEX 80 : EB9E000	2006BC4	1FF2F9E0	
DEC 80 : 247062528.000000	33582020.000000	536017376.000000	
HEX 81 : 1F28CD20	CAE7260	1D2E7DA0	
DEC 81 : 522767648.000000	212759136.000000	489586080.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
