Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 57 : 14514F00	CE83A80	190E96A0	
DEC 57 : 340872960.000000	216545920.000000	420386464.000000	
HEX 58 : 5A572D0	1A4B6380	1A1B92E0	
DEC 58 : 94728912.000000	441148288.000000	438014688.000000	
HEX 59 : 111A3F00	143A3C00	1A592D20	
DEC 59 : 286932736.000000	339360768.000000	442051872.000000	
HEX 60 : D573000	1D6EDAC0	10433B40	
DEC 60 : 223817728.000000	493804224.000000	272841536.000000	
HEX 61 : D2ED970	16AAF	CC3BC40	
DEC 61 : 221174128.000000	92847.000000	214154304.000000	
HEX 62 : 138EB1E0	1D3E5320	1DF1DF00	
DEC 62 : 328118752.000000	490623776.000000	502390528.000000	
HEX 63 : 3A87968	1EA504C0	19C4696	
DEC 63 : 61372776.000000	514131136.000000	27018902.000000	
HEX 64 : 187E7000	CCD0510	1FB8BE20	
DEC 64 : 410939392.000000	214762768.000000	532200992.000000	
HEX 65 : 187E7000	16836840	B139B50	
DEC 65 : 410939392.000000	377710656.000000	185834320.000000	
HEX 66 : 15B562E0	95F8210	50F53C0	
DEC 66 : 364208864.000000	157254160.000000	84890560.000000	
HEX 67 : 8D150F0	10B0B640	9550F1	
DEC 67 : 147935472.000000	280016448.000000	9785585.000000	
HEX 68 : 129A45A0	14ACB460	6C37698	
DEC 68 : 312100256.000000	346862688.000000	113473176.000000	
HEX 69 : 28BA788	6F3A6C0	A77F0F	
DEC 69 : 42706824.000000	116631232.000000	10977039.000000	
HEX 70 : E79B880	16B6C	558D2D0	
DEC 70 : 242858112.000000	93036.000000	89707216.000000	
HEX 71 : A4942D0	77DB958	1746E4C0	
DEC 71 : 172573392.000000	125679960.000000	390522048.000000	
HEX 72 : 8E11F10	10F724A0	10652D20	
DEC 72 : 148971280.000000	284632224.000000	275066144.000000	
HEX 73 : 142A06A0	124FEFC0	13493E20	
DEC 73 : 338298528.000000	307228608.000000	323567136.000000	
HEX 74 : 187E7A60	272156C	416AF10	
DEC 74 : 410942048.000000	41031020.000000	68595472.000000	
HEX 75 : AF59970	9B4D310	F569000	
DEC 75 : 183867760.000000	162845456.000000	257331200.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
