Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
DEC 56 : 303216032.000000	258398448.000000	218280896.000000	
HEX 57 : 8E783C	9FB6CB0	170B2D20	
DEC 57 : 9336892.000000	167472304.000000	386608416.000000	
HEX 58 : 8D287C0	A5E4C40	33C6E20	
DEC 58 : 148015040.000000	173952064.000000	54292000.000000	
HEX 59 : CFF2D3	1A031520	C890C40	
DEC 59 : 13628115.000000	436409632.000000	210308160.000000	
HEX 60 : 113A53C0	831A4B0	9D88E20	
DEC 60 : 289035200.000000	137471152.000000	165187104.000000	
HEX 61 : 1F5536A0	153151E0	FE7697	
DEC 61 : 525678240.000000	355553760.000000	16676503.000000	
HEX 62 : 192CBA20	D18FCB0	C0941E0	
DEC 62 : 422361632.000000	219741360.000000	201933280.000000	
HEX 63 : ED57C00	181B8260	1A5B1880	
DEC 63 : 248871936.000000	404456032.000000	442177664.000000	
HEX 64 : 1B4200C0	56D7CB8	7282788	
DEC 64 : 457310400.000000	91061432.000000	120072072.000000	
HEX 65 : 5C965A8	332B34C	39AE3C4	
DEC 65 : 97084840.000000	53654348.000000	60482500.000000	
HEX 66 : 1F1ACF80	C0E8440	108F14C0	
DEC 66 : 521850752.000000	202277952.000000	277812416.000000	
HEX 67 : 15AB7C40	B64E1E	1A07C4C0	
DEC 67 : 363560000.000000	11947550.000000	436716736.000000	
HEX 68 : 10CDB920	1618D080	9CF02D0	
DEC 68 : 281917728.000000	370724992.000000	164561616.000000	
HEX 69 : 15B6C3C0	83C32D0	1A594000	
DEC 69 : 364299200.000000	138162896.000000	442056704.000000	
HEX 70 : 1A1856A0	E5BD000	1A5B1F00	
DEC 70 : 437802656.000000	240898048.000000	442179328.000000	
HEX 71 : 1D1FCE20	9041E2	18FB0960	
DEC 71 : 488623648.000000	9454050.000000	419105120.000000	
HEX 72 : 19125A6	146C4CC0	6DAEA58	
DEC 72 : 26289574.000000	342641856.000000	115010136.000000	
HEX 73 : 133BF660	1E3794C0	1A5B15A0	
