Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 57 : 83B3010	4A274B8	D1B71F0	
DEC 57 : 138096656.000000	77755576.000000	219902448.000000	
HEX 58 : 18C7F680	12E179E0	1157F600	
DEC 58 : 415757952.000000	316766688.000000	290977280.000000	
HEX 59 : C39B360	A570E20	13CE7100	
DEC 59 : 205108064.000000	173477408.000000	332296448.000000	
HEX 60 : 9B106B0	53D7DA8	1BE26DC0	
DEC 60 : 162596528.000000	87915944.000000	467824064.000000	
HEX 61 : 9D66E80	121D2100	D5484F0	
DEC 61 : 165047936.000000	303898880.000000	223642864.000000	
HEX 62 : 19523AC0	12190080	1D750820	
DEC 62 : 424819392.000000	303628416.000000	494209056.000000	
HEX 63 : EDA71F0	91B25A	9C78740	
DEC 63 : 249197040.000000	9548378.000000	164071232.000000	
HEX 64 : 59A38F8	1F321960	E5D6450	
DEC 64 : 93993208.000000	523376992.000000	241001552.000000	
HEX 65 : 125743E0	1C4D6D20	18CC0900	
DEC 65 : 307708896.000000	474836256.000000	416024832.000000	
HEX 66 : 65636E8	FD151E0	139696E0	
DEC 66 : 106313448.000000	265376224.000000	328636128.000000	
HEX 67 : 5F7B6	185123C0	F7DC8B0	
DEC 67 : 391094.000000	407970752.000000	259901616.000000	
HEX 68 : 63FC1C0	A5F3F80	C032	
DEC 68 : 104841664.000000	174014336.000000	49202.000000	
HEX 69 : 16503900	1A6D3100	12146F00	
DEC 69 : 374356224.000000	443363584.000000	303329024.000000	
HEX 70 : 3B2962	1257B780	AE9DC40	
DEC 70 : 3877218.000000	307738496.000000	183098432.000000	
HEX 71 : 1C731500	B42F88	CCCE340	
DEC 71 : 477304064.000000	11808648.000000	214754112.000000	
HEX 72 : 1FBD98C0	D24F5A0	7489FA0	
DEC 72 : 532519104.000000	220525984.000000	122199968.000000	
HEX 73 : 1EA14000	F1CAAD0	E775170	
DEC 73 : 513884160.000000	253536976.000000	242700656.000000	
HEX 74 : 199E5780	1AD255A0	B26F590	
DEC 74 : 429807488.000000	449992096.000000	187102608.000000	
HEX 75 : 7F5D548	EAEAD3	15F7B080	
DEC 75 : 133551432.000000	15395539.000000	368554112.000000	
HEX 76 : 13FE0C60	199BA4C0	5F56800	
DEC 76 : 335416416.000000	429630656.000000	99969024.000000	
HEX 77 : 15255060	246CBC4	C032	
DEC 77 : 354766944.000000	38194116.000000	49202.000000	
HEX 78 : 5B1F6C0	13ECA160	1B59DB40	
DEC 78 : 95549120.000000	334274912.000000	458873664.000000	
HEX 79 : 16402C60	15550F0	7F88C58	
DEC 79 : 373304416.000000	22368496.000000	133729368.000000	
HEX 80 : 187CB6E0	189941E0	C032	
DEC 80 : 410826464.000000	412697056.000000	49202.000000	
HEX 81 : 10016600	10BAF88	1E5B7D60	
DEC 81 : 268527104.000000	17543048.000000	509312352.000000	
HEX 82 : 15586BA0	20FEAD4	12635E80	
DEC 82 : 358116256.000000	34597588.000000	308502144.000000	
HEX 83 : B970620	B51A2D0	5399CA8	
DEC 83 : 194446880.000000	189899472.000000	87661736.000000	
HEX 84 : 1A7EE62	1C2BFD20	74656E0	
DEC 84 : 27782754.000000	472644896.000000	122050272.000000	
HEX 85 : 64B76B8	1771CC40	1390CB40	
DEC 85 : 105608888.000000	393333824.000000	328256320.000000	
HEX 86 : 5F738	12A2D900	1691CD60	
DEC 86 : 390968.000000	312662272.000000	378654048.000000	
HEX 87 : 545F140	77979E0	136C0B00	
DEC 87 : 88469824.000000	125401568.000000	325847808.000000	
HEX 88 : C9B2710	1AC5A880	5136B78	
DEC 88 : 211494672.000000	449161344.000000	85158776.000000	
HEX 89 : 1AF1E380	176D3D20	182438E0	
DEC 89 : 452060032.000000	393035040.000000	405027040.000000	
HEX 90 : 5F7B6	2AED43C	15E7FDA0	
DEC 90 : 391094.000000	45012028.000000	367525280.000000	
HEX 91 : DA143C0	132B9000	6E972B0	
DEC 91 : 228672448.000000	321622016.000000	115962544.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
