Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : A9B2CB0	1D33FCC0	13F88340	
DEC 56 : 291320640.000000	124292640.000000	134695520.000000	
HEX 57 : 142C1DA0	189235A0	B720780	
DEC 57 : 338435488.000000	412235168.000000	192022400.000000	
HEX 58 : 15185520	1245E100	15727160	
DEC 58 : 353916192.000000	306569472.000000	359821664.000000	
HEX 59 : 3E64BC4	8E88880	18EEC3C0	
DEC 59 : 65424324.000000	149457024.000000	418300864.000000	
HEX 60 : 5914530	1C1C0440	67590F0	
DEC 60 : 93406512.000000	471598144.000000	108368112.000000	
HEX 61 : 1BAB7960	146A3F00	188A8A60	
DEC 61 : 464222560.000000	342507264.000000	411732576.000000	
HEX 62 : C66CE90	1FD9878	149319E0	
DEC 62 : 208064144.000000	33396856.000000	345184736.000000	
HEX 63 : 16FBC160	E059E90	530CAD0	
DEC 63 : 385597792.000000	235249296.000000	87083728.000000	
HEX 64 : 1913AA60	F4D90F0	1D6C5E20	
DEC 64 : 420719200.000000	256741616.000000	493641248.000000	
HEX 65 : 17067880	B42D530	17676800	
DEC 65 : 386300032.000000	188929328.000000	392652800.000000	
HEX 66 : 1AE78B40	1459AF80	38A04B4	
DEC 66 : 451382080.000000	341421952.000000	59376820.000000	
HEX 67 : 10A68340	12FAA5A0	7D66CB8	
DEC 67 : 279348032.000000	318416288.000000	131493048.000000	
HEX 68 : 18F60780	12D0CA60	AA652D0	
DEC 68 : 418776960.000000	315673184.000000	178672336.000000	
HEX 69 : 1A248880	9BA8080	AACC260	
DEC 69 : 438601856.000000	163217536.000000	179094112.000000	
HEX 70 : 1B76A6A0	19EE7F00	88FDB50	
DEC 70 : 460760736.000000	435060480.000000	143645520.000000	
HEX 71 : 11CC2F80	DD82620	1C2AD780	
DEC 71 : 298594176.000000	232269344.000000	472569728.000000	
HEX 72 : B08D530	EB10080	15657E20	
DEC 72 : 185128240.000000	246481024.000000	358972960.000000	
HEX 73 : 366A168	11E56800	F614080	
DEC 73 : 57057640.000000	300247040.000000	258031744.000000	
HEX 74 : 1907C1E0	2CD078	1E26F5A0	
DEC 74 : 419938784.000000	2936952.000000	505869728.000000	
HEX 75 : 136C3160	525ADA8	1EE38780	
DEC 75 : 325857632.000000	86355368.000000	518227840.000000	
HEX 76 : 1F43B880	454A9E0	BD3DD30	
DEC 76 : 524531840.000000	72657376.000000	198434096.000000	
HEX 77 : 18E2D2E	1EC9F5A0	1EF704C0	
DEC 77 : 26094894.000000	516552096.000000	519505088.000000	
HEX 78 : 92C3B50	133C9100	8AE2A60	
DEC 78 : 153893712.000000	322736384.000000	145631840.000000	
HEX 79 : 112A34C0	B44DAD0	12AD36A0	
DEC 79 : 287978688.000000	189061840.000000	313341600.000000	
HEX 80 : 6E3AD30	6BC6348	125F66A0	
DEC 80 : 115584304.000000	113009480.000000	308242080.000000	
HEX 81 : 13C5E520	D8634B0	BFBAB50	
DEC 81 : 331736352.000000	226899120.000000	201042768.000000	
HEX 82 : E6E9780	15098780	179AFF00	
DEC 82 : 242128768.000000	352946048.000000	396033792.000000	
HEX 83 : 3BE3BC4	1017BAE0	16AF5F00	
DEC 83 : 62798788.000000	269990624.000000	380591872.000000	
HEX 84 : 1DE7E1E	10593C4	1F86C960	
DEC 84 : 31358494.000000	17142724.000000	528927072.000000	
HEX 85 : 19DCD000	6C85168	11BDA800	
DEC 85 : 433901568.000000	113791336.000000	297641984.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
