Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 31B7788	FC5CF10	6EF3F48	
HEX 57 : D3600F0	14392CC0	3308CF0	
DEC 57 : 221642992.000000	339291328.000000	53513456.000000	
HEX 58 : FB02A60	177285A0	1698B700	
DEC 58 : 263203424.000000	393381280.000000	379107072.000000	
HEX 59 : 173AE100	1CD9FBC0	156474C0	
DEC 59 : 389734656.000000	484047808.000000	358905024.000000	
HEX 60 : 1A887000	DD8CC80	128E5FC0	
DEC 60 : 445149184.000000	232311936.000000	311320512.000000	
HEX 61 : 199604C0	16F63440	72A2168	
DEC 61 : 429262016.000000	385233984.000000	120201576.000000	
HEX 62 : 1792E6A0	BDB0E90	1AAC63C0	
DEC 62 : 395503264.000000	198905488.000000	447505344.000000	
HEX 63 : A31E780	188E310	1143A560	
DEC 63 : 171042688.000000	25748240.000000	289645920.000000	
HEX 64 : 2DCF1E0	417A620	1BEBCC40	
DEC 64 : 48034272.000000	68658720.000000	468438080.000000	
HEX 65 : DA77F10	119B8740	10FA2800	
DEC 65 : 229080848.000000	295405376.000000	284829696.000000	
HEX 66 : 11EECEA0	1FFDA9E0	110F2920	
DEC 66 : 300863136.000000	536717792.000000	286206240.000000	
HEX 67 : F898260	EB48D70	1BBB82A0	
DEC 67 : 260670048.000000	246713712.000000	465273504.000000	
HEX 68 : 132BDF00	18A2CF00	10072620	
DEC 68 : 321642240.000000	413323008.000000	268903968.000000	
HEX 69 : 199D34C	116AD2E	3B616D4	
DEC 69 : 26858316.000000	18263342.000000	62265044.000000	
HEX 70 : AD1CBC0	1B42CD60	595FB88	
DEC 70 : 181521344.000000	457362784.000000	93715336.000000	
HEX 71 : 1AE0F5A0	E3D31A0	8E2A0F0	
DEC 71 : 450950560.000000	238891424.000000	149070064.000000	
HEX 72 : D8B7D30	1E074340	1BB3DA60	
DEC 72 : 227245360.000000	503792448.000000	464771680.000000	
HEX 73 : 193A8A60	5B626D0	16A5E700	
DEC 73 : 423266912.000000	95823568.000000	379971328.000000	
HEX 74 : 158B1080	1EDFB4C	1CC48340	
DEC 74 : 361435264.000000	32373580.000000	482640704.000000	
HEX 75 : 1458C100	1A35D2E0	1BD3AE20	
DEC 75 : 341360896.000000	439735008.000000	466857504.000000	
HEX 76 : 12C38DA0	BB99DA0	12A1CAE0	
DEC 76 : 314805664.000000	196713888.000000	312593120.000000	
HEX 77 : 554B788	1BB501E0	AB88BC0	
DEC 77 : 89438088.000000	464847328.000000	179866560.000000	
HEX 78 : 1BE9E1	1286F9E0	1ABB6260	
DEC 78 : 1829345.000000	310835680.000000	448488032.000000	
HEX 79 : 1EEDA780	126A8D00	173CCA20	
DEC 79 : 518891392.000000	308972800.000000	389859872.000000	
HEX 80 : 1AF55B40	1E037080	4C7DBC0	
DEC 80 : 452287296.000000	503541888.000000	80206784.000000	
HEX 81 : 1A28E780	EBD3C00	F9E388	
DEC 81 : 438888320.000000	247282688.000000	16376712.000000	
HEX 82 : 15EC5700	14C8C78	B2C1AD0	
DEC 82 : 367810304.000000	21793912.000000	187439824.000000	
HEX 83 : 4DC6800	789FB48	11129620	
DEC 83 : 81553408.000000	126483272.000000	286430752.000000	
HEX 84 : 845B260	14D17B00	911BAD0	
DEC 84 : 138785376.000000	349272832.000000	152156880.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
