Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 57 : 19E041E0	19482A40	1A5B1A60	
DEC 57 : 434127328.000000	424159808.000000	442178144.000000	
HEX 58 : D3E49E0	18B4AC20	16D88C40	
DEC 58 : 222185952.000000	414493728.000000	383290432.000000	
HEX 59 : 13175A6	17C31E80	82732D0	
DEC 59 : 20018598.000000	398663296.000000	136786640.000000	
HEX 60 : A8420F0	19D8D0C0	FEBD000	
DEC 60 : 176431344.000000	433639616.000000	267112448.000000	
HEX 61 : C34ABC0	12203700	1A5B1C40	
DEC 61 : 204778432.000000	304101120.000000	442178624.000000	
HEX 62 : 1A81C4C0	CD46050	895C970	
DEC 62 : 444712128.000000	215244880.000000	144034160.000000	
HEX 63 : 363843C	1902F	3B793C4	
DEC 63 : 56853564.000000	102447.000000	62362564.000000	
HEX 64 : 4578710	102F9CC0	1818F000	
DEC 64 : 72845072.000000	271555776.000000	404287488.000000	
HEX 65 : 7EBED30	1D13C020	9A25970	
DEC 65 : 132902192.000000	487833632.000000	161634672.000000	
HEX 66 : 56BD258	7355ED0	1A5B1B40	
DEC 66 : 90952280.000000	120938192.000000	442178368.000000	
HEX 67 : C6BBD30	1BE6A8A0	1501696	
DEC 67 : 208387376.000000	468101280.000000	22025878.000000	
HEX 68 : 11576340	6572EA0	138FC4C0	
DEC 68 : 290939712.000000	106376864.000000	328189120.000000	
HEX 69 : 1AA556A0	7308218	DAA54B0	
DEC 69 : 447043232.000000	120619544.000000	229266608.000000	
HEX 70 : A4C1CB0	BC2D140	16D0A000	
DEC 70 : 172760240.000000	197316928.000000	382771200.000000	
HEX 71 : 8284440	6308EB0	4A7A788	
DEC 71 : 136856640.000000	103845552.000000	78096264.000000	
HEX 72 : 13394700	15C06D60	1A5B1A60	
DEC 72 : 322520832.000000	364932448.000000	442178144.000000	
HEX 73 : 1CAD94C0	1BFB0DC0	12D315A0	
DEC 73 : 481137856.000000	469437888.000000	315823520.000000	
HEX 74 : 12285960	B3E5710	6E6A698	
DEC 74 : 304634208.000000	188634896.000000	115779224.000000	
HEX 75 : 1348E96	16A5CBE0	1A5B1A60	
DEC 75 : 20221590.000000	379964384.000000	442178144.000000	
HEX 76 : 1217DD20	13F8D160	31DED2C	
DEC 76 : 303553824.000000	335073632.000000	52292908.000000	
HEX 77 : 9998C40	16AAF	8B35970	
DEC 77 : 161057856.000000	92847.000000	145971568.000000	
HEX 78 : C7C75A0	1F52E500	1A5B1A60	
DEC 78 : 209483168.000000	525526272.000000	442178144.000000	
HEX 79 : EDFFCB0	519F348	A6714B0	
DEC 79 : 249560240.000000	85586760.000000	174527664.000000	
HEX 80 : 14F9F10	6EE0FF8	19C1C3C	
DEC 80 : 21995280.000000	116264952.000000	27008060.000000	
HEX 81 : 1F987C40	1EC79AE0	BD5A1E0	
DEC 81 : 530086976.000000	516397792.000000	198549984.000000	
HEX 82 : EB5F170	1FE016A0	B4C75A0	
DEC 82 : 246804848.000000	534779552.000000	189560224.000000	
HEX 83 : 1B200000	EF91A80	1A5B1B40	
DEC 83 : 455081984.000000	251206272.000000	442178368.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
