Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
DEC 56 : 460129472.000000	354900320.000000	20545296.000000	
HEX 57 : 8B39AD0	A1C55A0	308125C	
DEC 57 : 145988304.000000	169629088.000000	50860636.000000	
HEX 58 : 4F52D	1ADF3960	7AF6788	
DEC 58 : 324909.000000	450836832.000000	128935816.000000	
HEX 59 : 7BA29E0	11A57260	24F65A4	
DEC 59 : 129640928.000000	296055392.000000	38757796.000000	
HEX 60 : 11E8C000	13B97AE0	E9D8800	
DEC 60 : 300466176.000000	330922720.000000	245204992.000000	
HEX 61 : 1073EEA0	1CBB5960	AEFF3C0	
DEC 61 : 276033184.000000	482040160.000000	183497664.000000	
HEX 62 : 15F8F700	13081BC0	79044B8	
DEC 62 : 368637696.000000	319298496.000000	126895288.000000	
HEX 63 : BB49000	B7B5350	E9A7DA0	
DEC 63 : 196382720.000000	192631632.000000	245005728.000000	
HEX 64 : 16D8D2E0	151EC620	142022E0	
DEC 64 : 383308512.000000	354338336.000000	337650400.000000	
HEX 65 : 614EB48	1B804B40	1A188F00	
DEC 65 : 102034248.000000	461392704.000000	437817088.000000	
HEX 66 : 17E57BC0	1ED33D20	10B93700	
DEC 66 : 400915392.000000	517160224.000000	280573696.000000	
HEX 67 : F4F0E20	6DE7C40	1C5C4E20	
DEC 67 : 256839200.000000	115244096.000000	475811360.000000	
HEX 68 : 6339168	8BA22D0	1A4D4B40	
DEC 68 : 104042856.000000	146416336.000000	441273152.000000	
HEX 69 : F0F6970	10162880	19CF0F0	
DEC 69 : 252668272.000000	269887616.000000	27062512.000000	
HEX 70 : 8986440	196F3780	2BEF800	
DEC 70 : 144204864.000000	426719104.000000	46069760.000000	
HEX 71 : 16CFD6A0	18E764C0	C3365A0	
DEC 71 : 382719648.000000	417817792.000000	204694944.000000	
HEX 72 : 566F348	5F84E98	86291E0	
DEC 72 : 90633032.000000	100159128.000000	140677600.000000	
HEX 73 : 32FFB4C	2F1DD2C	1E306000	
DEC 73 : 53476172.000000	49405228.000000	506486784.000000	
HEX 74 : EDE7710	F9085A0	9200530	
DEC 74 : 249460496.000000	261129632.000000	153093424.000000	
HEX 75 : 1A00C6A0	117E5B40	DCF84B0	
DEC 75 : 436258464.000000	293493568.000000	231703728.000000	
HEX 76 : 1743BEA0	EE1B080	16A2696	
DEC 76 : 390315680.000000	249671808.000000	23733910.000000	
HEX 77 : 2E78B4C	155BB780	1697BDA0	
DEC 77 : 48728908.000000	358332288.000000	379043232.000000	
HEX 78 : 237EC3C	16225BC0	F228970	
DEC 78 : 37219388.000000	371350464.000000	253921648.000000	
HEX 79 : 1C16EA60	13550F0	18E03F00	
DEC 79 : 471263840.000000	20271344.000000	417349376.000000	
HEX 80 : A0970F0	1105D800	136FE800	
DEC 80 : 168390896.000000	285595648.000000	326100992.000000	
HEX 81 : 1E03D800	B7820F0	1A3555A0	
DEC 81 : 503568384.000000	192422128.000000	439702944.000000	
HEX 82 : E20F710	1CFCFD20	19B9D2E0	
DEC 82 : 237041424.000000	486341920.000000	431608544.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
