Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 5ED99	DE825D0	1A3FB9A0	
HEX 57 : 1996A560	6F05778	10292B00	
DEC 57 : 429303136.000000	116414328.000000	271133440.000000	
HEX 58 : 198EFC40	1A298D00	E713A90	
DEC 58 : 428801088.000000	438930688.000000	242301584.000000	
HEX 59 : 12818240	FFDB310	18C8D880	
DEC 59 : 310477376.000000	268284688.000000	415815808.000000	
HEX 60 : 8840D	1BB14FC0	1CA55780	
DEC 60 : 558093.000000	464605120.000000	480597888.000000	
HEX 61 : 1EFE9120	6A4ECD8	5B8D748	
DEC 61 : 519999776.000000	111471832.000000	95999816.000000	
HEX 62 : 18A509C0	907DD50	8FD5E90	
DEC 62 : 413469120.000000	151510352.000000	150822544.000000	
HEX 63 : 68FE650	1E8989A0	E9257C0	
DEC 63 : 110093904.000000	512330144.000000	244471744.000000	
HEX 64 : 1A187620	16B6C	1327A100	
DEC 64 : 437810720.000000	93036.000000	321364224.000000	
HEX 65 : 5F04F	75FA228	DD1D69	
DEC 65 : 389199.000000	123707944.000000	14490985.000000	
HEX 66 : 1EF48F80	117EB260	16728800	
DEC 66 : 519344000.000000	293515872.000000	376604672.000000	
HEX 67 : 1077DA60	6B6E700	13A6F4C0	
DEC 67 : 276290144.000000	112649984.000000	329708736.000000	
HEX 68 : 1B7C3680	746C1B8	1D1E7D20	
DEC 68 : 461125248.000000	122077624.000000	488537376.000000	
HEX 69 : 1D35DDE0	1677DF00	6A4DBC0	
DEC 69 : 490069472.000000	376954624.000000	111467456.000000	
HEX 70 : F78F060	1FBAF260	595E0B8	
DEC 70 : 259584096.000000	532345440.000000	93708472.000000	
HEX 71 : 1E7272E0	E6B1300	7A7E310	
DEC 71 : 510816992.000000	241898240.000000	128443152.000000	
HEX 72 : 165482C0	156F72A0	3C3EC78	
DEC 72 : 374637248.000000	359625376.000000	63171704.000000	
HEX 73 : 118C8840	8A6C880	1B7E3660	
DEC 73 : 294422592.000000	145148032.000000	461256288.000000	
HEX 74 : 1A2901A0	19825A20	17F654C0	
