Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 1C3CC100	CDFC880	58C2790	
HEX 57 : F935CB0	170B8F00	C032	
DEC 57 : 261315760.000000	386633472.000000	49202.000000	
HEX 58 : 14EDCCC0	3D19968	A7040A0	
DEC 58 : 351128768.000000	64067944.000000	175128736.000000	
HEX 59 : 511B878	9605A60	BF35	
DEC 59 : 85047416.000000	157309536.000000	48949.000000	
HEX 60 : DAD1440	6A9A5A8	15455780	
DEC 60 : 229446720.000000	111781288.000000	356865920.000000	
HEX 61 : EC73170	1879E3C0	847C880	
DEC 61 : 247935344.000000	410641344.000000	138922112.000000	
HEX 62 : 1A733960	11A4F4C0	BB04	
DEC 62 : 443758944.000000	296023232.000000	47876.000000	
HEX 63 : 1243A3C0	E66DD30	C22B	
DEC 63 : 306422720.000000	241622320.000000	49707.000000	
HEX 64 : 1552E4C0	565AC40	C16E	
DEC 64 : 357754048.000000	90549312.000000	49518.000000	
HEX 65 : 4C0F9E0	14125100	1AE7A700	
DEC 65 : 79755744.000000	336744704.000000	451389184.000000	
HEX 66 : C35A780	90B30F0	72C63D8	
DEC 66 : 204842880.000000	151728368.000000	120349656.000000	
HEX 67 : 1D9B8F0	D29F5A0	1A2A5660	
DEC 67 : 31045872.000000	220853664.000000	438982240.000000	
HEX 68 : C692690	981AB50	1C206F00	
DEC 68 : 208217744.000000	159492944.000000	471887616.000000	
HEX 69 : EDFD0F0	6C4FE20	DD69290	
DEC 69 : 249549040.000000	113573408.000000	232166032.000000	
HEX 70 : BAB4000	16998000	1C7AF260	
DEC 70 : 195772416.000000	379158528.000000	477819488.000000	
HEX 71 : FDBFB50	F91C690	80F6670	
DEC 71 : 266074960.000000	261211792.000000	135226992.000000	
HEX 72 : 1E00A000	8C010F0	10EB1780	
DEC 72 : 503357440.000000	146804976.000000	283842432.000000	
HEX 73 : 19836D20	11BD7C40	12E32580	
DEC 73 : 428043552.000000	297630784.000000	316876160.000000	
HEX 74 : 8D88DA0	17456100	D8939C0	
DEC 74 : 148409760.000000	390422784.000000	227097024.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
