Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
DEC 56 : 490685568.000000	116088352.000000	368931296.000000	
HEX 57 : 1DB0D120	16DC7440	13102E20	
DEC 57 : 498127136.000000	383546432.000000	319827488.000000	
HEX 58 : 5ED99	10773DA0	419C788	
DEC 58 : 388505.000000	276250016.000000	68798344.000000	
HEX 59 : 7ED8C	9605E90	6C912D0	
DEC 59 : 519564.000000	157310608.000000	113840848.000000	
HEX 60 : 1DAD3D80	1C7B9F00	E0DF690	
DEC 60 : 497892736.000000	477863680.000000	235796112.000000	
HEX 61 : 8F2A960	F255800	102D25A0	
DEC 61 : 150120800.000000	254105600.000000	271394208.000000	
HEX 62 : 94EB2B0	F0B0880	182E7960	
DEC 62 : 156152496.000000	252381312.000000	405698912.000000	
HEX 63 : 15D15E80	10FD7520	1EF5B000	
DEC 63 : 366042752.000000	285046048.000000	519417856.000000	
HEX 64 : 6F64BF8	1C365000	74582D0	
DEC 64 : 116804600.000000	473321472.000000	121995984.000000	
HEX 65 : 1AE6C3C0	1F042C40	126AB4C	
DEC 65 : 451331008.000000	520367168.000000	19311436.000000	
HEX 66 : E251920	13928DA0	149B71E0	
DEC 66 : 237312288.000000	328371616.000000	345731552.000000	
HEX 67 : 37AB228	9C3A260	145D5D20	
DEC 67 : 58372648.000000	163816032.000000	341663008.000000	
HEX 68 : 71E7140	15E036A0	132F6E20	
DEC 68 : 119435584.000000	367015584.000000	321875488.000000	
HEX 69 : 18BBC300	3C44788	40D4B4	
DEC 69 : 414958336.000000	63195016.000000	4248756.000000	
HEX 70 : C137070	11E40DA0	16AA878	
DEC 70 : 202600560.000000	300158368.000000	23767160.000000	
HEX 71 : 7060488	1F5324C0	1A22F2E0	
DEC 71 : 117834888.000000	525542592.000000	438498016.000000	
HEX 72 : 19D9F980	12ECEB40	A9F000	
DEC 72 : 433715584.000000	317516608.000000	11137024.000000	
HEX 73 : 12C41820	E7874B0	6052698	
