Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 1ECA9D20	113B95A0	1B8F6F00	
DEC 56 : 91180576.000000	5372265.000000	448391424.000000	
HEX 57 : 1085CC40	5AAFE98	1FF14800	
DEC 57 : 277204032.000000	95092376.000000	535906304.000000	
HEX 58 : 942E4B0	12E20620	19961E20	
DEC 58 : 155378864.000000	316802592.000000	429268512.000000	
HEX 59 : C95C2D0	1871B520	90235A0	
DEC 59 : 211141328.000000	410105120.000000	151139744.000000	
HEX 60 : 1BC90F00	96AAA60	40B6930	
DEC 60 : 466161408.000000	157985376.000000	67856688.000000	
HEX 61 : 4C1000	14F414C0	1AD8F840	
DEC 61 : 4984832.000000	351540416.000000	450426944.000000	
HEX 62 : BC5E970	3E16698	A39A350	
DEC 62 : 197519728.000000	65103512.000000	171549520.000000	
HEX 63 : 1319C2E0	1CC332E0	C3FCDA0	
DEC 63 : 320455392.000000	482554592.000000	205508000.000000	
HEX 64 : 13FB41E0	198DB4C0	13414340	
DEC 64 : 335233504.000000	428717248.000000	323044160.000000	
HEX 65 : 1A432100	1AB54780	E0B5840	
DEC 65 : 440606976.000000	448087936.000000	235624512.000000	
HEX 66 : 14057F00	90C94B0	463D8F0	
DEC 66 : 335904512.000000	151819440.000000	73652464.000000	
HEX 67 : 10A652E0	1FC111E0	17F20340	
DEC 67 : 279335648.000000	532746720.000000	401736512.000000	
HEX 68 : 5960F1	E213350	164DE700	
DEC 68 : 5857521.000000	237056848.000000	374204160.000000	
HEX 69 : 599A1E0	1FDF7F00	F7F3840	
DEC 69 : 93954528.000000	534740736.000000	259995712.000000	
HEX 70 : 1B6D91E0	13B8D960	6406298	
DEC 70 : 460165600.000000	330881376.000000	104882840.000000	
HEX 71 : 113565A0	AE97780	B1F0A20	
DEC 71 : 288712096.000000	183072640.000000	186583584.000000	
HEX 72 : 15837960	BD13710	113B77C0	
DEC 72 : 360937824.000000	198260496.000000	289109952.000000	
HEX 73 : 832878	775EF88	11B73AA0	
DEC 73 : 8595576.000000	125169544.000000	297220768.000000	
HEX 74 : 145DFC40	1FD15A60	1E7E1340	
DEC 74 : 341703744.000000	533813856.000000	511578944.000000	
HEX 75 : 74C3E20	8445C40	E662C40	
DEC 75 : 122437152.000000	138697792.000000	241577024.000000	
HEX 76 : E641E20	B2323C0	149091E0	
DEC 76 : 241442336.000000	186852288.000000	345018848.000000	
HEX 77 : 1D4A72E0	B719F10	16FC4B00	
DEC 77 : 491418336.000000	191995664.000000	385633024.000000	
HEX 78 : CB0A4B0	585A968	195640C0	
DEC 78 : 212903088.000000	92645736.000000	425083072.000000	
HEX 79 : C719F10	19824F00	17F4C040	
DEC 79 : 208772880.000000	427970304.000000	401915968.000000	
