Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
DEC 56 : 126437256.000000	503069504.000000	406288256.000000	
HEX 57 : 82E9DA0	16E23	5221968	
DEC 57 : 137272736.000000	93731.000000	86120808.000000	
HEX 58 : ADB7570	169B2	C2BD440	
DEC 58 : 182154608.000000	92594.000000	204198976.000000	
HEX 59 : 63F2800	18B5E5E0	114ECB4	
DEC 59 : 104802304.000000	414574048.000000	18148532.000000	
HEX 60 : 19F95100	DF05E20	11C58EA0	
DEC 60 : 435769600.000000	233856544.000000	298159776.000000	
HEX 61 : 18C19160	6DBF680	3BF4800	
DEC 61 : 415338848.000000	115078784.000000	62867456.000000	
HEX 62 : 1283CAA0	2445C20	1754F1E0	
DEC 62 : 310626976.000000	38034464.000000	391442912.000000	
HEX 63 : 1CBE3900	1104E080	19C78E20	
DEC 63 : 482228480.000000	285532288.000000	432508448.000000	
HEX 64 : 792BAD0	1C961800	7E18620	
DEC 64 : 127056592.000000	479598592.000000	132220448.000000	
HEX 65 : EF53400	12D1DE20	172E2880	
DEC 65 : 250950656.000000	315743776.000000	388900992.000000	
HEX 66 : A3A80B0	16309	15EACA60	
DEC 66 : 171606192.000000	90889.000000	367708768.000000	
HEX 67 : E4CCC80	A9987D0	D57A8F0	
DEC 67 : 239914112.000000	177833936.000000	223848688.000000	
HEX 68 : 121C0C80	1DA26860	19CFC1E0	
DEC 68 : 303828096.000000	497182816.000000	433045984.000000	
HEX 69 : 99143C	195A09E0	72C8F10	
DEC 69 : 10032188.000000	425331168.000000	120360720.000000	
HEX 70 : 1455C00	16BEA	2253BC4	
DEC 70 : 21322752.000000	93162.000000	35994564.000000	
HEX 71 : FEF65A	1B5C3DE0	101A4440	
DEC 71 : 16709210.000000	459029984.000000	270156864.000000	
HEX 72 : F09C880	1C6BF960	4902788	
DEC 72 : 252299392.000000	476838240.000000	76556168.000000	
HEX 73 : 6EFACB8	487A620	10DE8BC0	
DEC 73 : 116370616.000000	75998752.000000	283020224.000000	
HEX 74 : 8793F10	1C759900	102A4CC0	
DEC 74 : 142163728.000000	477468928.000000	271207616.000000	
HEX 75 : 491E968	1319F500	5D0F9E0	
DEC 75 : 76671336.000000	320468224.000000	97581536.000000	
HEX 76 : 11CBE040	10D89C20	8DBC530	
DEC 76 : 298573888.000000	282631200.000000	148620592.000000	
HEX 77 : C8C23C0	1318EAE0	FA2D4B0	
DEC 77 : 210510784.000000	320400096.000000	262329520.000000	
HEX 78 : 1774E6E0	137B0BC0	2AF152C	
DEC 78 : 393537248.000000	326831040.000000	45028652.000000	
HEX 79 : 857AC80	1608BF40	1BC43D20	
DEC 79 : 139963520.000000	369672000.000000	465845536.000000	
HEX 80 : 9A098B0	E9B8070	1A6CAE20	
DEC 80 : 161519792.000000	245071984.000000	443330080.000000	
HEX 81 : 1D2F32E0	1F6D1340	1DEA4880	
DEC 81 : 489632480.000000	527242048.000000	501893248.000000	
HEX 82 : 11C1CBC0	2A4B654	AB6A0F0	
DEC 82 : 297913280.000000	44349012.000000	179740912.000000	
HEX 83 : 2247968	1E29EF00	1EC0CD20	
DEC 83 : 35944808.000000	506064640.000000	515951904.000000	
HEX 84 : 8413D30	67DD580	199FEF00	
DEC 84 : 138493232.000000	108909952.000000	429911808.000000	
HEX 85 : 12F85BC0	1DBD1BA0	11667AE0	
DEC 85 : 318266304.000000	498932640.000000	291928800.000000	
HEX 86 : F063660	208D674	2BBECB4	
DEC 86 : 252065376.000000	34133620.000000	45870260.000000	
HEX 87 : 1ADFA840	511F180	1F8541E0	
DEC 87 : 450865216.000000	85062016.000000	528826848.000000	
HEX 88 : 2A7243C	1F718D00	2811E20	
DEC 88 : 44508220.000000	527535360.000000	42016288.000000	
HEX 89 : 17B4ECC0	1A64DCA0	1F156B40	
DEC 89 : 397733056.000000	442817696.000000	521497408.000000	
HEX 90 : 127D37C0	E031060	12961960	
DEC 90 : 310196160.000000	235081824.000000	311826784.000000	
HEX 91 : E044620	16B2D	1D258D20	
DEC 91 : 235161120.000000	92973.000000	489000224.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
