Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
DEC 56 : 314934208.000000	504941152.000000	320513088.000000	
HEX 57 : 18DF6A60	182ED5A0	E32CCB0	
DEC 57 : 417294944.000000	405722528.000000	238210224.000000	
HEX 58 : 1A520100	1F8A65A0	EE0A0F0	
DEC 58 : 441581824.000000	529163680.000000	249602288.000000	
HEX 59 : 12658160	156AE960	114679E0	
DEC 59 : 308642144.000000	359328096.000000	289831392.000000	
HEX 60 : 1E1E0C40	1EEE5880	3FE3BC4	
DEC 60 : 505285696.000000	518936704.000000	66993092.000000	
HEX 61 : 1CAD1D20	723FA20	12CF6700	
DEC 61 : 481107232.000000	119798304.000000	315582208.000000	
HEX 62 : 66DE1E	A9BD040	ECB8710	
DEC 62 : 6741534.000000	177983552.000000	248219408.000000	
HEX 63 : 13EA7520	1D814880	D6BCB5	
DEC 63 : 334132512.000000	495011968.000000	14073013.000000	
HEX 64 : 444BD30	C4CFA60	1F09FB40	
DEC 64 : 71613744.000000	206371424.000000	520747840.000000	
HEX 65 : 1F590B40	6841E2	1D1B85A0	
DEC 65 : 525929280.000000	6832610.000000	488342944.000000	
HEX 66 : 1AC2D3C0	E703CF0	778B4B	
DEC 66 : 448975808.000000	242236656.000000	7834443.000000	
HEX 67 : 16942780	10AAD340	1DB965A0	
DEC 67 : 378808192.000000	279630656.000000	498689440.000000	
HEX 68 : 344B3C4	13EF1780	1B55CB40	
DEC 68 : 54834116.000000	334436224.000000	458607424.000000	
HEX 69 : D6A7AD0	11821E20	15599780	
DEC 69 : 225082064.000000	293740064.000000	358193024.000000	
HEX 70 : F1C9800	A32C840	11AB23C0	
DEC 70 : 253532160.000000	171100224.000000	296428480.000000	
HEX 71 : 1FE04880	1BC4CD20	12487B40	
DEC 71 : 534792320.000000	465882400.000000	306740032.000000	
HEX 72 : 1376F960	4F82DE0	65563C0	
DEC 72 : 326564192.000000	83373536.000000	106259392.000000	
HEX 73 : DF0B880	5E0A400	1EBFD3C0	
DEC 73 : 233879680.000000	98608128.000000	515888064.000000	
HEX 74 : 1E088E20	90C6620	1CCBEB40	
DEC 74 : 503877152.000000	151807520.000000	483126080.000000	
HEX 75 : 26493C4	81E6B10	16937BC0	
DEC 75 : 40145860.000000	136211216.000000	378764224.000000	
HEX 76 : 8732620	1EB8D900	39058F0	
DEC 76 : 141764128.000000	515430656.000000	59791600.000000	
HEX 77 : 65DB2D0	1AC14740	1C1701E0	
DEC 77 : 106803920.000000	448874304.000000	471269856.000000	
HEX 78 : 1D37F880	13CA8CC0	1B46A780	
DEC 78 : 490207360.000000	332041408.000000	457615232.000000	
HEX 79 : 555F9E0	5E27348	BA0C2D0	
DEC 79 : 89520608.000000	98726728.000000	195085008.000000	
HEX 80 : F6F9F80	1FA1C9E0	68AB258	
DEC 80 : 258973568.000000	530696672.000000	109752920.000000	
HEX 81 : 7C883C0	178204C0	1837DA6	
DEC 81 : 130581440.000000	394396864.000000	25394598.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
