Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 5A3F078	B4FE880	17E2C6E0	
HEX 56 : 13B6AD2	117BD900	1F3971E0	
DEC 56 : 20671186.000000	293329152.000000	523858400.000000	
HEX 57 : BA25710	D924620	39E5078	
DEC 57 : 195188496.000000	227690016.000000	60706936.000000	
HEX 58 : 15E4C080	3425698	6A846D0	
DEC 58 : 367313024.000000	54679192.000000	111691472.000000	
HEX 59 : 14DA6EA0	18C2F9E0	CB46380	
DEC 59 : 349859488.000000	415431136.000000	213148544.000000	
HEX 60 : F5609E0	142DDBC0	34DC2D4	
DEC 60 : 257296864.000000	338549696.000000	55427796.000000	
HEX 61 : 879F260	3BD2968	D093BC0	
DEC 61 : 142209632.000000	62728552.000000	218708928.000000	
HEX 62 : 1BBE4D20	5FACA58	2C1634C	
DEC 62 : 465456416.000000	100321880.000000	46228300.000000	
HEX 63 : 162E6CC0	F81FD30	1E3CA100	
DEC 63 : 372141248.000000	260177200.000000	507289856.000000	
HEX 64 : 2897078	17E69880	9744000	
DEC 64 : 42561656.000000	400988288.000000	158613504.000000	
HEX 65 : 85B52D	477B0F0	D084C80	
DEC 65 : 8762669.000000	74952944.000000	218647680.000000	
HEX 66 : 1E4803C0	12F7B2E0	8111080	
DEC 66 : 508036032.000000	318223072.000000	135336064.000000	
HEX 67 : 1DDC43C	12551F80	17C516A0	
DEC 67 : 31310908.000000	307568512.000000	398792352.000000	
HEX 68 : 1F2C41E0	1AB831E0	5B9F040	
DEC 68 : 522994144.000000	448279008.000000	96071744.000000	
HEX 69 : 17C58AE0	91F6C40	15F98F80	
DEC 69 : 398822112.000000	153054272.000000	368676736.000000	
HEX 70 : 124D7700	2A01E98	181A5B40	
DEC 70 : 307066624.000000	44048024.000000	404380480.000000	
HEX 71 : 1452C2E0	F2244B0	C7E297	
DEC 71 : 340968160.000000	253904048.000000	13099671.000000	
HEX 72 : 114D49E0	12A5D9E0	108140C0	
DEC 72 : 290277856.000000	312859104.000000	276906176.000000	
HEX 73 : 996B620	F7D8AD0	AF0C380	
DEC 73 : 160871968.000000	259885776.000000	183550848.000000	
HEX 74 : C9FAA60	19F16E20	1B499000	
DEC 74 : 211790432.000000	435252768.000000	457805824.000000	
HEX 75 : 18E7800	1D48E780	3CE6F88	
DEC 75 : 26114048.000000	491317120.000000	63860616.000000	
HEX 76 : 132E9BC0	16496B40	1CE9CB40	
DEC 76 : 321821632.000000	373910336.000000	485083968.000000	
HEX 77 : 1D745C40	E3FA710	1CC04620	
DEC 77 : 494165056.000000	239052560.000000	482362912.000000	
HEX 78 : 79E5F88	1415D080	54F7698	
DEC 78 : 127819656.000000	336973952.000000	89093784.000000	
HEX 79 : 141AD1E0	62E2F88	D5CD9A0	
DEC 79 : 337301984.000000	103690120.000000	224188832.000000	
HEX 80 : 12EFA620	1DAFAD20	199A96E0	
DEC 80 : 317695520.000000	498052384.000000	429561568.000000	
HEX 81 : EC99620	1D502620	E594840	
DEC 81 : 248092192.000000	491791904.000000	240732224.000000	
HEX 82 : 19D2D6A0	1503E1E0	199A1780	
DEC 82 : 433247904.000000	352575968.000000	429528960.000000	
HEX 83 : E329DA0	160025A0	A853290	
DEC 83 : 238198176.000000	369108384.000000	176501392.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
