Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
DEC 56 : 110278536.000000	362563584.000000	72085984.000000	
HEX 57 : EDAF970	18F9FA60	1DACE5A0	
DEC 57 : 249231728.000000	419035744.000000	497870240.000000	
HEX 58 : 40065A8	1982BBC0	A339780	
DEC 58 : 67134888.000000	427998144.000000	171153280.000000	
HEX 59 : FD13C4	1880AE20	12EDC9E0	
DEC 59 : 16585668.000000	411086368.000000	317573600.000000	
HEX 60 : 15D044C0	1F363DA0	132B2960	
DEC 60 : 365970624.000000	523648416.000000	321595744.000000	
HEX 61 : 15D362E0	16849D20	1F1C84C0	
DEC 61 : 366174944.000000	377789728.000000	521962688.000000	
HEX 62 : 7A3A788	601F078	5FBB0F0	
DEC 62 : 128165768.000000	100790392.000000	100380912.000000	
HEX 63 : 92410F0	D56E440	5286698	
DEC 63 : 153358576.000000	223798336.000000	86533784.000000	
HEX 64 : 187E7000	6BF3F88	13455F80	
DEC 64 : 410939392.000000	113196936.000000	323313536.000000	
HEX 65 : 13AA25A0	121376A0	2B49E2	
DEC 65 : 329917856.000000	303265440.000000	2836962.000000	
HEX 66 : 6A243C0	1CD93520	107E0AE0	
DEC 66 : 111297472.000000	483996960.000000	276695776.000000	
HEX 67 : 102D51E0	195D8700	162ADF00	
DEC 67 : 271405536.000000	425559808.000000	371908352.000000	
HEX 68 : 187E7100	1F8D2D2	9986E90	
DEC 68 : 410939648.000000	33084114.000000	160984720.000000	
HEX 69 : D5532D0	768A698	AB4EE20	
DEC 69 : 223687376.000000	124298904.000000	179629600.000000	
HEX 70 : 21162D4	F954D30	66F4710	
DEC 70 : 34693844.000000	261442864.000000	107955984.000000	
HEX 71 : 105331E0	C16C350	34850F0	
DEC 71 : 273887712.000000	202818384.000000	55070960.000000	
HEX 72 : 187E6F00	15EB5700	13423440	
DEC 72 : 410939136.000000	367744768.000000	323105856.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
