Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 119FE0C0	123BEB40	18CEDE20	
DEC 56 : 88705344.000000	442459072.000000	352327072.000000	
HEX 57 : 1152C420	543B9E0	1195BE20	
DEC 57 : 290636832.000000	88324576.000000	295026208.000000	
HEX 58 : 1A59CEC0	1F64DA60	5D6696	
DEC 58 : 442093248.000000	526703200.000000	6121110.000000	
HEX 59 : 5D08C90	1A099C40	C8F7880	
DEC 59 : 97553552.000000	436837440.000000	210729088.000000	
HEX 60 : 596FF	9A12710	1C4A11E0	
DEC 60 : 366335.000000	161556240.000000	474616288.000000	
HEX 61 : 15425600	B645440	FAC1B50	
DEC 61 : 356668928.000000	191124544.000000	262937424.000000	
HEX 62 : 109DFA80	1D890A60	FD9AD30	
DEC 62 : 278788736.000000	495520352.000000	265923888.000000	
HEX 63 : 12A34AC0	4B992D0	A30DC40	
DEC 63 : 312691392.000000	79270608.000000	170974272.000000	
HEX 64 : 16162760	1545E4C0	1E0EE3C0	
DEC 64 : 370550624.000000	356902080.000000	504292288.000000	
HEX 65 : 72CE528	137DCA60	18891E20	
DEC 65 : 120382760.000000	327010912.000000	411639328.000000	
HEX 66 : E827AF0	1271BF00	C9969	
DEC 66 : 243432176.000000	309444352.000000	825705.000000	
HEX 67 : 5FDE1	DFA75A0	BAE2D30	
DEC 67 : 392673.000000	234517920.000000	195964208.000000	
HEX 68 : 10306060	BC19B50	153A0960	
DEC 68 : 271605856.000000	197237584.000000	356125024.000000	
HEX 69 : 6587158	17F2DF00	1E8BF6A0	
DEC 69 : 106459480.000000	401792768.000000	512489120.000000	
HEX 70 : 24E2BC4	A2044B0	178BA5A	
DEC 70 : 38677444.000000	169886896.000000	24689242.000000	
HEX 71 : 5D03C	13E4F2E0	1F1251E0	
DEC 71 : 380988.000000	333771488.000000	521294304.000000	
HEX 72 : 61D4400	C0989E0	1893EC40	
DEC 72 : 102581248.000000	201951712.000000	412347456.000000	
HEX 73 : 19693EC0	5223078	F2394B0	
DEC 73 : 426327744.000000	86126712.000000	253990064.000000	
HEX 74 : 7767FB0	3312788	13E2000	
DEC 74 : 125206448.000000	53553032.000000	20848640.000000	
HEX 75 : 19CCB5E0	14A7EB40	10AFDE20	
DEC 75 : 432846304.000000	346549056.000000	279961120.000000	
HEX 76 : 9623A60	1DE42100	1B0FAD20	
DEC 76 : 157432416.000000	501489920.000000	454012192.000000	
HEX 77 : 16DBEBE0	1F44878	15780780	
DEC 77 : 383511520.000000	32786552.000000	360187776.000000	
HEX 78 : 710BB	1FD6D780	17F85A6	
DEC 78 : 463035.000000	534173568.000000	25134502.000000	
HEX 79 : 1A791040	13974160	182C92E0	
DEC 79 : 444141632.000000	328679776.000000	405574368.000000	
HEX 80 : 5F5BD	173B2F00	FD7A5A	
DEC 80 : 390589.000000	389754624.000000	16611930.000000	
HEX 81 : 1E38C700	1F9B8100	EB185A0	
DEC 81 : 507037440.000000	530284800.000000	246515104.000000	
HEX 82 : CD07A80	D43FE20	1BC92E20	
DEC 82 : 214989440.000000	222559776.000000	466169376.000000	
HEX 83 : 2C88714	3421F88	1960DA60	
DEC 83 : 46696212.000000	54665096.000000	425777760.000000	
HEX 84 : 192A6F00	339D1E0	1C85C2E0	
DEC 84 : 422211328.000000	54120928.000000	478528224.000000	
HEX 85 : 13A30940	E3AFCB0	1F198E20	
DEC 85 : 329451840.000000	238746800.000000	521768480.000000	
HEX 86 : 2FC4BD8	7AC5800	8D2AB50	
DEC 86 : 50088920.000000	128735232.000000	148024144.000000	
HEX 87 : 1B1F16E0	384BC3	306A698	
DEC 87 : 455022304.000000	3689411.000000	50767512.000000	
HEX 88 : 1172B780	BCF68F0	23E0968	
DEC 88 : 292730752.000000	198142192.000000	37620072.000000	
HEX 89 : 1FFEF000	1869E1E	19D92880	
DEC 89 : 536801280.000000	25599518.000000	433662080.000000	
HEX 90 : 957BC40	9EF8080	57B44B8	
DEC 90 : 156744768.000000	166690944.000000	91964600.000000	
HEX 91 : 5B00230	57429E0	1012C5A0	
DEC 91 : 95420976.000000	91498976.000000	269665696.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
