Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 1AA3C2E0	78F82D0	B8266F0	
HEX 57 : 1060C1E0	187C44C0	B219A00	
DEC 57 : 274776544.000000	410797248.000000	186751488.000000	
HEX 58 : DB5AE20	185311E0	133A2360	
DEC 58 : 230010400.000000	408097248.000000	322577248.000000	
HEX 59 : 1D334E20	D8141E0	F5B3C90	
DEC 59 : 489901600.000000	226574816.000000	257637520.000000	
HEX 60 : 60ED440	12B58A60	16B2D	
DEC 60 : 101635136.000000	313887328.000000	92973.000000	
HEX 61 : A57C4B0	1363A880	CE62570	
DEC 61 : 173524144.000000	325298304.000000	216409456.000000	
HEX 62 : 1994C960	10763E20	15D77F60	
DEC 62 : 429181280.000000	276184608.000000	366444384.000000	
HEX 63 : 1D585A60	14DD75A0	10EFEBE0	
DEC 63 : 492329568.000000	350057888.000000	284158944.000000	
HEX 64 : 1B6F2A60	AC325A0	4A268A8	
DEC 64 : 460270176.000000	180561312.000000	77752488.000000	
HEX 65 : 194B4B4	4A82E20	109D21A0	
DEC 65 : 26522804.000000	78130720.000000	278733216.000000	
HEX 66 : 1A62BCC0	4F95A5	16776520	
DEC 66 : 442678464.000000	5215653.000000	376923424.000000	
HEX 67 : FA93F10	10AD2F00	12E9E900	
DEC 67 : 262749968.000000	279785216.000000	317319424.000000	
HEX 68 : 125CF700	8DBE880	445FB98	
DEC 68 : 308082432.000000	148629632.000000	71695256.000000	
HEX 69 : 1C24A620	182F52E0	EE0462	
DEC 69 : 472163872.000000	405754592.000000	15598690.000000	
HEX 70 : ED82080	928D4B0	14811F40	
DEC 70 : 249045120.000000	153670832.000000	344006464.000000	
HEX 71 : 14B63900	1767B960	C032	
DEC 71 : 347486464.000000	392673632.000000	49202.000000	
HEX 72 : 1ECB5880	16F2C3C0	1EA53160	
DEC 72 : 516642944.000000	385008576.000000	514142560.000000	
HEX 73 : 1630D960	1068B000	F1E7D70	
DEC 73 : 372300128.000000	275296256.000000	253656432.000000	
HEX 74 : 131E49E0	ED38690	19576C20	
DEC 74 : 320752096.000000	248743568.000000	425159712.000000	
HEX 75 : 1E7202E0	C944880	1A144F20	
DEC 75 : 510788320.000000	211044480.000000	437538592.000000	
HEX 76 : 9B7AAD0	CDCDA60	1A7EDE40	
DEC 76 : 163031760.000000	215800416.000000	444522048.000000	
HEX 77 : A90A3C0	38D45A4	193B21C0	
DEC 77 : 177251264.000000	59590052.000000	423305664.000000	
HEX 78 : DE42080	143B3D20	19BB6920	
DEC 78 : 233054336.000000	339426592.000000	431712544.000000	
HEX 79 : 376EF88	156969	17376F80	
DEC 79 : 58126216.000000	1403241.000000	389508992.000000	
HEX 80 : 70DDA5	132E5B40	142F2840	
DEC 80 : 7396773.000000	321805120.000000	338634816.000000	
HEX 81 : 290A000	6B38B48	1BA13900	
DEC 81 : 43032576.000000	112429896.000000	463550720.000000	
HEX 82 : C857E20	1D78CA60	67B4630	
DEC 82 : 210075168.000000	494455392.000000	108742192.000000	
HEX 83 : 4299CB8	1EDBE100	1BDC06A0	
DEC 83 : 69835960.000000	517726464.000000	467404448.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
