Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
DEC 57 : 273643712.000000	385205760.000000	49328.000000	
HEX 58 : 14089F40	16B6C	C032	
DEC 58 : 336109376.000000	93036.000000	49202.000000	
HEX 59 : 1FF71A60	78B0230	69D1E60	
DEC 59 : 536287840.000000	126550576.000000	110960224.000000	
HEX 60 : 7774168	7208C58	341000C	
DEC 60 : 125256040.000000	119573592.000000	54591500.000000	
HEX 61 : 469B7C0	16B6C	1FD87480	
DEC 61 : 74037184.000000	93036.000000	534279296.000000	
HEX 62 : 3C43710	153680C0	1ADD0660	
DEC 62 : 63190800.000000	355893440.000000	450692704.000000	
HEX 63 : 27D6B10	D66C890	53466A	
DEC 63 : 41773840.000000	224839824.000000	5457514.000000	
HEX 64 : 1EE2ED20	13D11180	2CBB094	
DEC 64 : 518188320.000000	332468608.000000	46903444.000000	
HEX 65 : 159BB7C0	7567F78	29CEA54	
DEC 65 : 362526656.000000	123109240.000000	43838036.000000	
HEX 66 : 11CF8E20	6634C70	1A888500	
DEC 66 : 298815008.000000	107170928.000000	445154560.000000	
HEX 67 : ED0CF1	15597240	130D10E0	
DEC 67 : 15535345.000000	358183488.000000	319623392.000000	
HEX 68 : EC66BC0	129ACE80	1C2F2680	
DEC 68 : 247884736.000000	312135296.000000	472852096.000000	
HEX 69 : 3F9CB4	7EC1968	723D730	
DEC 69 : 4168884.000000	132913512.000000	119789360.000000	
HEX 70 : 40E6658	AF25440	D1E4490	
DEC 70 : 68052568.000000	183653440.000000	220087440.000000	
HEX 71 : 5A41298	13B68740	C7839D0	
DEC 71 : 94638744.000000	330729280.000000	209205712.000000	
HEX 72 : 271C4B4	79842A	3AA7688	
DEC 72 : 41010356.000000	7963690.000000	61503112.000000	
HEX 73 : 7797440	1C80F2C	19331E40	
DEC 73 : 125400128.000000	29888300.000000	422780480.000000	
HEX 74 : F944840	70CE530	7692BC0	
DEC 74 : 261376064.000000	118285616.000000	124332992.000000	
HEX 75 : 10EBF160	1BB65180	137E3F40	
DEC 75 : 283898208.000000	464933248.000000	327040832.000000	
HEX 76 : 1249CE60	182D2FA0	1FD4E840	
DEC 76 : 306826848.000000	405614496.000000	534046784.000000	
HEX 77 : 88A31A0	1739CD80	12C6EB80	
DEC 77 : 143274400.000000	389664128.000000	315026304.000000	
HEX 78 : 16E214C0	50754D0	1423D0C0	
DEC 78 : 383915200.000000	84366544.000000	337891520.000000	
HEX 79 : 1A90A800	E3F0010	5705858	
DEC 79 : 445687808.000000	239009808.000000	91248728.000000	
HEX 80 : C9F79E0	123EE7A0	EE03A40	
DEC 80 : 211778016.000000	306112416.000000	249576000.000000	
HEX 81 : E70DA20	1FE1F220	BFF3	
DEC 81 : 242276896.000000	534901280.000000	49139.000000	
HEX 82 : 1BB28A20	1A3AAAA0	1E347080	
DEC 82 : 464685600.000000	440052384.000000	506753152.000000	
HEX 83 : 1C9EE3C0	65E8B58	F73BF80	
DEC 83 : 480175040.000000	106859352.000000	259243904.000000	
HEX 84 : 1E1A14C0	1603CF80	11329BC0	
DEC 84 : 505025728.000000	369348480.000000	288529344.000000	
HEX 85 : 18F5DB00	1185DE80	E05DE10	
DEC 85 : 418765568.000000	293985920.000000	235265552.000000	
HEX 86 : 3E16C3C	BE788	11157A40	
DEC 86 : 65104956.000000	780168.000000	286620224.000000	
HEX 87 : B12169	1D69AAE0	FFC7490	
