Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 57 : F4C8E40	43E68D8	1205E3C0	
DEC 57 : 256675392.000000	71198936.000000	302375872.000000	
HEX 58 : 106BF920	65F5E90	A8E5D30	
DEC 58 : 275511584.000000	106913424.000000	177102128.000000	
HEX 59 : 1B4E8D60	E4688B	18B55960	
DEC 59 : 458132832.000000	14968971.000000	414538080.000000	
HEX 60 : 1ADBEFE0	97DD380	6F48968	
DEC 60 : 450621408.000000	159241088.000000	116689256.000000	
HEX 61 : ACD8AC0	161CD760	197EC4C0	
DEC 61 : 181242560.000000	370988896.000000	427738304.000000	
HEX 62 : 250B6A0	61D7750	17E5E000	
DEC 62 : 38844064.000000	102594384.000000	400941056.000000	
HEX 63 : 14CA21E0	18221E80	5E43878	
DEC 63 : 348791264.000000	404889216.000000	98842744.000000	
HEX 64 : 5803C90	16AEE	E615C40	
DEC 64 : 92290192.000000	92910.000000	241261632.000000	
HEX 65 : 1AF95480	9417830	1A37B4C0	
DEC 65 : 452547712.000000	155285552.000000	439858368.000000	
HEX 66 : AD6F880	A321E20	1332AB40	
DEC 66 : 181860480.000000	171056672.000000	322087744.000000	
HEX 67 : 5F7B6	10F774E0	31ECD2C	
DEC 67 : 391094.000000	284652768.000000	52350252.000000	
HEX 68 : 5F7B6	CDB9580	157415A0	
DEC 68 : 391094.000000	215717248.000000	359929248.000000	
HEX 69 : 979C940	11694C00	E0D0F10	
DEC 69 : 158976320.000000	292113408.000000	235736848.000000	
HEX 70 : 1DE51900	15929B20	10BBAA60	
DEC 70 : 501553408.000000	361929504.000000	280734304.000000	
HEX 71 : CB5A3C0	CC1FD50	917E0F0	
DEC 71 : 213230528.000000	214039888.000000	152559856.000000	
HEX 72 : 19A67900	D792AD0	12F091E0	
DEC 72 : 430340352.000000	226044624.000000	317755872.000000	
HEX 73 : 14E15E20	C3948C0	C2943C0	
DEC 73 : 350314016.000000	205080768.000000	204030912.000000	
HEX 74 : 10FD5C00	16B6C	199DB4C	
DEC 74 : 285039616.000000	93036.000000	26860364.000000	
HEX 75 : 5F7B6	1178FD00	CD6D1E0	
DEC 75 : 391094.000000	293141760.000000	215405024.000000	
HEX 76 : 1F2D6A20	F764A20	489B2D0	
DEC 76 : 523069984.000000	259410464.000000	76133072.000000	
HEX 77 : 6AF1710	1865E3A0	10F77C40	
DEC 77 : 112138000.000000	409330592.000000	284654656.000000	
HEX 78 : 1BDF46C0	139C3DE0	17CEBC40	
DEC 78 : 467617472.000000	329006560.000000	399424576.000000	
HEX 79 : 1E5B62A0	63137F0	143AA6A0	
DEC 79 : 509305504.000000	103888880.000000	339388064.000000	
HEX 80 : 15B295E0	17E3AAE0	1A5B1A60	
DEC 80 : 364025312.000000	400796384.000000	442178144.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
