Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 717E2D0	5CDDE68	18FFD120	
HEX 57 : 18D4CC40	BAE58D0	77B3E20	
DEC 57 : 416599104.000000	195975376.000000	125517344.000000	
HEX 58 : CCD6F10	14A9D720	9153B10	
DEC 58 : 214789904.000000	346674976.000000	152386320.000000	
HEX 59 : C6820F0	6D96ED8	CD41AD0	
DEC 59 : 208150768.000000	114912984.000000	215227088.000000	
HEX 60 : 1A3BE2E0	10BCDE0	1F95C2E0	
DEC 60 : 440132320.000000	17550816.000000	529908448.000000	
HEX 61 : 1D3D4880	18A4BA	18BA5C00	
DEC 61 : 490555520.000000	1615034.000000	414866432.000000	
HEX 62 : 2004A5C	21F7160	1D25CDA0	
DEC 62 : 33573468.000000	35615072.000000	489016736.000000	
HEX 63 : 2CAE1E0	92C3D6	15B0E620	
DEC 63 : 46850528.000000	9618390.000000	363914784.000000	
HEX 64 : 1FD1A3C0	FAC4E00	183FE1E	
DEC 64 : 533832640.000000	262950400.000000	25427486.000000	
HEX 65 : AB344B0	1AB8E200	13DCA920	
DEC 65 : 179520688.000000	448324096.000000	333228320.000000	
HEX 66 : 158A3880	1F8E3960	A9A2C40	
DEC 66 : 361379968.000000	529414496.000000	177876032.000000	
HEX 67 : 1C1C696	9ED6150	D321A60	
DEC 67 : 29476502.000000	166551888.000000	221387360.000000	
HEX 68 : 1F66E6A0	1CE755A0	22CEF10	
DEC 68 : 526837408.000000	484922784.000000	36499216.000000	
HEX 69 : 18662000	14B1A	12F61FC0	
DEC 69 : 409346048.000000	84762.000000	318119872.000000	
HEX 70 : F55AE20	CE82B80	103566E0	
DEC 70 : 257273376.000000	216542080.000000	271935200.000000	
HEX 71 : D820E20	FB5BCF0	18C54040	
DEC 71 : 226627104.000000	263568624.000000	415580224.000000	
HEX 72 : 14C9A1E0	12C55D00	11622DA0	
DEC 72 : 348758496.000000	314924288.000000	291646880.000000	
HEX 73 : 177FC3C0	10368D00	19E4296	
DEC 73 : 394249152.000000	272010496.000000	27148950.000000	
HEX 74 : 13B246A0	161A02A0	4CF1310	
DEC 74 : 330450592.000000	370803360.000000	80679696.000000	
HEX 75 : ACA55A0	12DB0BE0	11BA7F80	
DEC 75 : 181032352.000000	316345312.000000	297435008.000000	
HEX 76 : 139A3000	1040D3E0	A632260	
DEC 76 : 328871936.000000	272684000.000000	174269024.000000	
HEX 77 : DE98690	DD90A70	614E5A8	
DEC 77 : 233408144.000000	232327792.000000	102032808.000000	
HEX 78 : 1555A1E0	7094540	837E5A	
DEC 78 : 357933536.000000	118048064.000000	8617562.000000	
HEX 79 : 1305BE20	73B28E0	940F620	
DEC 79 : 319143456.000000	121317600.000000	155252256.000000	
HEX 80 : F561E2	12421500	1DB08700	
DEC 80 : 16081378.000000	306320640.000000	498108160.000000	
HEX 81 : 149AE1E	838C410	14DBD9A0	
DEC 81 : 21605918.000000	137937936.000000	349952416.000000	
HEX 82 : 1A2DD2E	19B76A00	1CE941E0	
DEC 82 : 27450670.000000	431450624.000000	485048800.000000	
HEX 83 : 35A64B4	1D1DC100	128C3000	
DEC 83 : 56255668.000000	488489216.000000	311177216.000000	
HEX 84 : 1E5456A0	6C0BBD0	1342EF00	
DEC 84 : 508843680.000000	113294288.000000	323153664.000000	
HEX 85 : 1C7A4780	7FC60D0	1DB70160	
DEC 85 : 477775744.000000	133980368.000000	498532704.000000	
HEX 86 : 9FFF1E0	16A8B0A0	1AED9E60	
