Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
DEC 56 : 460707968.000000	44732896.000000	357476960.000000	
HEX 57 : 10B09340	1B5CBA60	18821F00	
DEC 57 : 280007488.000000	459061856.000000	411180800.000000	
HEX 58 : 19BF9780	A0263C0	B6393C0	
DEC 58 : 431986560.000000	167928768.000000	191075264.000000	
HEX 59 : D593AD0	E5AF970	1E2E33C0	
DEC 59 : 223951568.000000	240843120.000000	506344384.000000	
HEX 60 : 14318D20	E712690	6099B48	
DEC 60 : 338791712.000000	242296464.000000	101292872.000000	
HEX 61 : 1EE1C3C0	6F694B8	10284A60	
DEC 61 : 518112192.000000	116823224.000000	271075936.000000	
HEX 62 : 1DE97D20	F637C40	19D564C0	
DEC 62 : 501841184.000000	258178112.000000	433415360.000000	
HEX 63 : 50E6530	1443E900	1CA4B6A0	
DEC 63 : 84829488.000000	339994880.000000	480556704.000000	
HEX 64 : 6278440	CDFF1E0	BF6A000	
DEC 64 : 103253056.000000	216003040.000000	200712192.000000	
HEX 65 : 2E34E98	953B8F0	D5B000	
DEC 65 : 48451224.000000	156481776.000000	14004224.000000	
HEX 66 : 413D620	D1B78F0	1A85D780	
DEC 66 : 68408864.000000	219904240.000000	444979072.000000	
HEX 67 : E1FCC40	15CC32E0	1421FD20	
DEC 67 : 236964928.000000	365703904.000000	337771808.000000	
HEX 68 : 1AC89B40	1CA2C440	10AF0F0	
DEC 68 : 449354560.000000	480429120.000000	17494256.000000	
HEX 69 : 1BCC7780	11CAE260	1304B3C0	
DEC 69 : 466384768.000000	298508896.000000	319075264.000000	
HEX 70 : 1FCC6F00	12772DA0	7A3F2D0	
DEC 70 : 533491456.000000	309800352.000000	128185040.000000	
HEX 71 : 81BD690	1A4D5520	1238C3C	
DEC 71 : 136042128.000000	441275680.000000	19106876.000000	
HEX 72 : 24990F0	5BFF5A8	EB2C970	
DEC 72 : 38375664.000000	96466344.000000	246598000.000000	
HEX 73 : 9871710	6F16968	61B01E0	
DEC 73 : 159848208.000000	116484456.000000	102433248.000000	
HEX 74 : 3FE2CB4	12C189E0	14C86100	
DEC 74 : 66989236.000000	314673632.000000	348676352.000000	
HEX 75 : 1A04D6A0	1F24FCC0	F1D73C0	
DEC 75 : 436524704.000000	522517696.000000	253588416.000000	
HEX 76 : 9218880	1999E4C0	193C2B40	
DEC 76 : 153192576.000000	429515968.000000	423373632.000000	
HEX 77 : 1E83FE20	4474E20	1BFF5780	
DEC 77 : 511966752.000000	71781920.000000	469718912.000000	
HEX 78 : 1117D2E0	5B17DA8	91F4780	
DEC 78 : 286773984.000000	95518120.000000	153044864.000000	
HEX 79 : 47391E0	15992D20	AAC7780	
DEC 79 : 74682848.000000	362360096.000000	179074944.000000	
HEX 80 : 15F841E0	1A9C6440	1E247880	
DEC 80 : 368591328.000000	446456896.000000	505706624.000000	
HEX 81 : 10DBFA60	147EC4C0	1B977C40	
