Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
DEC 56 : 91952216.000000	410642560.000000	43225568.000000	
HEX 57 : EE04BC0	99751E0	1CC4B880	
DEC 57 : 249580480.000000	160911840.000000	482654336.000000	
HEX 58 : 15D90EE0	1879EA60	6B49BC0	
DEC 58 : 366546656.000000	410643040.000000	112499648.000000	
HEX 59 : A266F60	131505A0	9F211E0	
DEC 59 : 170291040.000000	320144800.000000	166859232.000000	
HEX 60 : 129EB6C0	132B1960	1FA53B40	
DEC 60 : 312391360.000000	321591648.000000	530922304.000000	
HEX 61 : 19C7D040	5ECC788	10B1B880	
DEC 61 : 432525376.000000	99403656.000000	280082560.000000	
HEX 62 : 5F57E	C2064B0	1F14E6A0	
DEC 62 : 390526.000000	203449520.000000	521463456.000000	
HEX 63 : E8D74E0	15C05000	11837800	
DEC 63 : 244151520.000000	364924928.000000	293828608.000000	
HEX 64 : 5F18B	12584880	15242700	
DEC 64 : 389515.000000	307775616.000000	354690816.000000	
HEX 65 : 12C03B80	5DB20F0	16CFDEA0	
DEC 65 : 314588032.000000	98246896.000000	382721696.000000	
HEX 66 : 1BAC0C60	9DA7F10	1E6085A0	
DEC 66 : 464260192.000000	165314320.000000	509642144.000000	
HEX 67 : 1E1348C0	166875A0	1C6396A	
DEC 67 : 504580288.000000	375944608.000000	29768042.000000	
HEX 68 : A5785B0	1879E880	17211160	
DEC 68 : 173508016.000000	410642560.000000	388043104.000000	
HEX 69 : CBE0DF0	C76F5A0	50C89E0	
DEC 69 : 213782000.000000	209122720.000000	84707808.000000	
HEX 70 : 1A506200	2C94B4	5A5D078	
DEC 70 : 441475584.000000	2921652.000000	94752888.000000	
HEX 71 : DC2F250	E83A780	EB85350	
DEC 71 : 230879824.000000	243509120.000000	246960976.000000	
HEX 72 : 9CC53E0	5DDD698	2EDC000	
DEC 72 : 164385760.000000	98424472.000000	49135616.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
