Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
DEC 56 : 85242456.000000	303108448.000000	29359406.000000	
HEX 57 : 53806D0	F22D4B0	145563C0	
DEC 57 : 87557840.000000	253940912.000000	341140416.000000	
HEX 58 : 159B1F40	A29A970	1C99A6A0	
DEC 58 : 362487616.000000	170502512.000000	479831712.000000	
HEX 59 : 946B5E0	42CDF10	198F9A60	
DEC 59 : 155629024.000000	70049552.000000	428841568.000000	
HEX 60 : 12960900	103B7D60	33FD0F0	
DEC 60 : 311822592.000000	272334176.000000	54513904.000000	
HEX 61 : CAA0DE0	F3B18F0	15736C40	
DEC 61 : 212471264.000000	255531248.000000	359885888.000000	
HEX 62 : 1CA0BBC0	D623B50	10D3B000	
DEC 62 : 480295872.000000	224541520.000000	282308608.000000	
HEX 63 : 1F475E20	1DE92260	7DC6A58	
DEC 63 : 524770848.000000	501817952.000000	131885656.000000	
HEX 64 : 2529B4C	1002FEA0	872A3C0	
DEC 64 : 38968140.000000	268631712.000000	141730752.000000	
HEX 65 : 1FD3F3C0	197DFF40	DEECD30	
DEC 65 : 533984192.000000	427687744.000000	233753904.000000	
HEX 66 : B10F440	147B6560	1BA195A0	
DEC 66 : 185660480.000000	343631200.000000	463574432.000000	
HEX 67 : 1B3EF100	EB4478	11253000	
DEC 67 : 457109760.000000	15418488.000000	287649792.000000	
HEX 68 : 1B238B00	E1D1B10	1FDF44C0	
DEC 68 : 455314176.000000	236788496.000000	534725824.000000	
HEX 69 : 109D7700	14E5FC80	12750E20	
DEC 69 : 278755072.000000	350616704.000000	309661216.000000	
HEX 70 : 1C67AF80	B6FAED0	94D1000	
DEC 70 : 476557184.000000	191868624.000000	156045312.000000	
HEX 71 : 1BA364C0	1E63A700	1ACADF00	
DEC 71 : 463692992.000000	509847296.000000	449502976.000000	
HEX 72 : 11C89900	1BBE1CC0	155EA960	
DEC 72 : 298359040.000000	465444032.000000	358525280.000000	
HEX 73 : 1565CDA0	1A8BB900	1DF926A0	
DEC 73 : 358993312.000000	445364480.000000	502867616.000000	
HEX 74 : 9C50440	17BCB5E0	13ECBD20	
DEC 74 : 163906624.000000	398243296.000000	334282016.000000	
HEX 75 : 6BB0698	19D92160	1EEA6B40	
DEC 75 : 112920216.000000	433660256.000000	518679360.000000	
HEX 76 : 145DBA20	2DD6E5C	6D3ED30	
DEC 76 : 341686816.000000	48066140.000000	114552112.000000	
HEX 77 : 151A8F80	9B2B710	9E725A0	
DEC 77 : 354062208.000000	162707216.000000	166143392.000000	
HEX 78 : EF53400	8254400	169024C0	
DEC 78 : 250950656.000000	136659968.000000	378545344.000000	
HEX 79 : 147B9220	4F7C440	FBA5970	
DEC 79 : 343642656.000000	83346496.000000	263870832.000000	
HEX 80 : 1AEC6F40	17C250C0	7812878	
DEC 80 : 451702592.000000	398610624.000000	125905016.000000	
HEX 81 : 148E6400	C515290	13463100	
DEC 81 : 344876032.000000	206656144.000000	323367168.000000	
HEX 82 : CAD9B80	1D324D20	11E70F0	
DEC 82 : 212704128.000000	489835808.000000	18772208.000000	
HEX 83 : 1FA44160	12C1C740	A927A60	
DEC 83 : 530858336.000000	314689344.000000	177371744.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
