Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 57 : 5CF4698	F9BAD10	C018170	
DEC 57 : 97470104.000000	261860624.000000	201425264.000000	
HEX 58 : 391D2D	1289D140	11838DA0	
DEC 58 : 3743021.000000	311021888.000000	293834144.000000	
HEX 59 : 9774E20	1DA9E9E0	1E610960	
DEC 59 : 158813728.000000	497674720.000000	509675872.000000	
HEX 60 : 187EB780	AD5A600	1038FDA0	
DEC 60 : 410957696.000000	181773824.000000	272170400.000000	
HEX 61 : 1206A5A0	1381B	17DB6080	
DEC 61 : 302425504.000000	79899.000000	400253056.000000	
HEX 62 : CC835A0	1330D6C0	2900E98	
DEC 62 : 214447520.000000	321967808.000000	42995352.000000	
HEX 63 : 187E72E0	94BC5F0	8DA2260	
DEC 63 : 410940128.000000	155960816.000000	148513376.000000	
HEX 64 : 1196B5A0	1C78AD00	11D85100	
DEC 64 : 295089568.000000	477670656.000000	299389184.000000	
HEX 65 : 16BBE5A0	15F6FCA0	18A034C0	
DEC 65 : 381412768.000000	368508064.000000	413152448.000000	
HEX 66 : 187E74C0	184BAAA0	DED2AD0	
DEC 66 : 410940608.000000	407612064.000000	233646800.000000	
HEX 67 : 1B75788	13FD4340	18BFEE20	
DEC 67 : 28792712.000000	335364928.000000	415231520.000000	
HEX 68 : 11519C40	740A3C0	1AF53C4	
DEC 68 : 290561088.000000	121676736.000000	28267460.000000	
HEX 69 : 16871A60	3F6983C	DCA5BC0	
DEC 69 : 377952864.000000	66492476.000000	231365568.000000	
HEX 70 : 1037FD20	6A7A598	AAE43C0	
DEC 70 : 272104736.000000	111650200.000000	179192768.000000	
HEX 71 : 1112AC40	12C485E0	1C6C6CC0	
DEC 71 : 286436416.000000	314869216.000000	476867776.000000	
HEX 72 : 187E8960	9878020	1AC3DF80	
DEC 72 : 410945888.000000	159875104.000000	449044352.000000	
HEX 73 : C42C780	17BE2D00	1975BC40	
DEC 73 : 205703040.000000	398339328.000000	427146304.000000	
HEX 74 : 3AA0000	798F648	111622E0	
DEC 74 : 61472768.000000	127465032.000000	286663392.000000	
HEX 75 : 76025A8	17737BA0	5C42530	
DEC 75 : 123741608.000000	393444256.000000	96740656.000000	
HEX 76 : BB6A000	17AF7B	1D6E21E0	
DEC 76 : 196517888.000000	1552251.000000	493756896.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
