Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 8722260	17F47F00	1F3D8C40	
DEC 56 : 413332224.000000	205089616.000000	305972640.000000	
HEX 57 : F9BD5A0	9C95C40	1F53A780	
DEC 57 : 261871008.000000	164191296.000000	525576064.000000	
HEX 58 : 3C6DE5C	4833000	185E4F80	
DEC 58 : 63364700.000000	75706368.000000	408833920.000000	
HEX 59 : B9BBD30	7AF5698	15561100	
DEC 59 : 194755888.000000	128931480.000000	357961984.000000	
HEX 60 : 1C37BB00	12060000	173125A	
DEC 60 : 473414400.000000	302383104.000000	24318554.000000	
HEX 61 : 9AC9F50	EAAFE20	134A0F00	
DEC 61 : 162307920.000000	246087200.000000	323620608.000000	
HEX 62 : C362C40	FB072D0	1A4DE880	
DEC 62 : 204876864.000000	263221968.000000	441313408.000000	
HEX 63 : 27E23C4	10B21E20	124971E0	
DEC 63 : 41821124.000000	280108576.000000	306803168.000000	
HEX 64 : 1BA7D960	7EB1E20	6275788	
DEC 64 : 463984992.000000	132849184.000000	103241608.000000	
HEX 65 : 1B354700	190B6960	1A5BD5A0	
DEC 65 : 456476416.000000	420178272.000000	442226080.000000	
HEX 66 : 1FDC9160	17F63C40	9337DA0	
DEC 66 : 534548832.000000	402013248.000000	154369440.000000	
HEX 67 : 46FA800	94DBE20	129901E0	
DEC 67 : 74426368.000000	156089888.000000	312017376.000000	
HEX 68 : 12173300	B654880	1861A4C0	
DEC 68 : 303510272.000000	191187072.000000	409052352.000000	
HEX 69 : 8F7BDA0	3E4AD2C	EFCD4B0	
DEC 69 : 150453664.000000	65318188.000000	251450544.000000	
HEX 70 : 334DA5C	1D4D02E0	1B7234C0	
DEC 70 : 53795420.000000	491586272.000000	460469440.000000	
HEX 71 : 993A9A0	1C88B2E0	17818100	
DEC 71 : 160672160.000000	478720736.000000	394363136.000000	
HEX 72 : 10A1D560	6697C40	9847CB0	
DEC 72 : 279041376.000000	107576384.000000	159677616.000000	
HEX 73 : E5AC040	11EC43C0	E5EE690	
DEC 73 : 240828480.000000	300696512.000000	241100432.000000	
HEX 74 : 160B4160	5D172D0	1539ECC0	
DEC 74 : 369836384.000000	97612496.000000	356117696.000000	
HEX 75 : 366387	191A4000	DF64D30	
DEC 75 : 3564423.000000	421150720.000000	234245424.000000	
HEX 76 : 176A9B40	C9E0F10	A3B8AD0	
DEC 76 : 392862528.000000	211685136.000000	171674320.000000	
