Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 5BF6F10	1E5CD960	25D3C3C	
DEC 56 : 55681748.000000	374943008.000000	54746532.000000	
HEX 57 : 1D1D54C0	5F2DC40	4BBA530	
DEC 57 : 488461504.000000	99802176.000000	79406384.000000	
HEX 58 : 62EAD30	14B5ED20	F792350	
DEC 58 : 103722288.000000	347467040.000000	259597136.000000	
HEX 59 : 79D4788	4B0EF10	19E19880	
DEC 59 : 127747976.000000	78704400.000000	434215040.000000	
HEX 60 : ABA32D0	4CD5A58	95FF690	
DEC 60 : 179974864.000000	80566872.000000	157283984.000000	
HEX 61 : 14419E20	60EA0F0	80752D0	
DEC 61 : 339844640.000000	101622000.000000	134697680.000000	
HEX 62 : 5F79878	152336A0	1B478780	
DEC 62 : 100112504.000000	354629280.000000	457672576.000000	
HEX 63 : 14D30880	15D01880	1B0EF780	
DEC 63 : 349374592.000000	365959296.000000	453965696.000000	
HEX 64 : FC685A0	BD031E0	9E4F440	
DEC 64 : 264668576.000000	198193632.000000	165999680.000000	
HEX 65 : 1A1F64C0	1F031000	5517800	
DEC 65 : 438265024.000000	520294400.000000	89225216.000000	
HEX 66 : 36F73C4	45CE2D0	33F35A4	
DEC 66 : 57635780.000000	73196240.000000	54474148.000000	
HEX 67 : 1E5053C0	C6ED690	1FB3AE20	
DEC 67 : 508580800.000000	208590480.000000	531869216.000000	
HEX 68 : 2B83D2C	76F6C40	1EE6CD20	
DEC 68 : 45628716.000000	124742720.000000	518442272.000000	
HEX 69 : 8A5EC40	C5B7780	CD40170	
DEC 69 : 145091648.000000	207320960.000000	215220592.000000	
HEX 70 : A9545A0	1C0FC4C0	E5AA970	
DEC 70 : 177554848.000000	470795456.000000	240822640.000000	
HEX 71 : 1BEC3780	1794E5A0	1CD735A0	
DEC 71 : 468465536.000000	395634080.000000	483866016.000000	
HEX 72 : 14A94D20	F17B4B0	16CC2000	
DEC 72 : 346639648.000000	253211824.000000	382476288.000000	
HEX 73 : 148EF960	1B7D01E0	1FFFC780	
DEC 73 : 344914272.000000	461177312.000000	536856448.000000	
HEX 74 : 128FA780	1C6FF1E0	8858DA0	
DEC 74 : 311404416.000000	477098464.000000	142970272.000000	
HEX 75 : 1F6183C0	134915A0	AD90000	
DEC 75 : 526484416.000000	323556768.000000	181993472.000000	
HEX 76 : 12EE9000	4107E20	F3D8080	
DEC 76 : 317624320.000000	68189728.000000	255688832.000000	
HEX 77 : 84F5A6	1C228100	74D78F0	
DEC 77 : 8713638.000000	472023296.000000	122517744.000000	
HEX 78 : 14E58B40	6ED9E20	167D5DA0	
DEC 78 : 350587712.000000	116235808.000000	377314720.000000	
HEX 79 : 120E1100	159B5780	140F6960	
DEC 79 : 302911744.000000	362502016.000000	336554336.000000	
HEX 80 : EACFD30	1607F3C0	C76ADA0	
DEC 80 : 246218032.000000	369619904.000000	209104288.000000	
HEX 81 : 26DB0F0	95A34B0	170A4B40	
DEC 81 : 40743152.000000	156906672.000000	386550592.000000	
HEX 82 : 193EEE20	16DF2960	6EA6C40	
DEC 82 : 423554592.000000	383723872.000000	116026432.000000	
HEX 83 : 27EB1E0	1106D6A0	A05DE90	
DEC 83 : 41857504.000000	285660832.000000	168156816.000000	
HEX 84 : 1CE364C0	860C1E0	19731B40	
DEC 84 : 484664512.000000	140558816.000000	426974016.000000	
HEX 85 : C3FD3C0	ABC4B5	10EB5700	
DEC 85 : 205509568.000000	11257013.000000	283858688.000000	
HEX 86 : F2C000	1726788	140866A0	
DEC 86 : 15908864.000000	24274824.000000	336094880.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
