Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 148DDD60	1EC327C0	2D4CD2C	
HEX 57 : FB587C0	17BCCA40	5AD000	
DEC 57 : 263555008.000000	398248512.000000	5951488.000000	
HEX 58 : B1270B0	16AEE	1A5B1B40	
DEC 58 : 185757872.000000	92910.000000	442178368.000000	
HEX 59 : A1C3440	C798D10	9FBB3C0	
DEC 59 : 169620544.000000	209292560.000000	167490496.000000	
HEX 60 : E6B36D0	E940410	1A5B1A60	
DEC 60 : 241907408.000000	244581392.000000	442178144.000000	
HEX 61 : 19F65160	43A2D4	C3E7880	
DEC 61 : 435573088.000000	4432596.000000	205420672.000000	
HEX 62 : 1978078	16A6F	1168BE20	
DEC 62 : 26706040.000000	92783.000000	292077088.000000	
HEX 63 : 1DA65100	614B030	8F18D30	
DEC 63 : 497438976.000000	102019120.000000	150048048.000000	
HEX 64 : 299BA5C	16B6C	1A5AC100	
DEC 64 : 43629148.000000	93036.000000	442155264.000000	
HEX 65 : 1F6B6000	D5DDB30	840CB50	
DEC 65 : 527130624.000000	224254768.000000	138464080.000000	
HEX 66 : 1395F1A0	1E8506A0	D942E20	
DEC 66 : 328593824.000000	512034464.000000	227814944.000000	
HEX 67 : 1BBBB9A0	1D9595C0	4C57C40	
DEC 67 : 465287584.000000	496342464.000000	80051264.000000	
HEX 68 : 4BCE4F0	1C021B80	1A5B1A60	
DEC 68 : 79488240.000000	469900160.000000	442178144.000000	
HEX 69 : 158387C0	107F4AE0	C637E20	
DEC 69 : 360941504.000000	276777696.000000	207846944.000000	
HEX 70 : 196F52A0	DA58BC0	13E553C0	
DEC 70 : 426726048.000000	228953024.000000	333796288.000000	
HEX 71 : 1C305D00	1E4327C0	C41A690	
DEC 71 : 472931584.000000	507717568.000000	205629072.000000	
HEX 72 : 16B80FC0	1B094500	13791100	
DEC 72 : 381161408.000000	453592320.000000	326701312.000000	
HEX 73 : 18D684C0	4394358	1A5B1960	
DEC 73 : 416711872.000000	70861656.000000	442177888.000000	
HEX 74 : 6F152D0	DA16320	1A5B16A0	
DEC 74 : 116478672.000000	228680480.000000	442177184.000000	
HEX 75 : 9C1A97	1F23E900	601D2D0	
DEC 75 : 10230423.000000	522447104.000000	100782800.000000	
