Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 99
DEC 56 : 325922336.000000	510417088.000000	160228240.000000	
HEX 57 : 1581A5A	59D1F20	19764640	
DEC 57 : 22551130.000000	94183200.000000	427181632.000000	
HEX 58 : 18EEC100	13B44000	75B1910	
DEC 58 : 418300160.000000	330579968.000000	123410704.000000	
HEX 59 : 95E0E20	19803100	1B469DA0	
DEC 59 : 157158944.000000	427831552.000000	457612704.000000	
HEX 60 : 81E02D0	1446AAE	C0F0	
DEC 60 : 136184528.000000	21260974.000000	49392.000000	
HEX 61 : 1FD85F00	FBA8	7568328	
DEC 61 : 534273792.000000	64424.000000	123110184.000000	
HEX 62 : 1E8D2960	D08F090	12B66EA0	
DEC 62 : 512567648.000000	218689680.000000	313945760.000000	
HEX 63 : 5558A58	6E941	1CF159C0	
DEC 63 : 89492056.000000	452929.000000	485579200.000000	
HEX 64 : 41F2E20	1D2B5BE0	166AF30	
DEC 64 : 69152288.000000	489380832.000000	23506736.000000	
HEX 65 : 7CF9968	F7815C0	1032FD60	
DEC 65 : 131045736.000000	259528128.000000	271777120.000000	
HEX 66 : 1ED10E20	177BF6A0	4910700	
DEC 66 : 517017120.000000	394000032.000000	76613376.000000	
HEX 67 : 3097000	1C0E05E0	179BFEC0	
DEC 67 : 50950144.000000	470681056.000000	396099264.000000	
HEX 68 : 9AB50F0	180174E0	B7CF	
DEC 68 : 162222320.000000	402748640.000000	47055.000000	
HEX 69 : 4163C40	3331F	153E1EE0	
DEC 69 : 68566080.000000	209695.000000	356392672.000000	
HEX 70 : E0F2780	11B84580	4A5B0C0	
DEC 70 : 235874176.000000	297289088.000000	77967552.000000	
HEX 71 : E4C00F0	1964D900	E0D5920	
DEC 71 : 239862000.000000	426039552.000000	235755808.000000	
HEX 72 : 1800E1E0	118C4280	E828160	
DEC 72 : 402711008.000000	294404736.000000	243433824.000000	
HEX 73 : 1006ED20	53BA678	152061A0	
DEC 73 : 268889376.000000	87795320.000000	354443680.000000	
HEX 74 : 16DD72E0	1FF2B2A0	599538	
DEC 74 : 383611616.000000	535999136.000000	5870904.000000	
HEX 75 : 1FF8D2E	139E1300	CEE4480	
DEC 75 : 33525038.000000	329126656.000000	216941696.000000	
HEX 76 : 1EBF1E2	CA047E0	1C2466C0	
DEC 76 : 32240098.000000	211830752.000000	472147648.000000	
HEX 77 : 3BB9C3C	61AD218	F7C8330	
DEC 77 : 62626876.000000	102421016.000000	259818288.000000	
HEX 78 : 15DE06A0	18BC9820	DD6EE20	
DEC 78 : 366872224.000000	415012896.000000	232189472.000000	
HEX 79 : 1E4E9C40	1E05BE00	1D8B9	
DEC 79 : 508468288.000000	503692800.000000	121017.000000	
HEX 80 : 1148D4C0	C370100	17A61AA0	
DEC 80 : 289985728.000000	204931328.000000	396761760.000000	
HEX 81 : 1E7E04C0	D470E80	73D42C0	
DEC 81 : 511575232.000000	222760576.000000	121455296.000000	
HEX 82 : 15419100	480CF20	FC22680	
DEC 82 : 356618496.000000	75550496.000000	264382080.000000	
HEX 83 : D181000	167F8	582A620	
DEC 83 : 219680768.000000	92152.000000	92448288.000000	
HEX 84 : 5BCEF10	1EFB3260	1EF2A000	
DEC 84 : 96268048.000000	519778912.000000	519217152.000000	
HEX 85 : 19EECD20	A7F1640	CB54390	
DEC 85 : 435080480.000000	176100928.000000	213205904.000000	
HEX 86 : 176D6960	1B221820	1CE939E0	
DEC 86 : 393046368.000000	455219232.000000	485046752.000000	
HEX 87 : 18F52C40	18B94D40	C16E	
DEC 87 : 418720832.000000	414797120.000000	49518.000000	
HEX 88 : 9E185A0	CA584D0	19C0FA40	
DEC 88 : 165774752.000000	212174032.000000	432077376.000000	
HEX 89 : 10ED65A0	D73DAE0	1F319520	
DEC 89 : 283993504.000000	225696480.000000	523343136.000000	
