Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 56 : 1BAB11A0	1CEDBBC0	1CEE9A60	
DEC 56 : 464196000.000000	485342144.000000	485399136.000000	
HEX 57 : 1AEAEF00	129FF2E0	BA26880	
DEC 57 : 451604224.000000	312472288.000000	195192960.000000	
HEX 58 : 1D0263C0	34F85A4	78A51E0	
DEC 58 : 486695872.000000	55543204.000000	126505440.000000	
HEX 59 : E8AAD70	1ED55440	1FFA3880	
DEC 59 : 243969392.000000	517297216.000000	536492160.000000	
HEX 60 : 33BB568	1B69C520	16D84B4	
DEC 60 : 54244712.000000	459916576.000000	23954612.000000	
HEX 61 : 14590F0	BF40350	36AEC3C	
DEC 61 : 21336304.000000	200541008.000000	57338940.000000	
HEX 62 : 5C8CC40	3333788	C19D4B0	
DEC 62 : 97045568.000000	53688200.000000	203019440.000000	
HEX 63 : 13F5B960	C8962D0	EC01C40	
DEC 63 : 334870880.000000	210330320.000000	247471168.000000	
HEX 64 : 16E041E0	3D23788	19759100	
DEC 64 : 383795680.000000	64108424.000000	427135232.000000	
HEX 65 : 1E9EB5A0	1FF615A0	10AE0780	
DEC 65 : 513717664.000000	536221088.000000	279840640.000000	
HEX 66 : 18F628C0	1ED35F80	16267880	
DEC 66 : 418785472.000000	517169024.000000	371619968.000000	
HEX 67 : 3688298	DE8B260	18D47B40	
DEC 67 : 57180824.000000	233353824.000000	416578368.000000	
HEX 68 : 115C81E0	5F37530	11503880	
DEC 68 : 291275232.000000	99841328.000000	290470016.000000	
HEX 69 : 61543C	876EA60	ABB1F10	
DEC 69 : 6378556.000000	142010976.000000	180035344.000000	
HEX 70 : ACF4350	197F8B40	D81E3C0	
DEC 70 : 181355344.000000	427789120.000000	226616256.000000	
HEX 71 : BED08B0	7F53440	C265780	
DEC 71 : 200083632.000000	133510208.000000	203839360.000000	
HEX 72 : 8D908F0	8DCFF80	178CDF00	
DEC 72 : 148441328.000000	148701056.000000	395108096.000000	
HEX 73 : D849FC0	F509530	BF88780	
DEC 73 : 226795456.000000	256939312.000000	200836992.000000	
HEX 74 : 143FF3C0	9436E20	1DF37A60	
DEC 74 : 339735488.000000	155414048.000000	502495840.000000	
HEX 75 : 54EB400	19535F80	12F3E960	
DEC 75 : 89043968.000000	424894336.000000	317974880.000000	
HEX 76 : 104739A0	158ED900	1B1965A0	
DEC 76 : 273103264.000000	361683200.000000	454649248.000000	
HEX 77 : 1749CD20	1ACB5260	360878	
DEC 77 : 390712608.000000	449532512.000000	3541112.000000	
HEX 78 : 19574880	100AD780	12AE3960	
DEC 78 : 425150592.000000	269145984.000000	313407840.000000	
HEX 79 : 1B3A696	1406C080	1CDFB6A0	
DEC 79 : 28550806.000000	335986816.000000	484423328.000000	
HEX 80 : 23DC74C	8438170	13FC8000	
DEC 80 : 37603148.000000	138641776.000000	335314944.000000	
HEX 81 : 6F29348	6481968	50C31E0	
DEC 81 : 116560712.000000	105388392.000000	84685280.000000	
HEX 82 : 1617D080	23E4F88	4C015A8	
DEC 82 : 370659456.000000	37638024.000000	79697320.000000	
HEX 83 : 7812A58	144556A0	18151F00	
DEC 83 : 125905496.000000	340088480.000000	404037376.000000	
HEX 84 : D87A4F0	99E2D3	C3491E0	
DEC 84 : 226993392.000000	10085075.000000	204771808.000000	
HEX 85 : 59E7710	1EEF7D20	DF083C0	
DEC 85 : 94271248.000000	519011616.000000	233866176.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
