Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
DEC 56 : 306781952.000000	242655472.000000	236011280.000000	
HEX 57 : 1CB193C0	1879F100	17395380	
DEC 57 : 481399744.000000	410644736.000000	389632896.000000	
HEX 58 : 1AB74000	773EB48	460C748	
DEC 58 : 448217088.000000	125037384.000000	73451336.000000	
HEX 59 : 9F50780	15FF5100	6C73698	
DEC 59 : 167053184.000000	369053952.000000	113718936.000000	
HEX 60 : 481A000	153654C0	19759E20	
DEC 60 : 75603968.000000	355882176.000000	427138592.000000	
HEX 61 : 70F8C40	2B83968	2CCEC3C	
DEC 61 : 118459456.000000	45627752.000000	46984252.000000	
HEX 62 : 33DC968	38B7878	164D9620	
DEC 62 : 54380904.000000	59471992.000000	374183456.000000	
HEX 63 : AF56F10	1879E880	175C4B80	
DEC 63 : 183856912.000000	410642560.000000	391924608.000000	
HEX 64 : 370DC3C	79C33C0	FF7F930	
DEC 64 : 57728060.000000	127677376.000000	267909424.000000	
HEX 65 : 94E6970	123191E0	138DCAA0	
DEC 65 : 156133744.000000	305238496.000000	328059552.000000	
HEX 66 : A9A5B50	166A5F00	1EE7C9E0	
DEC 66 : 177888080.000000	376069888.000000	518506976.000000	
HEX 67 : 18EDA780	1879E4C0	5590D68	
DEC 67 : 418228096.000000	410641600.000000	89722216.000000	
HEX 68 : 14A405A0	B88A1E0	62F4FC0	
DEC 68 : 346293664.000000	193503712.000000	103763904.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
