Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
DEC 56 : 99657128.000000	247931088.000000	368438688.000000	
HEX 57 : 5B7A8F0	1A0BD840	B13D440	
DEC 57 : 95922416.000000	436983872.000000	185848896.000000	
HEX 58 : 87FF88	1115D740	1EE60BC0	
DEC 58 : 8912776.000000	286644032.000000	518392768.000000	
HEX 59 : 1B56C4C0	16A6F	D23C1E0	
DEC 59 : 458671296.000000	92783.000000	220447200.000000	
HEX 60 : 10209260	18C349E0	1592A960	
DEC 60 : 270570080.000000	415451616.000000	361933152.000000	
HEX 61 : 1A984880	18A14C40	CD961E0	
DEC 61 : 446187648.000000	413224000.000000	215572960.000000	
HEX 62 : E648F10	D8D2340	1F492F80	
DEC 62 : 241471248.000000	227353408.000000	524889984.000000	
HEX 63 : 17E86260	BD8BAC0	92470F	
DEC 63 : 401105504.000000	198752960.000000	9586447.000000	
HEX 64 : 1574BC4	14E06960	1871A780	
DEC 64 : 22498244.000000	350251360.000000	410101632.000000	
HEX 65 : 1AF561E0	40CCAC0	137AADA0	
DEC 65 : 452288992.000000	67947200.000000	326806944.000000	
HEX 66 : 15BBF620	197264E0	6BB9800	
DEC 66 : 364639776.000000	426927328.000000	112957440.000000	
HEX 67 : FA764B0	1D646960	A57FF10	
DEC 67 : 262628528.000000	493119840.000000	173539088.000000	
HEX 68 : 1EB96620	EEA2700	235234C	
DEC 68 : 515466784.000000	250226432.000000	37036876.000000	
HEX 69 : 75E63C0	4200628	14715620	
DEC 69 : 123626432.000000	69207592.000000	342971936.000000	
HEX 70 : 19FEB6A0	9CBD1E0	EB5DF80	
DEC 70 : 436123296.000000	164352480.000000	246800256.000000	
HEX 71 : 14E0C880	117885C0	747FD30	
DEC 71 : 350275712.000000	293111232.000000	122158384.000000	
HEX 72 : 5D8AF10	89E3C20	1A4A2B40	
DEC 72 : 98086672.000000	144587808.000000	441068352.000000	
HEX 73 : B4F1E2	1A71D8C0	3173B4C	
DEC 73 : 11858402.000000	443668672.000000	51854156.000000	
HEX 74 : 1A10CA60	111308E0	CC871E0	
DEC 74 : 437308000.000000	286460128.000000	214462944.000000	
HEX 75 : 1BFD9780	15015D00	5B07C40	
DEC 75 : 469604224.000000	352410880.000000	95452224.000000	
HEX 76 : 7CE12D0	1070F2A0	1D1032E0	
DEC 76 : 130945744.000000	275837600.000000	487600864.000000	
HEX 77 : 122084C0	1F224160	12180780	
DEC 77 : 304121024.000000	522338656.000000	303564672.000000	
HEX 78 : 5BC5C40	1FF1FFC0	2055000	
DEC 78 : 96230464.000000	535953344.000000	33902592.000000	
HEX 79 : BD4A880	1959E1A0	F6AEA60	
DEC 79 : 198486144.000000	425320864.000000	258665056.000000	
HEX 80 : AC282D0	1B27A0A0	513D620	
DEC 80 : 180519632.000000	455581856.000000	85186080.000000	
HEX 81 : E3C8D30	8CDF5E	CF4FF80	
DEC 81 : 238849328.000000	9232222.000000	217382784.000000	
HEX 82 : 1E1D3880	A9C26F0	15672000	
DEC 82 : 505231488.000000	178005744.000000	359079936.000000	
HEX 83 : 58751E0	15C3C3C0	11721C40	
DEC 83 : 92754400.000000	365151168.000000	292691008.000000	
HEX 84 : 16C909E0	2E29BE8	2937A5C	
DEC 84 : 382274016.000000	48405480.000000	43219548.000000	
HEX 85 : 120B8080	121D77E0	1A89A6A0	
DEC 85 : 302743680.000000	303921120.000000	445228704.000000	
HEX 86 : 18323000	1AF8C160	14B6BDA0	
DEC 86 : 405942272.000000	452510048.000000	347520416.000000	
HEX 87 : 8A33B50	4AB9F	4556440	
DEC 87 : 144915280.000000	306079.000000	72705088.000000	
HEX 88 : 142C0CC0	1C191440	1AFA2F80	
DEC 88 : 338431168.000000	471405632.000000	452603776.000000	
HEX 89 : 203B5A4	13296C40	B50BCB0	
DEC 89 : 33797540.000000	321481792.000000	189840560.000000	
HEX 90 : 124B6700	15DB3620	DC67F80	
DEC 90 : 306931456.000000	366687776.000000	231112576.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
