Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 57 : 171CC000	161AE880	1C4ED3C0	
DEC 57 : 387760128.000000	370862208.000000	474928064.000000	
HEX 58 : 61253C0	767EB00	32205A4	
DEC 58 : 101864384.000000	124250880.000000	52561316.000000	
HEX 59 : 67AEB48	12A395E0	11A20100	
DEC 59 : 108718920.000000	312710624.000000	295829760.000000	
HEX 60 : 85D15A0	12D94620	19531100	
DEC 60 : 140318112.000000	316229152.000000	424874240.000000	
HEX 61 : 11553780	1624B	553DB48	
DEC 61 : 290797440.000000	90699.000000	89381704.000000	
HEX 62 : 1305A3C0	380A3F0	16149880	
DEC 62 : 319136704.000000	58762224.000000	370448512.000000	
HEX 63 : 187E7100	15499E80	9C4F0F	
DEC 63 : 410939648.000000	357146240.000000	10243855.000000	
HEX 64 : 12F4A5A0	9A10860	1C44CE20	
DEC 64 : 318023072.000000	161548384.000000	474271264.000000	
HEX 65 : 187E71E0	685EA40	3E22F10	
DEC 65 : 410939872.000000	109439552.000000	65154832.000000	
HEX 66 : 7590788	16A30	3AD9788	
DEC 66 : 123275144.000000	92720.000000	61708168.000000	
HEX 67 : 62F0788	80EEAC0	1AA46880	
DEC 67 : 103745416.000000	135195328.000000	446982272.000000	
HEX 68 : 7E5AA58	1A7922C0	140B3000	
DEC 68 : 132491864.000000	444146368.000000	336277504.000000	
HEX 69 : AFD21E0	D111670	3D2CA5C	
DEC 69 : 184361440.000000	219223664.000000	64146012.000000	
HEX 70 : 55EA4B8	17ABE100	6E27C40	
DEC 70 : 90088632.000000	397140224.000000	115506240.000000	
HEX 71 : E3C70F0	12E41F80	751D4B8	
DEC 71 : 238842096.000000	316940160.000000	122803384.000000	
HEX 72 : 187E7880	C5F3690	8A00A60	
DEC 72 : 410941568.000000	207566480.000000	144706144.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
