Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 10FE5BC0	B603D30	1C4AC880	
DEC 56 : 478221856.000000	467406784.000000	259949264.000000	
HEX 57 : 1E2CC440	6E1C930	192D9A60	
DEC 57 : 506250304.000000	115460400.000000	422419040.000000	
HEX 58 : 512A1E0	13109C40	1CB59000	
DEC 58 : 85107168.000000	319855680.000000	481660928.000000	
HEX 59 : 14D64F80	E7886D0	120491E0	
DEC 59 : 349589376.000000	242779856.000000	302289376.000000	
HEX 60 : 1F0B8960	7E1DA98	4A710F0	
DEC 60 : 520849760.000000	132242072.000000	78057712.000000	
HEX 61 : 164DEF80	737DC00	18CF2000	
DEC 61 : 374206336.000000	121101312.000000	416227328.000000	
HEX 62 : BFBFBC0	1BB2F4C0	741B1E0	
DEC 62 : 201063360.000000	464712896.000000	121745888.000000	
HEX 63 : 5B5BE98	E4F0A20	E17788	
DEC 63 : 95796888.000000	240060960.000000	14776200.000000	
HEX 64 : 191BED20	1AEC1900	1426788	
DEC 64 : 421260576.000000	451680512.000000	21129096.000000	
HEX 65 : 324BA5C	15C2000	2A8DE20	
DEC 65 : 52738652.000000	22814720.000000	44621344.000000	
HEX 66 : 13E9D000	11B28A60	196D7A60	
DEC 66 : 334090240.000000	296913504.000000	426605152.000000	
HEX 67 : A2C9A60	142BFB80	5116878	
DEC 67 : 170695264.000000	338426752.000000	85026936.000000	
HEX 68 : 10703D20	14701620	13560880	
DEC 68 : 275791136.000000	342890016.000000	324405376.000000	
HEX 69 : 1BE24F80	7C34F1	28C9698	
DEC 69 : 467816320.000000	8140017.000000	42768024.000000	
HEX 70 : 6C6F3C0	11C75300	CD2D690	
DEC 70 : 113701824.000000	298275584.000000	215144080.000000	
HEX 71 : 82C88F0	5D231E0	7E901E0	
DEC 71 : 137136368.000000	97661408.000000	132710880.000000	
HEX 72 : E1D7B50	5F621E0	EFF9000	
DEC 72 : 236813136.000000	100016608.000000	251629568.000000	
HEX 73 : 15E14B4	96869A0	1A5146A0	
DEC 73 : 22942900.000000	157837728.000000	441534112.000000	
HEX 74 : FC812D0	D9CC750	C7EA5A0	
DEC 74 : 264770256.000000	228378448.000000	209626528.000000	
HEX 75 : 16914EA0	17294560	FEA1000	
DEC 75 : 378621600.000000	388580704.000000	266997760.000000	
HEX 76 : 140FCB40	20359A4	B2A9690	
DEC 76 : 336579392.000000	33773988.000000	187340432.000000	
HEX 77 : 98A25A0	C4C2DA0	1BC306A0	
DEC 77 : 160048544.000000	206319008.000000	465766048.000000	
HEX 78 : 1126AAE0	1AE05F80	18E66F00	
DEC 78 : 287746784.000000	450912128.000000	417754880.000000	
HEX 79 : 186D8800	A83D660	1F6133C0	
DEC 79 : 409831424.000000	176412256.000000	526463936.000000	
HEX 80 : C7A2BC0	13BBCAA0	1A60AD20	
DEC 80 : 209333184.000000	331074208.000000	442543392.000000	
HEX 81 : EC1CAD0	1CFCF1	1873CA60	
DEC 81 : 247581392.000000	1899761.000000	410241632.000000	
HEX 82 : 21815A4	F8A0310	75E95A8	
DEC 82 : 35132836.000000	260702992.000000	123639208.000000	
HEX 83 : 7392E98	1E2EB5A0	1553F4C0	
DEC 83 : 121187992.000000	506377632.000000	357823680.000000	
HEX 84 : 1843DC40	1AF01B40	9402780	
DEC 84 : 407100480.000000	451943232.000000	155199360.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
