Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 57 : E07FDA0	5623F08	1694A9E0	
DEC 57 : 235404704.000000	90324744.000000	378841568.000000	
HEX 58 : 40D9620	195A5320	146188C0	
DEC 58 : 67999264.000000	425349920.000000	341936320.000000	
HEX 59 : 104F8160	1A6DD980	10368C60	
DEC 59 : 273645920.000000	443406720.000000	272010336.000000	
HEX 60 : 666C620	12A3FAA0	1BD07500	
DEC 60 : 107398688.000000	312736416.000000	466646272.000000	
HEX 61 : 24E3000	19DBC1C0	C45F8A0	
DEC 61 : 38678528.000000	433832384.000000	205912224.000000	
HEX 62 : 16C49E2	1FD22840	11903BE0	
DEC 62 : 23874018.000000	533866560.000000	294665184.000000	
HEX 63 : 3CF98F0	11D99660	13CC3B20	
DEC 63 : 63936752.000000	299472480.000000	332151584.000000	
HEX 64 : A877710	17888520	17D99CC0	
DEC 64 : 176650000.000000	394822944.000000	400137408.000000	
HEX 65 : 1EB7E000	13EF9580	C032	
DEC 65 : 515366912.000000	334468480.000000	49202.000000	
HEX 66 : A982350	AA64290	BFF3	
DEC 66 : 177742672.000000	178668176.000000	49139.000000	
HEX 67 : 5A63AD0	3A793	F54B460	
DEC 67 : 94780112.000000	239507.000000	257209440.000000	
HEX 68 : CE0A4B0	16C69	11706F00	
DEC 68 : 216048816.000000	93289.000000	292581120.000000	
HEX 69 : 9D28A60	1B09A100	3D5AE5C	
DEC 69 : 164792928.000000	453615872.000000	64335452.000000	
HEX 70 : 157E3100	F324170	1A433580	
DEC 70 : 360591616.000000	254951792.000000	440612224.000000	
HEX 71 : C38A970	B0272B0	1B3F0840	
DEC 71 : 205039984.000000	184709808.000000	457115712.000000	
HEX 72 : 5A96E98	15903840	6E72640	
DEC 72 : 94989976.000000	361773120.000000	115811904.000000	
HEX 73 : 1C7A0960	852B590	E78A760	
DEC 73 : 477759840.000000	139638160.000000	242788192.000000	
HEX 74 : 1319AB40	13ABF100	13E2B160	
DEC 74 : 320449344.000000	330035456.000000	333623648.000000	
HEX 75 : 100D6880	1CD36040	C032	
DEC 75 : 269314176.000000	483614784.000000	49202.000000	
HEX 76 : 4942800	3875924	15E73400	
DEC 76 : 76818432.000000	59201828.000000	367473664.000000	
HEX 77 : 10A82960	B4BF800	12BAA9A0	
DEC 77 : 279456096.000000	189528064.000000	314223008.000000	
HEX 78 : 1493B340	7C4B448	196FE660	
DEC 78 : 345224000.000000	130331720.000000	426763872.000000	
HEX 79 : 8906350	14ADF160	C032	
DEC 79 : 143680336.000000	346943840.000000	49202.000000	
HEX 80 : 234952C	B5E4550	EBC5800	
DEC 80 : 37000492.000000	190727504.000000	247224320.000000	
HEX 81 : BB1D620	106E8300	151DE7A0	
DEC 81 : 196204064.000000	275677952.000000	354281376.000000	
HEX 82 : 1778F9E0	16D0E900	19285C60	
DEC 82 : 393804256.000000	382789888.000000	422075488.000000	
HEX 83 : F9F2800	6D7C8B8	49FB888	
DEC 83 : 262088704.000000	114804920.000000	77576328.000000	
HEX 84 : 19A3A3C0	122F330	1B8CE380	
DEC 84 : 430154688.000000	19067696.000000	462218112.000000	
HEX 85 : B680B50	FD13980	56B7670	
DEC 85 : 191368016.000000	265369984.000000	90928752.000000	
HEX 86 : 7FFE078	946BA50	6EFBA50	
DEC 86 : 134209656.000000	155630160.000000	116374096.000000	
HEX 87 : 1005F9E0	153AB6C0	181E922	
DEC 87 : 268827104.000000	356169408.000000	25291042.000000	
HEX 88 : 1BE1DF80	7714730	1726FBC0	
DEC 88 : 467787648.000000	124864304.000000	388430784.000000	
HEX 89 : 901FC40	E205C80	D0F06F0	
DEC 89 : 151125056.000000	237001856.000000	219088624.000000	
HEX 90 : 1FCC9700	16B2D	5882040	
DEC 90 : 533501696.000000	92973.000000	92807232.000000	
HEX 91 : EB78440	16508B00	95F3610	
DEC 91 : 246907968.000000	374377216.000000	157234704.000000	
HEX 92 : 178F11E0	1D698E20	C0B0	
DEC 92 : 395252192.000000	493456928.000000	49328.000000	
HEX 93 : CDB11E0	167B9	62333D0	
DEC 93 : 215683552.000000	92089.000000	102970320.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
