Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
DEC 56 : 136834288.000000	504127232.000000	321026656.000000	
HEX 57 : 188B06E0	C920880	16067E20	
DEC 57 : 411764448.000000	210897024.000000	369524256.000000	
HEX 58 : 81010F0	108BED20	875D2D	
DEC 58 : 135270640.000000	277605664.000000	8871213.000000	
HEX 59 : 1B278AA0	125CFD20	40C1968	
DEC 59 : 455576224.000000	308084000.000000	67901800.000000	
HEX 60 : 7D98620	1D8711E0	444BA58	
DEC 60 : 131696160.000000	495391200.000000	71613016.000000	
HEX 61 : 82C8480	11370100	1B39E1E0	
DEC 61 : 137135232.000000	288817408.000000	456778208.000000	
HEX 62 : 1CE43800	17282C40	13257960	
DEC 62 : 484718592.000000	388508736.000000	321223008.000000	
HEX 63 : 56D3E58	6B98968	196E8E20	
DEC 63 : 91045464.000000	112822632.000000	426675744.000000	
HEX 64 : 18D4D8C0	122B0780	1BE3A2E0	
DEC 64 : 416602304.000000	304809856.000000	467903200.000000	
HEX 65 : BB38350	C0D55A0	559D1E0	
DEC 65 : 196313936.000000	202200480.000000	89772512.000000	
HEX 66 : 1D055BC0	FA071E0	FC5A3C0	
DEC 66 : 486890432.000000	262173152.000000	264610752.000000	
HEX 67 : DD30080	4102000	1647C4C0	
DEC 67 : 231932032.000000	68165632.000000	373802176.000000	
HEX 68 : 96F788	1D403000	63EC0F0	
DEC 68 : 9893768.000000	490745856.000000	104775920.000000	
HEX 69 : 492CC00	6C18D30	A478B50	
DEC 69 : 76729344.000000	113347888.000000	172460880.000000	
HEX 70 : 19297160	4CEB000	3D2EF10	
DEC 70 : 422146400.000000	80654336.000000	64155408.000000	
HEX 71 : 1BF457C0	1AB273C0	3329B4C	
DEC 71 : 468998080.000000	447902656.000000	53648204.000000	
HEX 72 : 5D263C0	1B10BF00	B32EB50	
DEC 72 : 97674176.000000	454082304.000000	187886416.000000	
HEX 73 : 1519E840	B851970	1ED715A0	
DEC 73 : 354019392.000000	193272176.000000	517412256.000000	
HEX 74 : AEF3CF0	1E12D2E	7A135A8	
DEC 74 : 183450864.000000	31534382.000000	128005544.000000	
HEX 75 : 15D48C40	C051970	E97E780	
