Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
DEC 56 : 217930576.000000	7771256.000000	453882144.000000	
HEX 57 : 14B4C880	8D7EDA0	BBC1	
DEC 57 : 347392128.000000	148368800.000000	48065.000000	
HEX 58 : 1EFB64C0	5856F88	BF75	
DEC 58 : 519791808.000000	92630920.000000	49013.000000	
HEX 59 : F7EFB50	1529D920	3D34C34	
DEC 59 : 259980112.000000	355064096.000000	64179252.000000	
HEX 60 : 1E843C4	1AACEFC0	13BF18A0	
DEC 60 : 31998916.000000	447541184.000000	331290784.000000	
HEX 61 : 15A50C40	1E699080	C071	
DEC 61 : 363138112.000000	510234752.000000	49265.000000	
HEX 62 : 19DC66A0	18E3D6E0	DDF1DC0	
DEC 62 : 433874592.000000	417584864.000000	232725952.000000	
HEX 63 : 17D6AD20	856BF50	19F047A0	
DEC 63 : 399944992.000000	139902800.000000	435177376.000000	
HEX 64 : 65325A8	32CAE5C	17CA7A80	
DEC 64 : 106112424.000000	53259868.000000	399145600.000000	
HEX 65 : 8B70970	7971000	8F0CE70	
DEC 65 : 146213232.000000	127340544.000000	149999216.000000	
HEX 66 : 122403C0	1BD24120	62496E0	
DEC 66 : 304350144.000000	466764064.000000	103061216.000000	
HEX 67 : 118D3960	196BDB80	D415720	
DEC 67 : 294467936.000000	426498944.000000	222385952.000000	
HEX 68 : 91ADF10	CBE5E20	1CF6B580	
DEC 68 : 152755984.000000	213802528.000000	485930368.000000	
HEX 69 : 45882D0	187496A	803B960	
DEC 69 : 72909520.000000	25643370.000000	134461792.000000	
HEX 70 : 1EE641E0	10D5E2A0	E3FE020	
DEC 70 : 518406624.000000	282452640.000000	239067168.000000	
HEX 71 : 6924E20	681AC00	1013A300	
DEC 71 : 110251552.000000	109161472.000000	269722368.000000	
HEX 72 : D29E690	1CDB400	717A070	
DEC 72 : 220849808.000000	30258176.000000	118988912.000000	
HEX 73 : B6783C0	C48E9A0	F4ED7C0	
DEC 73 : 191333312.000000	206104992.000000	256825280.000000	
HEX 74 : 11AF3960	F016F10	1E37C160	
DEC 74 : 296696160.000000	251752208.000000	506970464.000000	
HEX 75 : B7E5C40	DF75440	18C1A3C	
DEC 75 : 192830528.000000	234312768.000000	25958972.000000	
HEX 76 : 1AF5CC40	2AD0B88	1EC17080	
DEC 76 : 452316224.000000	44895112.000000	515993728.000000	
HEX 77 : 18EAD2E0	42E7168	13C123E0	
DEC 77 : 418042592.000000	70152552.000000	331424736.000000	
HEX 78 : 182195A0	14AD5EE0	1D1C76C0	
DEC 78 : 404854176.000000	346906336.000000	488404672.000000	
HEX 79 : 14AED4C0	FC66E20	2F50F70	
DEC 79 : 347002048.000000	264662560.000000	49614704.000000	
HEX 80 : E549780	E8CC220	16B49D80	
DEC 80 : 240424832.000000	244105760.000000	380935552.000000	
HEX 81 : 1D3E6960	198780C0	BD7B	
DEC 81 : 490629472.000000	428310720.000000	48507.000000	
HEX 82 : 11C90A60	DD15620	A696240	
