Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
DEC 56 : 431203744.000000	395576992.000000	194882016.000000	
HEX 57 : D85C5A0	41343C	50A3440	
DEC 57 : 226870688.000000	4273212.000000	84554816.000000	
HEX 58 : 1C894000	AFCEE90	15D84260	
DEC 58 : 478756864.000000	184348304.000000	366494304.000000	
HEX 59 : C22A2D0	A507970	11CEB700	
DEC 59 : 203596496.000000	173046128.000000	298759936.000000	
HEX 60 : 11699160	57B6698	1426B6A0	
DEC 60 : 292131168.000000	91973272.000000	338081440.000000	
HEX 61 : 181714C0	137D9800	4ED8F10	
DEC 61 : 404165824.000000	326998016.000000	82677520.000000	
HEX 62 : 1938E620	1AC359E0	126D9880	
DEC 62 : 423159328.000000	449010144.000000	309172352.000000	
HEX 63 : 767F0F0	1B1386A0	A6073C0	
DEC 63 : 124252400.000000	454264480.000000	174093248.000000	
HEX 64 : 1C53FE20	10AE0620	D1A2A60	
DEC 64 : 475266592.000000	279840288.000000	219818592.000000	
HEX 65 : 5415710	A640CB0	14DD8A60	
DEC 65 : 88168208.000000	174329008.000000	350063200.000000	
HEX 66 : B972440	AFF23C0	8A09000	
DEC 66 : 194454592.000000	184492992.000000	144740352.000000	
HEX 67 : 701C9E0	53B49E0	FAB2F80	
DEC 67 : 117557728.000000	87771616.000000	262877056.000000	
HEX 68 : D0D94B0	17E90F00	E444440	
DEC 68 : 218993840.000000	401149696.000000	239354944.000000	
HEX 69 : 199E0A60	1CBA09E0	1F35BE20	
DEC 69 : 429787744.000000	481954272.000000	523615776.000000	
HEX 70 : 1089D700	14E7BAE0	C63B4B	
DEC 70 : 277468928.000000	350730976.000000	12991307.000000	
HEX 71 : 11030F0	18248CC0	16D2CBC0	
DEC 71 : 17838320.000000	405048512.000000	382913472.000000	
HEX 72 : 8573970	17A18260	18AF8780	
DEC 72 : 139934064.000000	396460640.000000	414156672.000000	
HEX 73 : D62CC40	1FBE69E0	1DE8AA60	
DEC 73 : 224578624.000000	532572640.000000	501787232.000000	
HEX 74 : 1C1829E0	2EF3168	98A98F0	
DEC 74 : 471345632.000000	49230184.000000	160078064.000000	
HEX 75 : 1E595BC0	F6EFF10	5F4FBC0	
DEC 75 : 509172672.000000	258932496.000000	99941312.000000	
HEX 76 : 150FBDA0	10500780	B2A3000	
DEC 76 : 353353120.000000	273680256.000000	187314176.000000	
HEX 77 : 197CBAE0	1725D2E	1D853880	
DEC 77 : 427604704.000000	24272174.000000	495270016.000000	
HEX 78 : 1699EC40	1B980E20	590BF88	
DEC 78 : 379186240.000000	462949920.000000	93372296.000000	
HEX 79 : 1B7A0520	CE0D2D	25889E0	
DEC 79 : 460981536.000000	13503789.000000	39356896.000000	
HEX 80 : 48FAF88	1EADE900	18236700	
DEC 80 : 76525448.000000	514713856.000000	404973312.000000	
HEX 81 : 1EAED9E0	8C2B800	27C40F0	
DEC 81 : 514775520.000000	146978816.000000	41697520.000000	
HEX 82 : 1FF04100	176E3800	1321A620	
DEC 82 : 535838976.000000	393099264.000000	320972320.000000	
HEX 83 : 5232968	10DCC2E0	4014968	
DEC 83 : 86190440.000000	282903264.000000	67193192.000000	
HEX 84 : 19AA35A0	138E5D20	14A7CD20	
DEC 84 : 430585248.000000	328097056.000000	346541344.000000	
HEX 85 : 6B05440	2407F88	8C2D4B0	
DEC 85 : 112219200.000000	37781384.000000	146986160.000000	
HEX 86 : 1706DCC0	6E8F620	18F5F1E0	
DEC 86 : 386325696.000000	115930656.000000	418771424.000000	
HEX 87 : BDAC1E0	1E2E0BC0	1242A000	
DEC 87 : 198885856.000000	506334144.000000	306356224.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
