Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
DEC 56 : 475282336.000000	397666592.000000	23490922.000000	
HEX 57 : 123D6900	E278930	7289A58	
DEC 57 : 306014464.000000	237472048.000000	120101464.000000	
HEX 58 : 8519670	15E6F400	A2AD4B0	
DEC 58 : 139564656.000000	367457280.000000	170579120.000000	
HEX 59 : 10910260	1B15C440	16F60800	
DEC 59 : 277938784.000000	454411328.000000	385222656.000000	
HEX 60 : 4DEB4F0	1ACFBFC0	1281AAE0	
DEC 60 : 81704176.000000	449822656.000000	310487776.000000	
HEX 61 : 12C55360	1B695B40	F3920F0	
DEC 61 : 314921824.000000	459889472.000000	255402224.000000	
HEX 62 : 5F1CA	16D87F00	16AFC6A0	
DEC 62 : 389578.000000	383287040.000000	380618400.000000	
HEX 63 : AD2BBE0	A123780	37B69E0	
DEC 63 : 181582816.000000	168966016.000000	58419680.000000	
HEX 64 : 2868574	13431480	10890800	
DEC 64 : 42370420.000000	323163264.000000	277415936.000000	
HEX 65 : 5E5B3	5FE7ED0	1FA85F00	
DEC 65 : 386483.000000	100564688.000000	531128064.000000	
HEX 66 : 15FB2140	B265A20	1629E700	
DEC 66 : 368779584.000000	187062816.000000	371844864.000000	
HEX 67 : BCA2680	117B8F00	5280078	
DEC 67 : 197797504.000000	293310208.000000	86507640.000000	
HEX 68 : 1EE70300	8C6AE60	19AAEC40	
DEC 68 : 518456064.000000	147238496.000000	430632000.000000	
HEX 69 : 37E9960	9B42A20	1A673C4	
DEC 69 : 58628448.000000	162802208.000000	27685828.000000	
HEX 70 : 29572B8	3CABFC4	17990900	
DEC 70 : 43348664.000000	63619012.000000	395905280.000000	
HEX 71 : 1253FC80	146468C0	51A43C	
DEC 71 : 307494016.000000	342124736.000000	5350460.000000	
HEX 72 : 2A682F4	11039000	959B710	
DEC 72 : 44466932.000000	285446144.000000	156874512.000000	
HEX 73 : 9B44040	6306D68	1DC9FA60	
DEC 73 : 162807872.000000	103837032.000000	499776096.000000	
HEX 74 : 5E22D28	1CED79E0	B5A2CB0	
DEC 74 : 98708776.000000	485325280.000000	190459056.000000	
HEX 75 : 1C137860	864B780	12B30CC0	
DEC 75 : 471038048.000000	140818304.000000	313724096.000000	
HEX 76 : 189570C0	A71F1A0	584E168	
DEC 76 : 412446912.000000	175239584.000000	92594536.000000	
HEX 77 : 17AC7920	18E5AC80	1823FDA0	
DEC 77 : 397179168.000000	417705088.000000	405011872.000000	
HEX 78 : 435A268	AF48E90	1BD7D5A0	
DEC 78 : 70623848.000000	183799440.000000	467129760.000000	
HEX 79 : 5E574	11361740	1BAE5AE0	
DEC 79 : 386420.000000	288757568.000000	464411360.000000	
HEX 80 : 1A50DAA0	D575A6	560B8F0	
DEC 80 : 441506464.000000	13989286.000000	90224880.000000	
HEX 81 : 1E9F6D20	1D939F80	E1E7260	
DEC 81 : 513764640.000000	496213888.000000	236876384.000000	
HEX 82 : 100800	51F0440	FA30800	
DEC 82 : 1050624.000000	85918784.000000	262342656.000000	
HEX 83 : 1CCE1100	1101B88	1D172EA0	
DEC 83 : 483266816.000000	17832840.000000	488058528.000000	
HEX 84 : 17930AA0	41B7348	184C2DA0	
DEC 84 : 395512480.000000	68907848.000000	407645600.000000	
HEX 85 : 112F6CE0	12ECAD60	EAD3F80	
DEC 85 : 288320736.000000	317500768.000000	246235008.000000	
HEX 86 : 9EC1C90	1181A000	1010F260	
DEC 86 : 166468752.000000	293707776.000000	269546080.000000	
HEX 87 : C5CCD10	39E01A4	8CC2620	
DEC 87 : 207408400.000000	60686756.000000	147596832.000000	
HEX 88 : 1D13B780	14BB3E20	1CD07700	
DEC 88 : 487831424.000000	347815456.000000	483424000.000000	
HEX 89 : 6408A58	CE8ED3	10556800	
DEC 89 : 104893016.000000	13536979.000000	274032640.000000	
HEX 90 : 7781350	3625710	2A0CE98	
DEC 90 : 125309776.000000	56776464.000000	44093080.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
