Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
DEC 56 : 296702400.000000	149570624.000000	442193088.000000	
HEX 57 : 1CA9AFA0	1C300A60	97D94B0	
DEC 57 : 480882592.000000	472910432.000000	159225008.000000	
HEX 58 : 54EB5	12A70900	AC5DB50	
DEC 58 : 347829.000000	312936704.000000	180738896.000000	
HEX 59 : 149EAF80	1537A080	1A5891E0	
DEC 59 : 345943936.000000	355967104.000000	442012128.000000	
HEX 60 : 5F7B6	B4CD1E0	C696F10	
DEC 60 : 391094.000000	189583840.000000	208236304.000000	
HEX 61 : 1D3067A0	11FECAE0	D0F1C40	
DEC 61 : 489711520.000000	301910752.000000	219094080.000000	
HEX 62 : 4469980	16473440	5BAA0F0	
DEC 62 : 71735680.000000	373765184.000000	96116976.000000	
HEX 63 : 5EE17	DD52970	4FD04B8	
DEC 63 : 388631.000000	232073584.000000	83690680.000000	
HEX 64 : 1CA9A1E0	6CAB530	AA00690	
DEC 64 : 480879072.000000	113947952.000000	178259600.000000	
HEX 65 : 16558900	1C16EA60	13F7000	
DEC 65 : 374704384.000000	471263840.000000	20934656.000000	
HEX 66 : 12647300	F30E690	1640EC40	
DEC 66 : 308572928.000000	254862992.000000	373353536.000000	
HEX 67 : CF76B70	14024900	13A05A60	
DEC 67 : 217541488.000000	335694080.000000	329276000.000000	
HEX 68 : 1A184600	11139D20	1457DD20	
DEC 68 : 437798400.000000	286498080.000000	341302560.000000	
HEX 69 : EC2CE00	A688B50	360F5A4	
DEC 69 : 247647744.000000	174623568.000000	56685988.000000	
HEX 70 : 1B97EE00	1116CA60	10ED0F0	
DEC 70 : 462941696.000000	286706272.000000	17748208.000000	
HEX 71 : 37C02EC	1CAA53C0	1A5B45A0	
DEC 71 : 58458860.000000	480924608.000000	442189216.000000	
HEX 72 : 18B3B3E0	1759CB4	3D3B5A4	
DEC 72 : 414430176.000000	24485044.000000	64206244.000000	
HEX 73 : DB83980	F7578F0	C8FA780	
DEC 73 : 230177152.000000	259356912.000000	210741120.000000	
HEX 74 : 72BD640	F5563C0	14BDD6A0	
DEC 74 : 120313408.000000	257254336.000000	347985568.000000	
HEX 75 : 1FBD0080	D216CB0	195193C0	
DEC 75 : 532480128.000000	220294320.000000	424776640.000000	
HEX 76 : 11A9F80	8A7D1E0	136173C0	
DEC 76 : 18521984.000000	145215968.000000	325153728.000000	
HEX 77 : 1132D440	17A9F2E0	485EF10	
DEC 77 : 288543808.000000	397013728.000000	75886352.000000	
HEX 78 : D62CC20	1EB156A0	926B1E0	
DEC 78 : 224578592.000000	514938528.000000	153530848.000000	
HEX 79 : 5A883	1A9DBA60	C468F10	
DEC 79 : 370819.000000	446544480.000000	205950736.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
