Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
DEC 56 : 524179808.000000	410645696.000000	285261696.000000	
HEX 57 : 1C55B960	11F3A100	E9FBE20	
DEC 57 : 475380064.000000	301179136.000000	245349920.000000	
HEX 58 : 1839B3C0	1879EF00	E469A60	
DEC 58 : 406434752.000000	410644224.000000	239508064.000000	
HEX 59 : 16B146A0	D2FE2D0	D2808F0	
DEC 59 : 380716704.000000	221242064.000000	220727536.000000	
HEX 60 : 9DD9880	1115A100	119F91E0	
DEC 60 : 165517440.000000	286630144.000000	295670240.000000	
HEX 61 : 1D0D1A60	E0512D0	83E2B50	
DEC 61 : 487397984.000000	235213520.000000	138292048.000000	
HEX 62 : 8CD54B0	A80F1E0	151FA960	
DEC 62 : 147674288.000000	176222688.000000	354396512.000000	
HEX 63 : AB265A0	83985A0	7788878	
DEC 63 : 179463584.000000	137987488.000000	125339768.000000	
HEX 64 : EC694B0	1150A880	74AF3C0	
DEC 64 : 247895216.000000	290498688.000000	122352576.000000	
HEX 65 : D595E20	1A8796A	A0724B0	
DEC 65 : 223960608.000000	27818346.000000	168240304.000000	
HEX 66 : 1B9AE100	187A2A60	1E4A5A	
DEC 66 : 463134976.000000	410659424.000000	1985114.000000	
HEX 67 : A65FE20	15C2D1E0	1A263880	
DEC 67 : 174456352.000000	365089248.000000	438712448.000000	
HEX 68 : 45E3B48	E522780	19DCBF00	
DEC 68 : 73284424.000000	240265088.000000	433897216.000000	
HEX 69 : D7B04B0	138525A0	25543C	
DEC 69 : 226165936.000000	327493024.000000	2446396.000000	
HEX 70 : 1C5A0C40	1879F3C0	19FD3E20	
DEC 70 : 475663424.000000	410645440.000000	436026912.000000	
HEX 71 : 13CBEB40	3A1C5A4	6AD8710	
DEC 71 : 332131136.000000	60933540.000000	112035600.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
