Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 75AFBC0	1C2E6A60	1CFD0A60	
HEX 56 : 7ED4788	9418080	1961A7C0	
DEC 56 : 132990856.000000	155287680.000000	425830336.000000	
HEX 57 : 142CE000	521F3C0	12F42660	
DEC 57 : 338485248.000000	86111168.000000	317990496.000000	
HEX 58 : E65FE60	E4E1260	F670F	
DEC 58 : 241565280.000000	239997536.000000	1009423.000000	
HEX 59 : 186BC0C0	15DC0CC0	D43EED0	
DEC 59 : 409714880.000000	366742720.000000	222555856.000000	
HEX 60 : 5F79748	53952D0	3DFB220	
DEC 60 : 100112200.000000	87642832.000000	64991776.000000	
HEX 61 : 72E6F48	1F3086A0	47E26D0	
DEC 61 : 120483656.000000	523273888.000000	75376336.000000	
HEX 62 : 1A359D20	9A45B50	173F9E60	
DEC 62 : 439721248.000000	161766224.000000	390045280.000000	
HEX 63 : 90EE840	21065A4	16010CC0	
DEC 63 : 151971904.000000	34629028.000000	369167552.000000	
HEX 64 : 18829F80	1D2BC3C	B938570	
DEC 64 : 411213696.000000	30587964.000000	194217328.000000	
HEX 65 : 1D1FAEA0	782F3C0	7BD7A98	
DEC 65 : 488615584.000000	126022592.000000	129858200.000000	
HEX 66 : 1B586A20	7CE8CB8	1FEA3AE0	
DEC 66 : 458779168.000000	130976952.000000	535444192.000000	
HEX 67 : 4A317C0	151F8520	15AB6040	
DEC 67 : 77797312.000000	354387232.000000	363552832.000000	
HEX 68 : 705C620	56894B8	CC97040	
DEC 68 : 117818912.000000	90739896.000000	214528064.000000	
HEX 69 : 1D915F00	1E915700	28F6C00	
DEC 69 : 496066304.000000	512841472.000000	42953728.000000	
HEX 70 : CE18A90	812C0F0	4C09298	
DEC 70 : 216107664.000000	135446768.000000	79729304.000000	
HEX 71 : 12B639E0	13172E20	11F642E0	
DEC 71 : 313932256.000000	320286240.000000	301351648.000000	
HEX 72 : FAFF880	11794B4	194CB88	
DEC 72 : 263190656.000000	18322612.000000	26528648.000000	
HEX 73 : 16216840	4D251E0	48397C0	
DEC 73 : 371288128.000000	80892384.000000	75732928.000000	
HEX 74 : 123EA1E0	137A3B40	1A298B40	
DEC 74 : 306094560.000000	326777664.000000	438930240.000000	
HEX 75 : FA1DA60	1D1CF000	68555E0	
DEC 75 : 262265440.000000	488435712.000000	109401568.000000	
HEX 76 : AB3DBC0	19084D20	D83E290	
DEC 76 : 179559360.000000	419974432.000000	226747024.000000	
HEX 77 : 1A98FEA0	84322D0	F7021A0	
DEC 77 : 446234272.000000	138617552.000000	259006880.000000	
HEX 78 : 3DD1E5C	1AF05260	1005D740	
DEC 78 : 64822876.000000	451957344.000000	268818240.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
