Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 56 : 9900B50	17719B00	13F4A100	
DEC 56 : 160435024.000000	393321216.000000	334799104.000000	
HEX 57 : 10EB1D20	C78CA90	2C67DA4	
DEC 57 : 283843872.000000	209242768.000000	46562724.000000	
HEX 58 : FCEFA60	DD5E440	17691F80	
DEC 58 : 265222752.000000	232121408.000000	392765312.000000	
HEX 59 : 887E080	1AB2AB40	5FC9698	
DEC 59 : 143122560.000000	447916864.000000	100439704.000000	
HEX 60 : FF0ADA0	442F7C0	1B3D22E0	
DEC 60 : 267431328.000000	71497664.000000	456991456.000000	
HEX 61 : 1398D800	C75D480	9CFEAD0	
DEC 61 : 328783872.000000	209048704.000000	164621008.000000	
HEX 62 : 1910B960	90C9F10	4CEDBC0	
DEC 62 : 420526432.000000	151822096.000000	80665536.000000	
HEX 63 : FE171E0	13992660	121C2AE0	
DEC 63 : 266432992.000000	328803936.000000	303835872.000000	
HEX 64 : 1E436620	1C31CE60	1B02DF00	
DEC 64 : 507733536.000000	473026144.000000	453172992.000000	
HEX 65 : EF46CB0	13BE4B4	13901AE0	
DEC 65 : 250899632.000000	20702388.000000	328211168.000000	
HEX 66 : 1AEA7A60	E38EDE0	9F4E170	
DEC 66 : 451574368.000000	238611936.000000	167043440.000000	
HEX 67 : 22D8BC4	1CA0E9E0	F4035A0	
DEC 67 : 36539332.000000	480307680.000000	255866272.000000	
HEX 68 : 16808780	152B0C80	B960260	
DEC 68 : 377522048.000000	355142784.000000	194380384.000000	
HEX 69 : 10C0CA60	1D99CDA0	1770EB40	
DEC 69 : 281070176.000000	496618912.000000	393276224.000000	
HEX 70 : D1D65A0	10F3C6E0	1E8DAB40	
DEC 70 : 220030368.000000	284411616.000000	512600896.000000	
HEX 71 : 886F3C0	133F7380	4E58A58	
DEC 71 : 143061952.000000	322925440.000000	82152024.000000	
HEX 72 : 1F3E3B40	6944078	1D3D4D20	
