Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
DEC 56 : 390197600.000000	137492768.000000	384799552.000000	
HEX 57 : 12E3F3C0	48B9740	EE9BE90	
DEC 57 : 316928960.000000	76257088.000000	250199696.000000	
HEX 58 : 1B4403C0	1A91DD60	6D49CB8	
DEC 58 : 457442240.000000	445767008.000000	114597048.000000	
HEX 59 : 8E96F80	6A7E740	12D72EA0	
DEC 59 : 149516160.000000	111667008.000000	316092064.000000	
HEX 60 : 1A8B9E20	15766100	158661E	
DEC 60 : 445357600.000000	360079616.000000	22570526.000000	
HEX 61 : 14D04260	1D9F3340	93A4350	
DEC 61 : 349192800.000000	496972608.000000	154813264.000000	
HEX 62 : C23D970	B7A8500	1F3F7340	
DEC 62 : 203676016.000000	192578816.000000	524251968.000000	
HEX 63 : 1EAF13C0	912A460	17D07080	
DEC 63 : 514790336.000000	152216672.000000	399536256.000000	
HEX 64 : F1C9350	15AE4	19E0C440	
DEC 64 : 253530960.000000	88804.000000	434160704.000000	
HEX 65 : 10EBB900	EFAA48	20354B4	
DEC 65 : 283883776.000000	15706696.000000	33772724.000000	
HEX 66 : 11B3E96	12DD3BE0	AC83970	
DEC 66 : 18562710.000000	316488672.000000	180894064.000000	
HEX 67 : 132E16A	623FCE8	D313B50	
DEC 67 : 20111722.000000	103021800.000000	221330256.000000	
HEX 68 : 1C0B2880	68DD910	1133CEA0	
DEC 68 : 470493312.000000	109959440.000000	288607904.000000	
HEX 69 : 13F82800	E78E290	2AD3800	
DEC 69 : 335030272.000000	242803344.000000	44906496.000000	
HEX 70 : 4356168	10CDFE40	15EA29E0	
DEC 70 : 70607208.000000	281935424.000000	367667680.000000	
HEX 71 : 18290520	95463E0	1E56DB40	
DEC 71 : 405341472.000000	156525536.000000	509008704.000000	
HEX 72 : E8F5C40	5861140	8A9DE20	
DEC 72 : 244276288.000000	92672320.000000	145350176.000000	
HEX 73 : A5F4260	169B2	59C3DA8	
DEC 73 : 174015072.000000	92594.000000	94125480.000000	
HEX 74 : ADFC3C	1CF98E20	DBD9880	
DEC 74 : 11402300.000000	486116896.000000	230529152.000000	
HEX 75 : 99DD9E0	DD3EA90	10A8C9E0	
DEC 75 : 161339872.000000	231991952.000000	279497184.000000	
HEX 76 : 1D45CD20	1A936400	16E79AE0	
DEC 76 : 491113760.000000	445867008.000000	384277216.000000	
HEX 77 : 10572080	19542900	15999520	
DEC 77 : 274145408.000000	424945920.000000	362386720.000000	
HEX 78 : FFBA170	6FCDEA8	156A3160	
DEC 78 : 268149104.000000	117235368.000000	359280992.000000	
HEX 79 : 1CBECB4	17953CC0	12E03F80	
DEC 79 : 30141620.000000	395656384.000000	316686208.000000	
HEX 80 : 159EEDA0	1E4D2100	17D1DA60	
DEC 80 : 362737056.000000	508371200.000000	399628896.000000	
HEX 81 : 7E22F88	FCD7CF0	99A6E90	
DEC 81 : 132263816.000000	265125104.000000	161115792.000000	
HEX 82 : 1B26B3C0	EDAFC90	4E7B878	
DEC 82 : 455521216.000000	249232528.000000	82294904.000000	
HEX 83 : 2DE6000	4FFA040	1703C780	
DEC 83 : 48128000.000000	83861568.000000	386123648.000000	
HEX 84 : FE36CB0	B466530	D5DEF80	
DEC 84 : 266562736.000000	189162800.000000	224259968.000000	
HEX 85 : A9D8800	1D51E9C0	FE7BBC0	
DEC 85 : 178096128.000000	491907520.000000	266845120.000000	
HEX 86 : 13AD3700	16B6C	8F53780	
DEC 86 : 330118912.000000	93036.000000	150288256.000000	
HEX 87 : 1F6BD100	D5E01B0	11AC85A0	
DEC 87 : 527159552.000000	224264624.000000	296519072.000000	
HEX 88 : C768BC0	130AC360	19BF5800	
DEC 88 : 209095616.000000	319472480.000000	431970304.000000	
HEX 89 : 17F3E5A0	CDDA410	10DB6100	
DEC 89 : 401860000.000000	215852048.000000	282812672.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
