Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 1B9EB280	1B9816A0	D4D54B0	
DEC 56 : 406573728.000000	391768192.000000	442182944.000000	
HEX 57 : 4EBD708	40E6A58	1A5B52E0	
DEC 57 : 82564872.000000	68053592.000000	442192608.000000	
HEX 58 : AEF6770	1F635780	1A5B1A60	
DEC 58 : 183461744.000000	526604160.000000	442178144.000000	
HEX 59 : 1111EE60	D08AE20	8F62880	
DEC 59 : 286387808.000000	218672672.000000	150349952.000000	
HEX 60 : 1D387B80	2D01F10	16DC3960	
DEC 60 : 490240896.000000	47193872.000000	383531360.000000	
HEX 61 : 1F37C560	1D0FBF00	1A5B3000	
DEC 61 : 523748704.000000	487571200.000000	442183680.000000	
HEX 62 : 1B7CFEE0	9AA6F10	E500F1	
DEC 62 : 461176544.000000	162164496.000000	15007985.000000	
HEX 63 : 13C4C900	9652B50	AE41E2	
DEC 63 : 331663616.000000	157625168.000000	11420130.000000	
HEX 64 : AB5C880	1D51C4C0	C059970	
DEC 64 : 179685504.000000	491898048.000000	201693552.000000	
HEX 65 : 1049D140	193155A0	1A5B1A60	
DEC 65 : 273273152.000000	422663584.000000	442178144.000000	
HEX 66 : 61641D8	9F57D30	123EEB40	
DEC 66 : 102121944.000000	167083312.000000	306113344.000000	
HEX 67 : 1E1BF900	8BE3780	9C5B4B0	
DEC 67 : 505149696.000000	146683776.000000	163951792.000000	
HEX 68 : 156154A0	B052000	14865E20	
DEC 68 : 358700192.000000	184885248.000000	344350240.000000	
HEX 69 : 6E1A3B8	1171A780	126AEE20	
DEC 69 : 115450808.000000	292661120.000000	308997664.000000	
HEX 70 : 8E8A33	1C2AA4C0	1FFD878	
DEC 70 : 9341491.000000	472556736.000000	33544312.000000	
HEX 71 : 862A1B0	1FE59C40	134A2880	
DEC 71 : 140681648.000000	535141440.000000	323627136.000000	
HEX 72 : 30B849C	1255EB40	B2BFE20	
DEC 72 : 51086492.000000	307620672.000000	187432480.000000	
HEX 73 : 179A0D40	10D3788	6C45788	
DEC 73 : 395971904.000000	17643400.000000	113530760.000000	
HEX 74 : B8A0410	D458B50	E293F10	
DEC 74 : 193594384.000000	222661456.000000	237584144.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
