Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
DEC 56 : 128058864.000000	260001136.000000	523458304.000000	
HEX 57 : 5F48390	6BDAA20	1B2E3220	
DEC 57 : 99910544.000000	113093152.000000	456012320.000000	
HEX 58 : 12840180	917ADA0	14729F80	
DEC 58 : 310641024.000000	152546720.000000	343056256.000000	
HEX 59 : CEC5B10	AFC8E20	1C4F4AE0	
DEC 59 : 216816400.000000	184323616.000000	474958560.000000	
HEX 60 : 72F8B20	1B13D620	AB9CE60	
DEC 60 : 120556320.000000	454284832.000000	179949152.000000	
HEX 61 : 91269	985E0B0	9036C80	
DEC 61 : 594537.000000	159768752.000000	151219328.000000	
HEX 62 : 7A0A720	1BA2DE60	102521E	
DEC 62 : 127969056.000000	463658592.000000	16929310.000000	
HEX 63 : 5F7F5	C42BED0	FCBAD3	
DEC 63 : 391157.000000	205700816.000000	16562899.000000	
HEX 64 : 1829A240	5AA4E20	180F84C0	
DEC 64 : 405381696.000000	95047200.000000	403670208.000000	
HEX 65 : 159D4520	140ABB80	219E078	
DEC 65 : 362628384.000000	336247680.000000	35250296.000000	
HEX 66 : 10F80A60	FD4B4F0	99FC170	
DEC 66 : 284691040.000000	265598192.000000	161464688.000000	
HEX 67 : CDBBB50	1ED14340	15F92D60	
DEC 67 : 215726928.000000	517030720.000000	368651616.000000	
HEX 68 : B8FBC20	E2EED70	ED94880	
DEC 68 : 193969184.000000	237956464.000000	249120896.000000	
HEX 69 : 3F27800	64EC8B8	3684C78	
DEC 69 : 66222080.000000	105826488.000000	57166968.000000	
HEX 70 : 108C7CC0	19ED8500	1B891100	
DEC 70 : 277642432.000000	434996480.000000	461967616.000000	
HEX 71 : 5FCA5	278BC00	195E8480	
DEC 71 : 392357.000000	41466880.000000	425624704.000000	
HEX 72 : 187BF360	141D19A0	1116E840	
DEC 72 : 410776416.000000	337451424.000000	286713920.000000	
HEX 73 : BAF86	142E8520	15EE9AA0	
DEC 73 : 765830.000000	338593056.000000	367958688.000000	
HEX 74 : B8E1D70	2FEF3C4	B1FE750	
DEC 74 : 193863024.000000	50262980.000000	186640208.000000	
HEX 75 : 83D9920	9580130	8CC6CF0	
DEC 75 : 138254624.000000	156762416.000000	147614960.000000	
HEX 76 : 16BE2980	60BFB10	EB44080	
DEC 76 : 381561216.000000	101448464.000000	246694016.000000	
HEX 77 : 5F5FC	11EB9AA0	5F40388	
DEC 77 : 390652.000000	300653216.000000	99877768.000000	
HEX 78 : 5F777	949A310	162B9380	
DEC 78 : 391031.000000	155820816.000000	371954560.000000	
HEX 79 : 1C323E00	AB8A080	C719530	
DEC 79 : 473054720.000000	179871872.000000	208770352.000000	
HEX 80 : FC57C20	18C94E60	4F7D298	
DEC 80 : 264600608.000000	415845984.000000	83350168.000000	
HEX 81 : E8B2930	47B5C40	18E194C0	
DEC 81 : 244001072.000000	75193408.000000	417436864.000000	
HEX 82 : 3927DC4	1C7B9B40	1E44E100	
DEC 82 : 59932100.000000	477862720.000000	507830528.000000	
HEX 83 : 102E5600	8D36080	C454930	
DEC 83 : 271472128.000000	148070528.000000	205867312.000000	
HEX 84 : 15E872A	ED75B10	1B12AAE0	
DEC 84 : 22972202.000000	248994576.000000	454208224.000000	
HEX 85 : 1C3DA920	161BED2	C8989E0	
DEC 85 : 473803040.000000	23183058.000000	210340320.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
