Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 1B951260	17ABDC40	DCC3AC0	
HEX 57 : 12D074C0	FDD7D30	D0B9270	
DEC 57 : 315651264.000000	266173744.000000	218862192.000000	
HEX 58 : 19AF07C0	2A77C3C	5F7CD20	
DEC 58 : 430901184.000000	44530748.000000	100125984.000000	
HEX 59 : 1C160740	DF5E4B0	C64B370	
DEC 59 : 471205696.000000	234218672.000000	207926128.000000	
HEX 60 : D395260	102696A	D147830	
DEC 60 : 221860448.000000	16935274.000000	219445296.000000	
HEX 61 : FBDED70	16ACAB40	34F5EB0	
DEC 61 : 264105328.000000	380414784.000000	55533232.000000	
HEX 62 : 22439E0	C5A44B0	13385F60	
DEC 62 : 35928544.000000	207242416.000000	322461536.000000	
HEX 63 : BCAFF80	1DB79000	5D61DA0	
DEC 63 : 197853056.000000	498569216.000000	97918368.000000	
HEX 64 : 172DBFC0	14A1D000	11271CE	
DEC 64 : 388874176.000000	346148864.000000	17985998.000000	
HEX 65 : DA6A780	11D7A100	1F201160	
DEC 65 : 229025664.000000	299344128.000000	522195296.000000	
HEX 66 : 13033AE0	1C9891E0	C032	
DEC 66 : 318978784.000000	479760864.000000	49202.000000	
HEX 67 : C5F0440	2BC3C	1C409500	
DEC 67 : 207553600.000000	179260.000000	473994496.000000	
HEX 68 : 1537800	2FA3E20	1E3D7A60	
DEC 68 : 22247424.000000	49954336.000000	507345504.000000	
HEX 69 : 1BBEF520	4B2A000	1E1DF900	
DEC 69 : 465499424.000000	78815232.000000	505280768.000000	
HEX 70 : DECFB80	1AD281E0	134D0320	
DEC 70 : 233634688.000000	450003424.000000	323814176.000000	
HEX 71 : 1759CD60	1F88E4C0	1AA14920	
DEC 71 : 391761248.000000	529065152.000000	446777632.000000	
HEX 72 : 62DB168	121BF880	1E3DA4C0	
DEC 72 : 103657832.000000	303822976.000000	507356352.000000	
HEX 73 : 64468F0	3866C3C	C032	
DEC 73 : 105146608.000000	59141180.000000	49202.000000	
HEX 74 : 7BD9DE0	17068100	10FDA700	
DEC 74 : 129867232.000000	386302208.000000	285058816.000000	
HEX 75 : 1D7DB9E0	1B0211E0	1A0293C0	
DEC 75 : 494778848.000000	453120480.000000	436376512.000000	
HEX 76 : 951A4F0	154C6A60	9A8F960	
DEC 76 : 156345584.000000	357329504.000000	162068832.000000	
HEX 77 : C81A7C0	19D54F00	1FEB6B40	
DEC 77 : 209823680.000000	433409792.000000	535522112.000000	
HEX 78 : E1C5CF0	EAACA60	737C9A0	
DEC 78 : 236739824.000000	246073952.000000	121096608.000000	
HEX 79 : 1CF6FE20	10FAB5A0	58D44C0	
DEC 79 : 485948960.000000	284865952.000000	93144256.000000	
HEX 80 : 1ED5D440	B400B50	1472BA00	
DEC 80 : 517329984.000000	188746576.000000	343063040.000000	
HEX 81 : 14CCCCC0	1943A960	10A74560	
DEC 81 : 348966080.000000	423864672.000000	279397728.000000	
HEX 82 : 1B758D60	13DBE000	1B962740	
DEC 82 : 460688736.000000	333176832.000000	462825280.000000	
HEX 83 : 5B36E98	168D2D	F490FE0	
DEC 83 : 95645336.000000	1477933.000000	256446432.000000	
HEX 84 : 1E5C8CC0	190B55A0	6EF9AF8	
DEC 84 : 509381824.000000	420173216.000000	116366072.000000	
HEX 85 : 11D6E080	8CE7F10	1AEC5A0	
DEC 85 : 299294848.000000	147750672.000000	28231072.000000	
