Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 9A2F8F0	16C30640	B147F10	
HEX 57 : 9C7F880	4A9E868	B93EB50	
DEC 57 : 164100224.000000	78243944.000000	194243408.000000	
HEX 58 : 178CD2E0	5260190	83F000	
DEC 58 : 395104992.000000	86376848.000000	8646656.000000	
HEX 59 : 174A7000	11E6ADE0	AEAE3C0	
DEC 59 : 390754304.000000	300330464.000000	183165888.000000	
HEX 60 : 136C96A0	398AEF8	1CB2ED20	
DEC 60 : 325883552.000000	60337912.000000	481488160.000000	
HEX 61 : 1031C880	5F1EB58	135C51E0	
DEC 61 : 271698048.000000	99740504.000000	324817376.000000	
HEX 62 : C042DA0	3310C84	1E5B9000	
DEC 62 : 201600416.000000	53546116.000000	509317120.000000	
HEX 63 : 682A1E0	13C28CA0	4075F10	
DEC 63 : 109224416.000000	331517088.000000	67591952.000000	
HEX 64 : 1427C4C0	11DD1760	190B3B40	
DEC 64 : 338150592.000000	299702112.000000	420166464.000000	
HEX 65 : 2D30D2C	A7EA730	1411D960	
DEC 65 : 47385900.000000	176072496.000000	336714080.000000	
HEX 66 : 197946A0	B59AA70	17595C40	
DEC 66 : 427378336.000000	190425712.000000	391732288.000000	
HEX 67 : 13B09A60	1996EDA0	CB4E0F0	
DEC 67 : 330340960.000000	429321632.000000	213180656.000000	
HEX 68 : 4C818F0	1565D0A0	1BB34B40	
DEC 68 : 80222448.000000	358994080.000000	464735040.000000	
HEX 69 : D3FE1E0	1C8E8A80	1EEA56A0	
DEC 69 : 222290400.000000	479103616.000000	518674080.000000	
HEX 70 : 5E81530	3EFB954	12066960	
DEC 70 : 99095856.000000	66042196.000000	302410080.000000	
HEX 71 : 1355ADA0	16A30	40BF698	
DEC 71 : 324382112.000000	92720.000000	67892888.000000	
HEX 72 : 11108700	8D955B0	C77F880	
DEC 72 : 286295808.000000	148460976.000000	209188992.000000	
HEX 73 : 19D135A0	16DA5	1E68E100	
DEC 73 : 433141152.000000	93605.000000	510189824.000000	
HEX 74 : 1469B440	B1778B0	3E91968	
DEC 74 : 342471744.000000	186087600.000000	65608040.000000	
HEX 75 : 1C5078	37F0630	16CF9880	
