Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : D6804B0	288BB4C	10124F00	
DEC 56 : 111710448.000000	460104896.000000	119996056.000000	
HEX 57 : 1C88A100	710C3C	1ED77EA0	
DEC 57 : 478716160.000000	7408700.000000	517439136.000000	
HEX 58 : 1F0986A0	5343E20	6606388	
DEC 58 : 520717984.000000	87309856.000000	106980232.000000	
HEX 59 : 111E03C0	C59E880	5149DA8	
DEC 59 : 287179712.000000	207218816.000000	85237160.000000	
HEX 60 : 40EB0F0	185FE780	18DDA040	
DEC 60 : 68071664.000000	408938368.000000	417177664.000000	
HEX 61 : 13449880	16CBAA60	1A213340	
DEC 61 : 323262592.000000	382446176.000000	438383424.000000	
HEX 62 : 1366E780	11369880	1FE0F4C0	
DEC 62 : 325511040.000000	288790656.000000	534836416.000000	
HEX 63 : 26271E0	BDAC000	147E58C0	
DEC 63 : 40006112.000000	198885376.000000	343824576.000000	
HEX 64 : FC81E20	1A9536A0	1FB2A6A0	
DEC 64 : 264773152.000000	445986464.000000	531801760.000000	
HEX 65 : 3450D2C	1FC30F0	6FCAA20	
DEC 65 : 54857004.000000	33304816.000000	117221920.000000	
HEX 66 : 8A1A0F0	FD0F780	1946E520	
DEC 66 : 144810224.000000	265353088.000000	424076576.000000	
HEX 67 : 1CBC6880	5366000	18731B40	
DEC 67 : 482109568.000000	87449600.000000	410196800.000000	
HEX 68 : 48D1B48	12A969	16F34160	
DEC 68 : 76356424.000000	1223017.000000	385040736.000000	
HEX 69 : FA1AB50	17D93960	1026A620	
DEC 69 : 262253392.000000	400111968.000000	270968352.000000	
HEX 70 : 9CFE970	AF37F10	13A72C80	
DEC 70 : 164620656.000000	183729936.000000	329723008.000000	
HEX 71 : 18E83F00	1D185A6	1DDCDE2	
DEC 71 : 417873664.000000	30508454.000000	31313378.000000	
HEX 72 : 1E008F00	C83CB50	7DBFE98	
DEC 72 : 503353088.000000	209963856.000000	131858072.000000	
HEX 73 : D370D30	10E1EE20	EA01A90	
DEC 73 : 221711664.000000	283242016.000000	245373584.000000	
HEX 74 : 2D8E4B4	17E3DD20	F5BB750	
DEC 74 : 47768756.000000	400809248.000000	257668944.000000	
HEX 75 : C2204B0	16B1B1E0	1760F400	
DEC 75 : 203556016.000000	380744160.000000	392229888.000000	
HEX 76 : A384880	995000	987A530	
DEC 76 : 171460736.000000	10047488.000000	159884592.000000	
HEX 77 : 2D9B5A4	B2135A0	4F761A8	
DEC 77 : 47822244.000000	186725792.000000	83321256.000000	
HEX 78 : CC46D30	A5BAC40	AE4E220	
