Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 56 : 19A7C3C0	32AC620	CF71A90	
DEC 56 : 430425024.000000	53134880.000000	217520784.000000	
HEX 57 : 3E52D2	D1EF88	15279480	
DEC 57 : 4084434.000000	13758344.000000	354915456.000000	
HEX 58 : 1E37D960	1AD6CAE0	E4692D0	
DEC 58 : 506976608.000000	450284256.000000	239506128.000000	
HEX 59 : 1257EB40	3E1DC3C	F58A1A0	
DEC 59 : 307751744.000000	65133628.000000	257466784.000000	
HEX 60 : 192491E0	F3B62D0	1E76AB40	
DEC 60 : 421827040.000000	255550160.000000	511093568.000000	
HEX 61 : 17EB03C0	1ED3EC40	F51D350	
DEC 61 : 401277888.000000	517205056.000000	257020752.000000	
HEX 62 : 77394B8	641C8F0	A25A2D0	
DEC 62 : 125015224.000000	104974576.000000	170238672.000000	
HEX 63 : 19F66100	15F3B160	A6FFCB0	
DEC 63 : 435577088.000000	368292192.000000	175111344.000000	
HEX 64 : 19B15F00	1D3CA880	16C86AA0	
DEC 64 : 431054592.000000	490514560.000000	382233248.000000	
HEX 65 : E00D0F0	10372620	FAB6FC0	
DEC 65 : 234934512.000000	272049696.000000	262893504.000000	
HEX 66 : 18057100	9BFA8F0	8020C80	
DEC 66 : 403009792.000000	163555568.000000	134352000.000000	
HEX 67 : B0345A0	1D47A780	5C4E620	
DEC 67 : 184763808.000000	491235200.000000	96790048.000000	
HEX 68 : 19FB25A0	15875F00	11F47840	
DEC 68 : 435889568.000000	361193216.000000	301234240.000000	
HEX 69 : C507690	3230CB4	176C33C0	
DEC 69 : 206599824.000000	52628660.000000	392967104.000000	
HEX 70 : BF36780	A9DF710	19C3AE20	
DEC 70 : 200501120.000000	178124560.000000	432254496.000000	
HEX 71 : 632F878	E7F6D30	13F7F780	
DEC 71 : 104003704.000000	243232048.000000	335017856.000000	
HEX 72 : 1C7C85A0	532C0F0	148F4EA0	
DEC 72 : 477922720.000000	87212272.000000	344936096.000000	
HEX 73 : D15C690	F80BA60	746F388	
DEC 73 : 219530896.000000	260094560.000000	122090376.000000	
HEX 74 : 1FD0F880	A3A5E20	5DB6C40	
DEC 74 : 533788800.000000	171597344.000000	98266176.000000	
HEX 75 : 2300000	2388A5C	64F8930	
DEC 75 : 36700160.000000	37259868.000000	105875760.000000	
HEX 76 : A4DB1E0	12474880	19F92480	
DEC 76 : 172863968.000000	306661504.000000	435758208.000000	
HEX 77 : F082C40	2DD0E98	8A94B80	
DEC 77 : 252193856.000000	48041624.000000	145312640.000000	
HEX 78 : 5D9D3C0	18BF8F00	187DD300	
DEC 78 : 98161600.000000	415207168.000000	410899200.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
