Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 56 : 19DA1D20	137CE1E	6D06D30	
DEC 56 : 433724704.000000	20434462.000000	114322736.000000	
HEX 57 : 1DF8F880	2AF0F1	1BA6C880	
DEC 57 : 502855808.000000	2814193.000000	463915136.000000	
HEX 58 : 3E8D968	1B21C6A0	6592F10	
DEC 58 : 65591656.000000	455198368.000000	106508048.000000	
HEX 59 : 14BAD960	1B0301E0	1AD241E0	
DEC 59 : 347789664.000000	453181920.000000	449987040.000000	
HEX 60 : 1CD06000	1224000	13631C40	
DEC 60 : 483418112.000000	19021824.000000	325262400.000000	
HEX 61 : 16941F00	151702E0	DE7DF10	
DEC 61 : 378806016.000000	353829600.000000	233299728.000000	
HEX 62 : 2D1696	53832D0	EB82000	
DEC 62 : 2954902.000000	87569104.000000	246947840.000000	
HEX 63 : 1BE56C40	1EEFF960	55CF878	
DEC 63 : 468020288.000000	519043424.000000	89979000.000000	
HEX 64 : D8632D0	1D01EF00	16ADE960	
DEC 64 : 226898640.000000	486665984.000000	380496224.000000	
HEX 65 : 4B04B4	9A76880	89844B0	
DEC 65 : 4916404.000000	161966208.000000	144196784.000000	
HEX 66 : 11B4C6A0	83B5C40	D6C94B0	
DEC 66 : 297060000.000000	138107968.000000	225219760.000000	
HEX 67 : 1A8515A0	16A0D4C0	14A4CC40	
DEC 67 : 444929440.000000	379638976.000000	346344512.000000	
HEX 68 : 17E9C800	17C175A0	662F1E0	
DEC 68 : 401197056.000000	398554528.000000	107147744.000000	
HEX 69 : 1CF8C3C	E59C2D0	164CB1E0	
DEC 69 : 30379068.000000	240763600.000000	374125024.000000	
HEX 70 : 1FF2EC40	354B2D4	ADCA690	
DEC 70 : 536013888.000000	55882452.000000	182232720.000000	
HEX 71 : 1D6BD960	1B38D780	1B6253C0	
DEC 71 : 493607264.000000	456710016.000000	459428800.000000	
HEX 72 : 14569160	C234A60	1C9CF4C0	
DEC 72 : 341217632.000000	203639392.000000	480048320.000000	
HEX 73 : 1205E700	F4C93C0	11251D20	
DEC 73 : 302376704.000000	256676800.000000	287644960.000000	
HEX 74 : A710690	11ACB1E0	730BC40	
DEC 74 : 175179408.000000	296530400.000000	120634432.000000	
HEX 75 : 16A81620	14DAA5A	ED15000	
DEC 75 : 380114464.000000	21867098.000000	248598528.000000	
HEX 76 : 1DBA44C0	AACCA60	15350960	
DEC 76 : 498746560.000000	179096160.000000	355797344.000000	
HEX 77 : 844FB50	2178C3C	1BB5A880	
DEC 77 : 138738512.000000	35097660.000000	464889984.000000	
HEX 78 : 18C573C0	9C14000	83725A0	
DEC 78 : 415593408.000000	163659776.000000	137831840.000000	
HEX 79 : 18C7D4C0	1CCD7960	CC88A60	
DEC 79 : 415749312.000000	483228000.000000	214469216.000000	
HEX 80 : 61CA800	1CA2E5A0	11C25960	
DEC 80 : 102541312.000000	480437664.000000	297949536.000000	
HEX 81 : B859BC0	1A22EA60	55A74B8	
DEC 81 : 193305536.000000	438495840.000000	89814200.000000	
HEX 82 : 1B6DB3C0	1E0C0100	13BB76A0	
DEC 82 : 460174272.000000	504103168.000000	331052704.000000	
HEX 83 : B737F10	92D6D30	122B9F00	
DEC 83 : 192118544.000000	153972016.000000	304848640.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
