Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 181DC460	6B8F440	E1EAB50	
HEX 57 : F656170	16E452A0	63BFBC0	
DEC 57 : 258302320.000000	384062112.000000	104594368.000000	
HEX 58 : 177BD1A0	106F31C0	E59C0F0	
DEC 58 : 393990560.000000	275722688.000000	240763120.000000	
HEX 59 : DC98100	FC64ED0	815FF80	
DEC 59 : 231309568.000000	264654544.000000	135659392.000000	
HEX 60 : 5ED99	18D4EA40	34A1620	
DEC 60 : 388505.000000	416606784.000000	55186976.000000	
HEX 61 : 4F70488	0	12B2CC40	
DEC 61 : 83297416.000000	0.000000	313707584.000000	
HEX 62 : 1A046A40	1A8F6220	12D073C0	
DEC 62 : 436496960.000000	445604384.000000	315651008.000000	
HEX 63 : 5A6D9C8	1701CB00	15CDC800	
DEC 63 : 94820808.000000	385993472.000000	365807616.000000	
HEX 64 : 3A0A1B0	1ED43440	19A794C0	
DEC 64 : 60858800.000000	517223488.000000	430412992.000000	
HEX 65 : 10EA6CE0	17B53640	164DB160	
DEC 65 : 283798752.000000	397751872.000000	374190432.000000	
HEX 66 : 140FDD0	36684C	1943F6A0	
DEC 66 : 21036496.000000	3565644.000000	423884448.000000	
HEX 67 : 46DCFB8	1C86AD60	82693C0	
DEC 67 : 74305464.000000	478588256.000000	136745920.000000	
HEX 68 : 3E967C	147A61C0	11371700	
DEC 68 : 4101756.000000	343564736.000000	288823040.000000	
HEX 69 : 18D8B9C0	1C7EBA40	B4C2BC0	
DEC 69 : 416856512.000000	478067264.000000	189541312.000000	
HEX 70 : 11BC47C0	12D8D660	1C41FC40	
DEC 70 : 297551808.000000	316200544.000000	474086464.000000	
HEX 71 : 6273B60	6F75478	A1D0530	
DEC 71 : 103234400.000000	116872312.000000	169674032.000000	
HEX 72 : A5738C0	1BC7C5E0	38C3D2C	
DEC 72 : 173488320.000000	466077152.000000	59522348.000000	
HEX 73 : 5FA6D	1B9F06C0	13DFE260	
DEC 73 : 391789.000000	463406784.000000	333439584.000000	
HEX 74 : 15C990E0	9879	1095E700	
DEC 74 : 365531360.000000	39033.000000	278259456.000000	
HEX 75 : 13891B00	1E9E6C40	17BD9F00	
DEC 75 : 327752448.000000	513698880.000000	398302976.000000	
HEX 76 : 1CA5B5E0	B4AD790	A35FB50	
DEC 76 : 480622048.000000	189454224.000000	171309904.000000	
HEX 77 : 17DDC0C0	8C1F2B0	4F9EAD0	
DEC 77 : 400408768.000000	146928304.000000	83487440.000000	
