Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 2502D2C	14833E60	DBAA310	
DEC 56 : 460360896.000000	199391536.000000	216637648.000000	
HEX 57 : 12594AE0	24E3E5C	12FE75C0	
DEC 57 : 307841760.000000	38682204.000000	318666176.000000	
HEX 58 : 11D4B960	14FE0AE0	7DD75F0	
DEC 58 : 299153760.000000	352193248.000000	131954160.000000	
HEX 59 : 8FB8350	13178E60	1280B180	
DEC 59 : 150700880.000000	320310880.000000	310423936.000000	
HEX 60 : 1B243BC0	4F46E58	C032	
DEC 60 : 455359424.000000	83127896.000000	49202.000000	
HEX 61 : 19E35800	1E4CE100	273A26	
DEC 61 : 434329600.000000	508354816.000000	2570790.000000	
HEX 62 : 5A8B9E0	1BAD0C80	8848640	
DEC 62 : 94943712.000000	464325760.000000	142902848.000000	
HEX 63 : 351F34C	6E7FDA8	69D32D8	
DEC 63 : 55702348.000000	115867048.000000	110965464.000000	
HEX 64 : 1D932800	140A8D20	16CC6820	
DEC 64 : 496183296.000000	336235808.000000	382494752.000000	
HEX 65 : 15FAADA0	EA4D690	70BD588	
DEC 65 : 368749984.000000	245683856.000000	118216072.000000	
HEX 66 : C443D30	14A85500	C032	
DEC 66 : 205798704.000000	346576128.000000	49202.000000	
HEX 67 : 11311080	16DAF960	19DFDCC0	
DEC 67 : 288428160.000000	383449440.000000	434101440.000000	
HEX 68 : 1EA379E0	1ABCF2E0	74A8A58	
DEC 68 : 514030048.000000	448590560.000000	122325592.000000	
HEX 69 : 1F39FA60	140EF2A0	1E829380	
DEC 69 : 523893344.000000	336523936.000000	511873920.000000	
HEX 70 : 10D1ECC0	ADBCF1	B7B0C80	
DEC 70 : 282193088.000000	11386097.000000	192613504.000000	
HEX 71 : 7CB21E0	64C9A58	1D7F5A20	
DEC 71 : 130752992.000000	105683544.000000	494885408.000000	
HEX 72 : 19F564C0	1584E120	DFDA6B0	
DEC 72 : 435512512.000000	361029920.000000	234727088.000000	
HEX 73 : 18A70F0	19E64BC0	17191380	
DEC 73 : 25850096.000000	434523072.000000	387519360.000000	
HEX 74 : 12175260	1EEDD780	B744930	
DEC 74 : 303518304.000000	518903680.000000	192170288.000000	
HEX 75 : 1FE41700	14970F0	1A764680	
DEC 75 : 535041792.000000	21590256.000000	443958912.000000	
HEX 76 : 14093100	38FFB88	28B425C	
DEC 76 : 336146688.000000	59767688.000000	42680924.000000	
HEX 77 : 6DEBB48	FB70800	5BB6340	
DEC 77 : 115260232.000000	263653376.000000	96166720.000000	
HEX 78 : 1D9FCBC0	1177E0C0	BF75	
DEC 78 : 497011648.000000	293068992.000000	49013.000000	
HEX 79 : 13413DA0	EF912D0	1AFE5960	
DEC 79 : 323042720.000000	251204304.000000	452876640.000000	
HEX 80 : ABF0DA0	19185900	16B0F500	
DEC 80 : 180293024.000000	421026048.000000	380695808.000000	
HEX 81 : 16693B40	1C43BEA0	19706300	
DEC 81 : 375995200.000000	474201760.000000	426795776.000000	
HEX 82 : 6DA1F88	1389D100	19F46280	
DEC 82 : 114958216.000000	327799040.000000	435446400.000000	
HEX 83 : 19E82000	CA4F310	16A8E860	
DEC 83 : 434642944.000000	212136720.000000	380168288.000000	
HEX 84 : 1E813F80	5042A58	C906F00	
DEC 84 : 511786880.000000	84159064.000000	210792192.000000	
HEX 85 : CF6FF80	40C1478	BFF3	
