Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 11AF29A0	A671AD0	86FE880	
DEC 56 : 414733504.000000	2159375.000000	117383408.000000	
HEX 57 : 1D8C9DA0	DE25710	F375440	
DEC 57 : 495754656.000000	232937232.000000	255284288.000000	
HEX 58 : 1FD29F00	B95D750	7022F10	
DEC 58 : 533896960.000000	194369360.000000	117583632.000000	
HEX 59 : 1F5BC000	13A239A0	28F9F10	
DEC 59 : 526106624.000000	329398688.000000	42966800.000000	
HEX 60 : 18E6FCC0	1D293900	B8E5D30	
DEC 60 : 417791168.000000	489240832.000000	193879344.000000	
HEX 61 : 1A171B80	1F2ED3C0	83252D	
DEC 61 : 437721984.000000	523162560.000000	8594733.000000	
HEX 62 : 935E5A	16479C40	9C4F080	
DEC 62 : 9657946.000000	373791808.000000	163901568.000000	
HEX 63 : 13C766A0	172DB500	B6CF000	
DEC 63 : 331835040.000000	388871424.000000	191688704.000000	
HEX 64 : 8EA6570	195EC300	15D6FB40	
DEC 64 : 149579120.000000	425640704.000000	366410560.000000	
HEX 65 : A5395A0	1B8F2C80	1BBC000	
DEC 65 : 173249952.000000	462367872.000000	29081600.000000	
HEX 66 : 12706AA0	1A08F500	12B47900	
DEC 66 : 309357216.000000	436794624.000000	313817344.000000	
HEX 67 : F29A080	E967260	1CBBA880	
DEC 67 : 254386304.000000	244740704.000000	482060416.000000	
HEX 68 : C8EF9E0	BB1CF10	313434C	
DEC 68 : 210696672.000000	196202256.000000	51594060.000000	
HEX 69 : 2E4652C	F0DDED0	1AE4D1E0	
DEC 69 : 48522540.000000	252567248.000000	451203552.000000	
HEX 70 : 13B9B620	90A2350	1EFD4AE0	
DEC 70 : 330937888.000000	151659344.000000	519916256.000000	
HEX 71 : 9EB3CF0	C153380	17F20B40	
DEC 71 : 166411504.000000	202716032.000000	401738560.000000	
HEX 72 : 191BEB40	411EB10	97C0F1	
DEC 72 : 421260096.000000	68283152.000000	9945329.000000	
HEX 73 : 2F9000	10D400C0	F48CB50	
DEC 73 : 3117056.000000	282329280.000000	256428880.000000	
HEX 74 : 164042A0	1318DC00	132BD6A0	
DEC 74 : 373310112.000000	320396288.000000	321640096.000000	
HEX 75 : 1A85A5A0	192F0740	15A8AB40	
DEC 75 : 444966304.000000	422512448.000000	363375424.000000	
HEX 76 : 1EFF1CC0	1CE0E440	1D6CF1E0	
DEC 76 : 520035520.000000	484500544.000000	493679072.000000	
HEX 77 : 180C36A0	D379930	191BAC40	
DEC 77 : 403453600.000000	221747504.000000	421243968.000000	
HEX 78 : 11DF388	9655710	B2C03C0	
DEC 78 : 18740104.000000	157636368.000000	187433920.000000	
HEX 79 : 1DDB6900	3B74968	17BE7800	
DEC 79 : 500918528.000000	62343528.000000	398358528.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
