Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 56 : 1961F300	6761E98	E1E10B0	
DEC 56 : 425849600.000000	108404376.000000	236851376.000000	
HEX 57 : 8F81750	1CC9E880	A7238F0	
DEC 57 : 150476624.000000	482994304.000000	175257840.000000	
HEX 58 : 5097A58	19088780	1EA5CE20	
DEC 58 : 84507224.000000	419989376.000000	514182688.000000	
HEX 59 : 7548220	15364960	1827C500	
DEC 59 : 122978848.000000	355879264.000000	405259520.000000	
HEX 60 : CD62530	19A93E20	13195840	
DEC 60 : 215360816.000000	430521888.000000	320428096.000000	
HEX 61 : 15B80B80	1104E1E	45561E0	
DEC 61 : 364383104.000000	17845790.000000	72704480.000000	
HEX 62 : 1974A560	15DD1CC0	8A298B0	
DEC 62 : 427074912.000000	366812352.000000	144873648.000000	
HEX 63 : 12ABA6A0	4297AD0	12AAA6A0	
DEC 63 : 313239200.000000	69827280.000000	313173664.000000	
HEX 64 : 1F308AE0	15BBE4C0	D836800	
DEC 64 : 523274976.000000	364635328.000000	226715648.000000	
HEX 65 : 9711310	163D4C40	6C2FBC0	
DEC 65 : 158405392.000000	373115968.000000	113441728.000000	
HEX 66 : 16E5ED2	1D7A5E20	B973380	
DEC 66 : 24010450.000000	494558752.000000	194458496.000000	
HEX 67 : AA121E	2D92968	1BB41C80	
DEC 67 : 11145758.000000	47786344.000000	464788608.000000	
HEX 68 : 11E348C0	16226440	43FF4B8	
DEC 68 : 300107968.000000	371352640.000000	71300280.000000	
HEX 69 : 197ECAA0	17CB3A60	19966440	
DEC 69 : 427739808.000000	399194720.000000	429286464.000000	
HEX 70 : 3E8A310	10594080	5509FC0	
DEC 70 : 65577744.000000	274284672.000000	89169856.000000	
HEX 71 : 1DB74BC0	FCF5D30	132DE100	
DEC 71 : 498551744.000000	265248048.000000	321773824.000000	
HEX 72 : 1A023780	1F242D20	18063400	
DEC 72 : 436352896.000000	522464544.000000	403059712.000000	
HEX 73 : 8F0ADA0	112DEEA0	C5091A0	
DEC 73 : 149990816.000000	288222880.000000	206606752.000000	
HEX 74 : 13973E60	21C6A5C	19DA4F00	
DEC 74 : 328679008.000000	35416668.000000	433737472.000000	
HEX 75 : 1376FC80	11D8AF00	1E68FCC0	
DEC 75 : 326564992.000000	299413248.000000	510196928.000000	
HEX 76 : 4E04E58	1E17FE20	402D388	
DEC 76 : 81808984.000000	504888864.000000	67294088.000000	
HEX 77 : E4CE800	C651880	1EF5A880	
DEC 77 : 239921152.000000	207952000.000000	519415936.000000	
HEX 78 : 1F3356A	4C8BBC0	4E22000	
DEC 78 : 32716138.000000	80264128.000000	81928192.000000	
HEX 79 : 1F2073C0	168262E0	1E6AE9E0	
DEC 79 : 522220480.000000	377643744.000000	510323168.000000	
HEX 80 : 6022840	17D9D900	107E2120	
DEC 80 : 100804672.000000	400152832.000000	276701472.000000	
HEX 81 : 12E676E0	46CAE20	ADFA9A0	
DEC 81 : 317093600.000000	74231328.000000	182430112.000000	
HEX 82 : 1741FA20	8D90710	69B08F0	
DEC 82 : 390199840.000000	148440848.000000	110823664.000000	
HEX 83 : 1BA6E7C0	10A38F80	1A820220	
DEC 83 : 463923136.000000	279154560.000000	444727840.000000	
HEX 84 : 28B665C	16411F80	9C82440	
DEC 84 : 42690140.000000	373366656.000000	164111424.000000	
HEX 85 : 1A61CAE0	DD4D000	BC9EA20	
DEC 85 : 442616544.000000	232050688.000000	197782048.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
