Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 56 : 1B95CCC0	1FF09000	12F295E0	
DEC 56 : 462802112.000000	535859200.000000	317887968.000000	
HEX 57 : 171C5740	B8DF310	14B415E0	
DEC 57 : 387733312.000000	193852176.000000	347346400.000000	
HEX 58 : 7B9F9E0	ACCB000	11745000	
DEC 58 : 129628640.000000	181186560.000000	292835328.000000	
HEX 59 : 1EF15E2	77203C	11EDD380	
DEC 59 : 32445922.000000	7807036.000000	300798848.000000	
HEX 60 : B3CB5E0	7F1FCB8	1CAE3340	
DEC 60 : 188528096.000000	133299384.000000	481178432.000000	
HEX 61 : 1BEA5800	7C58B4	3158B88	
DEC 61 : 468342784.000000	8149172.000000	51743624.000000	
HEX 62 : 1A3C7A60	1A981FC0	9A5A080	
DEC 62 : 440171104.000000	446177216.000000	161849472.000000	
HEX 63 : 1173AA20	150C2900	4B5E000	
DEC 63 : 292792864.000000	353118464.000000	79028224.000000	
HEX 64 : EE761E	803BC4	4F48388	
DEC 64 : 15627806.000000	8403908.000000	83133320.000000	
HEX 65 : 194CCAA0	16E9C780	1625D080	
DEC 65 : 424463008.000000	384419712.000000	371576960.000000	
HEX 66 : 567CE98	316B1A4	1E949CC0	
DEC 66 : 90689176.000000	51818916.000000	513055936.000000	
HEX 67 : CF276D0	D3D8000	16F98F80	
DEC 67 : 217216720.000000	222134272.000000	385453952.000000	
HEX 68 : 4D09440	A1885E0	5547FC0	
DEC 68 : 80778304.000000	169379296.000000	89423808.000000	
HEX 69 : 144F7C00	1D375520	10BDAA60	
DEC 69 : 340753408.000000	490165536.000000	280865376.000000	
HEX 70 : CB62F50	14379480	120536A0	
DEC 70 : 213266256.000000	339186816.000000	302331552.000000	
HEX 71 : 1E6E14C0	FF85690	154342E0	
DEC 71 : 510530752.000000	267933328.000000	356729568.000000	
HEX 72 : 1AB7E9E0	C524DE0	1F5A0BC0	
DEC 72 : 448260576.000000	206720480.000000	525994944.000000	
HEX 73 : 1D36C520	123B6120	E2F5350	
DEC 73 : 490128672.000000	305881376.000000	237982544.000000	
HEX 74 : 1C17EA20	12D4AD20	1BD2F660	
DEC 74 : 471329312.000000	315927840.000000	466810464.000000	
HEX 75 : 129F5220	1D994D20	82C8DE0	
DEC 75 : 312431136.000000	496586016.000000	137137632.000000	
HEX 76 : F081710	911E660	10E01380	
DEC 76 : 252188432.000000	152168032.000000	283120512.000000	
HEX 77 : AC2EE60	1BC22260	19BFE380	
DEC 77 : 180547168.000000	465707616.000000	432006016.000000	
HEX 78 : 1122DF80	1866A6A0	16853880	
DEC 78 : 287498112.000000	409380512.000000	377829504.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
