Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
DEC 56 : 139664928.000000	210269360.000000	63627264.000000	
HEX 57 : FA7E440	10E4E7C0	6610B48	
DEC 57 : 262661184.000000	283436992.000000	107023176.000000	
HEX 58 : 1800E100	5A66130	1A5B1A60	
DEC 58 : 402710784.000000	94789936.000000	442178144.000000	
HEX 59 : 65F42D0	1BE72DE0	FCBEA60	
DEC 59 : 106906320.000000	468135392.000000	265022048.000000	
HEX 60 : 13020960	1E5C1A60	13917E20	
DEC 60 : 318900576.000000	509352544.000000	328302112.000000	
HEX 61 : 19DCCE20	1E809CC0	A5BF1E0	
DEC 61 : 433901088.000000	511745216.000000	173797856.000000	
HEX 62 : 13A8E100	13216B40	13E7A4C0	
DEC 62 : 329834752.000000	320957248.000000	333948096.000000	
HEX 63 : 13D38F00	5C7BF88	CBD05A0	
DEC 63 : 332631808.000000	96976776.000000	213714336.000000	
HEX 64 : 1675B780	8BA7A20	13258780	
DEC 64 : 376813440.000000	146438688.000000	321226624.000000	
HEX 65 : 7792F10	43699E0	BFE5A60	
DEC 65 : 125382416.000000	70687200.000000	201218656.000000	
HEX 66 : 149989E0	A16D690	69CC878	
DEC 66 : 345606624.000000	169268880.000000	110938232.000000	
HEX 67 : FC97000	12DA0B40	1A5B1A60	
DEC 67 : 264859648.000000	316279616.000000	442178144.000000	
HEX 68 : 7418DA8	48CBE98	4798D30	
DEC 68 : 121736616.000000	76332696.000000	75074864.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
