Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 57 : 5EDD8	C1EE340	6B1FF88	
DEC 57 : 388568.000000	203350848.000000	112328584.000000	
HEX 58 : 193256A0	10D55540	1F7771E0	
DEC 58 : 422729376.000000	282416448.000000	527921632.000000	
HEX 59 : 11D73240	1AED6C20	173ACDA0	
DEC 59 : 299315776.000000	451767328.000000	389729696.000000	
HEX 60 : 1DEE0F80	13096420	13BDD260	
DEC 60 : 502140800.000000	319382560.000000	331207264.000000	
HEX 61 : 5F57E	2231EA0	F920620	
DEC 61 : 390526.000000	35856032.000000	261228064.000000	
HEX 62 : 10389AA0	19BCC300	1F500080	
DEC 62 : 272145056.000000	431801088.000000	525336704.000000	
HEX 63 : 6B3D8A0	208965	9265A60	
DEC 63 : 112449696.000000	2132325.000000	153508448.000000	
HEX 64 : 76547F0	68FA000	1BA244C0	
DEC 64 : 124078064.000000	110075904.000000	463619264.000000	
HEX 65 : 1324ABA0	5DF90C0	17B1B960	
DEC 65 : 321170336.000000	98537664.000000	397523296.000000	
HEX 66 : 155E1D40	D6C0FA0	7B8CD30	
DEC 66 : 358489408.000000	225185696.000000	129551664.000000	
HEX 67 : 10DF83A0	13275DA0	1AF15E20	
DEC 67 : 283083680.000000	321346976.000000	452025888.000000	
HEX 68 : EC8E650	10CED	622D8F0	
DEC 68 : 248047184.000000	68845.000000	102947056.000000	
HEX 69 : 15239400	18FFE02	A9C5350	
DEC 69 : 354653184.000000	26213890.000000	178017104.000000	
HEX 70 : 4FE46	E61D4F0	18ECEE20	
DEC 70 : 327238.000000	241292528.000000	418180640.000000	
HEX 71 : 15B53440	AAD4AE0	1CE4E2E0	
DEC 71 : 364196928.000000	179129056.000000	484762336.000000	
HEX 72 : AD829A0	65499A8	14F1D700	
DEC 72 : 181938592.000000	106207656.000000	351393536.000000	
HEX 73 : 53B7070	13BD5D80	19D3E080	
DEC 73 : 87781488.000000	331177344.000000	433315968.000000	
HEX 74 : AD0BCA0	12AD5880	1F638520	
DEC 74 : 181451936.000000	313350272.000000	526615840.000000	
HEX 75 : 3C3DE68	1BBE47E0	170E9F80	
DEC 75 : 63168104.000000	465455072.000000	386834304.000000	
HEX 76 : 1E7FAD00	2449950	13D1E520	
DEC 76 : 511683840.000000	38050128.000000	332522784.000000	
HEX 77 : 5DC53	1C95BA80	109473C0	
DEC 77 : 384083.000000	479574656.000000	278164416.000000	
HEX 78 : 6B7D1E0	CD6DE90	35382D4	
DEC 78 : 112710112.000000	215408272.000000	55804628.000000	
HEX 79 : F100A40	186CB8	151D3DA0	
DEC 79 : 252709440.000000	1600696.000000	354237856.000000	
HEX 80 : 179E9620	741F410	4080710	
DEC 80 : 396269088.000000	121762832.000000	67634960.000000	
HEX 81 : 16DB3120	1766F2E0	1CA07EA0	
DEC 81 : 383463712.000000	392622816.000000	480280224.000000	
HEX 82 : 1F9FD1A0	CEA8800	1998EE20	
DEC 82 : 530567584.000000	216696832.000000	429452832.000000	
HEX 83 : 1D3F730	13D96520	5F389E0	
DEC 83 : 30668592.000000	333014304.000000	99846624.000000	
HEX 84 : 81B29E0	15FD3	17FFD520	
DEC 84 : 135997920.000000	90067.000000	402642208.000000	
HEX 85 : B7ABD80	E1F62D0	196E16A0	
DEC 85 : 192593280.000000	236937936.000000	426645152.000000	
HEX 86 : 6E5DA60	14A7E180	11BCC4C0	
DEC 86 : 115726944.000000	346546560.000000	297583808.000000	
HEX 87 : 94BBF40	1F575A60	1AAFA4C0	
DEC 87 : 155959104.000000	525818464.000000	447718592.000000	
HEX 88 : 15688820	D3F4240	A4E1E	
DEC 88 : 359172128.000000	222249536.000000	675358.000000	
HEX 89 : 59A5DC0	1A032800	C3A75A0	
DEC 89 : 94002624.000000	436414464.000000	205157792.000000	
HEX 90 : 1F484EA0	9AFEEB0	12CDD900	
DEC 90 : 524832416.000000	162524848.000000	315480320.000000	
HEX 91 : 191EA740	1CC0A4E0	17D65080	
DEC 91 : 421439296.000000	482387168.000000	399921280.000000	
HEX 92 : 13B5A6C0	13B75060	3EFC9E0	
DEC 92 : 330671808.000000	330780768.000000	66046432.000000	
HEX 93 : 1D1201C0	1A1307C0	1134DAE0	
DEC 93 : 487719360.000000	437454784.000000	288676576.000000	
HEX 94 : 5F7B6	1F153B80	8C77CB0	
DEC 94 : 391094.000000	521485184.000000	147291312.000000	
HEX 95 : A3DE980	ADF02E0	ED19440	
DEC 95 : 171829632.000000	182387424.000000	248616000.000000	
HEX 96 : 56F11F0	19E47360	1E298520	
DEC 96 : 91165168.000000	434402144.000000	506037536.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
