Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 9A7AC40	7FDE8F0	17C995A0	
HEX 56 : 57085A8	16A163C0	7EF2968	
DEC 56 : 91260328.000000	379675584.000000	133114216.000000	
HEX 57 : 115F4960	611EE98	19740100	
DEC 57 : 291457376.000000	101838488.000000	427032832.000000	
HEX 58 : 7E24D30	16CA15A0	28A3C3	
DEC 58 : 132271408.000000	382342560.000000	2663363.000000	
HEX 59 : C4594B0	13506000	88304B0	
DEC 59 : 205886640.000000	324034560.000000	142804144.000000	
HEX 60 : 187E7100	9013C4	66873C0	
DEC 60 : 410939648.000000	9442244.000000	107508672.000000	
HEX 61 : E81BC40	1778A620	16E7EC40	
DEC 61 : 243383360.000000	393782816.000000	384298048.000000	
HEX 62 : CFC9780	10586AE0	F64EE20	
DEC 62 : 217880448.000000	274229984.000000	258272800.000000	
HEX 63 : 8383C40	15785900	122B8100	
DEC 63 : 137903168.000000	360208640.000000	304840960.000000	
HEX 64 : 1A70F10	15C9C5A0	E668A60	
DEC 64 : 27725584.000000	365544864.000000	241601120.000000	
HEX 65 : 187E7000	19BC9700	12EC16A0	
DEC 65 : 410939392.000000	431789824.000000	317462176.000000	
HEX 66 : 15B756A0	14F90C40	5923D30	
DEC 66 : 364336800.000000	351865920.000000	93470000.000000	
HEX 67 : F2371E0	B3DF2D0	1EE92A60	
DEC 67 : 253981152.000000	188609232.000000	518597216.000000	
HEX 68 : 12681E2	140BF960	21D95A4	
DEC 68 : 19300834.000000	336329056.000000	35493284.000000	
HEX 69 : 5467698	C5819E0	12819000	
DEC 69 : 88503960.000000	207100384.000000	310480896.000000	
HEX 70 : 187E7000	78A1788	293E2D4	
DEC 70 : 410939392.000000	126490504.000000	43246292.000000	
HEX 71 : 187E74C0	D965780	1052AD20	
DEC 71 : 410940608.000000	227956608.000000	273853728.000000	
HEX 72 : B19CE20	95E5530	60B6968	
DEC 72 : 186240544.000000	157177136.000000	101411176.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
