Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 15BE43C0	159E7F00	18EDE100	
HEX 56 : 13297960	1D981B40	14101100	
DEC 56 : 321485152.000000	496507712.000000	336597248.000000	
HEX 57 : 9C7C2D0	13814DA0	DD44000	
DEC 57 : 164086480.000000	327241120.000000	232013824.000000	
HEX 58 : 17CD7D20	BB07880	1786B620	
DEC 58 : 399342880.000000	196114560.000000	394704416.000000	
HEX 59 : 8BBEA60	78318F0	10664100	
DEC 59 : 146532960.000000	126032112.000000	275136768.000000	
HEX 60 : 15CA4000	8D66880	BD6A530	
DEC 60 : 365576192.000000	148269184.000000	198616368.000000	
HEX 61 : 2A2969	D8DCE90	8E6EDA0	
DEC 61 : 2763113.000000	227397264.000000	149351840.000000	
HEX 62 : 77E1000	1B1D4880	F223E20	
DEC 62 : 125702144.000000	454903936.000000	253902368.000000	
HEX 63 : 136963C0	7076968	12CA5780	
DEC 63 : 325673920.000000	117926248.000000	315250560.000000	
HEX 64 : 1DCFE1E	187B5F00	1B695000	
DEC 64 : 31260190.000000	410738432.000000	459886592.000000	
HEX 65 : D2ED690	14E34DA0	2D72B4C	
DEC 65 : 221173392.000000	350440864.000000	47655756.000000	
HEX 66 : 5243F10	F926690	16EC1F80	
DEC 66 : 86261520.000000	261252752.000000	384573312.000000	
HEX 67 : C72DB50	1C502B40	1ABA000	
DEC 67 : 208853840.000000	475016000.000000	28024832.000000	
HEX 68 : 3F140F0	D420F10	F8D4E20	
DEC 68 : 66142448.000000	222433040.000000	260918816.000000	
HEX 69 : 1403878	115414C0	1DAE7E20	
DEC 69 : 20985976.000000	290723008.000000	497974816.000000	
HEX 70 : 152B1E2	10029F00	1E1261E	
DEC 70 : 22196706.000000	268607232.000000	31532574.000000	
HEX 71 : 13A28780	C78E690	59B49E0	
DEC 71 : 329418624.000000	209249936.000000	94063072.000000	
HEX 72 : 17F99960	1CF55A6	D6E02D0	
DEC 72 : 402233696.000000	30365094.000000	225313488.000000	
