Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
HEX 1 : 2A7D03C	1879E3C0	16B3C000	
DEC 56 : 135431472.000000	410646880.000000	293138688.000000	
HEX 57 : 4D9E930	58AD2D	9EF0880	
DEC 57 : 81389872.000000	5811501.000000	166660224.000000	
HEX 58 : 180A6FC0	D779B50	42FF1E0	
DEC 58 : 403337152.000000	225942352.000000	70250976.000000	
HEX 59 : 11383B80	9C56780	1B111DA0	
DEC 59 : 288897920.000000	163932032.000000	454106528.000000	
HEX 60 : 335B078	CA29B50	16C3A520	
DEC 60 : 53850232.000000	211983184.000000	381920544.000000	
HEX 61 : 8D04A20	10FD8A60	9782000	
DEC 61 : 147868192.000000	285051488.000000	158867456.000000	
HEX 62 : 153B9AE0	1879E2E0	28DE8F0	
DEC 62 : 356227808.000000	410641120.000000	42854640.000000	
HEX 63 : A2D7040	600A3C0	1DA7F260	
DEC 63 : 170750016.000000	100705216.000000	497545824.000000	
HEX 64 : 35C99A4	886B780	BA27690	
DEC 64 : 56400292.000000	143046528.000000	195196560.000000	
HEX 65 : 4D09F48	11950F0	1BAF1900	
DEC 65 : 80781128.000000	18436336.000000	464460032.000000	
HEX 66 : 9ACB780	F9B62D0	1C431900	
DEC 66 : 162314112.000000	261841616.000000	474159360.000000	
HEX 67 : 98EF840	5F733C0	8357CB0	
DEC 67 : 160364608.000000	100086720.000000	137723056.000000	
HEX 68 : 17315560	1879E880	18C14F00	
DEC 68 : 389109088.000000	410642560.000000	415321856.000000	
HEX 69 : A6C1A6	2C9AD2C	FAFB2D0	
DEC 69 : 10928550.000000	46771500.000000	263172816.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
